%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 27131.37443439656, 14039.823596456481, 10907.673645934301, -11946.560376472518, 10007.12186182998, -10825.307467616496, -187500.02235174447, 36654.26810434677, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696023664187603E9, 0.0, 2023-09-29 16:41:04.187
224.0, 27342.397253799114, 14304.490602551772, 10877.074107774986, -11974.634167508384, 9888.858781916952, -10873.989567040155, -187500.02235174447, 36865.089758049224, -26486.81717953887, 23590.835760931466, 1201.2721540060227, -828.0203733468502, 14034.190956853743, -1703.1805757499428, -112026.56323034326, -14778.21347453755, 0.166, 1.002, -0.15, 192.0, 2.5, 24.0, 15.5, 40.0, 125.5, 40.0, 0.0, 0.0, 0.0, 1.696023664187611E9, 0.0, 2023-09-29 16:41:04.187
226.0, 27075.897404658488, 13977.28341547053, 10919.229497817696, -11938.245527535144, 9989.776908132662, -10817.774929735057, -187500.02235174447, 36613.61028118256, -26448.550993031382, 23134.703711832015, 980.8168984433293, -1126.46086531411, 14085.443506889762, -1653.0679646811445, -112396.37284235632, -14685.52079028139, 0.166, 1.002, -0.15, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696023664187615E9, 0.0, 2023-09-29 16:41:04.187
228.0, 27389.224158432982, 14358.760638089258, 10868.491037904148, -11988.738118259684, 9892.01037788515, -10880.672738632291, -187500.02235174447, 36905.501712024416, -26478.9493654906, 23574.38487701236, 1205.8319098749055, -832.0660390932608, 14048.183148882765, -1692.1611657334765, -112076.83230362325, -14768.803390121866, 0.166, 1.002, -0.15, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696023664187619E9, 0.0, 2023-09-29 16:41:04.187
230.0, 27026.053014523153, 13927.32726661292, 10947.839730720489, -11916.251410991123, 9982.557294673597, -10803.112185372376, -187500.02235174447, 36572.70658882935, -26467.125292673743, 23142.839746813745, 974.0890233622818, -1122.0352199119593, 14074.066468962012, -1666.6801770544264, -112365.61684198581, -14700.451755577536, 0.166, 1.002, -0.15, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696023664187622E9, 0.0, 2023-09-29 16:41:04.187
232.0, 27429.971388575006, 14407.599199724104, 10867.753430337123, -11991.3309206165, 9906.091976891992, -10880.58333165447, -187500.02235174447, 36944.19258167656, -26460.62093503725, 23560.392684983337, 1211.3527907553662, -830.7696379148529, 14070.870169504902, -1667.149563687988, -112136.55616480783, -14751.458436424547, 0.166, 1.002, -0.15, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696023664187625E9, 0.0, 2023-09-29 16:41:04.187
234.0, 26994.04531646315, 13894.98429238609, 10950.276070866117, -11911.44578593323, 9962.999518275205, -10801.256990582586, -187500.02235174447, 36555.58515257658, -26478.99406897951, 23184.92808162309, 979.9675321540276, -1097.6718184556746, 14059.73900076616, -1665.0261479647338, -112319.43813794115, -14708.81130800382, 0.166, 1.002, -0.146, 192.0, 2.5, 24.0, 15.5, 40.0, 125.5, 56.0, 0.0, 0.0, 0.0, 1.696023664187629E9, 0.0, 2023-09-29 16:41:04.187
236.0, 27459.140415089183, 14436.231784371352, 10866.322918691983, -11992.649673539361, 9916.709055508263, -10885.05368054553, -187500.02235174447, 36958.0730149833, -26458.832795480826, 23518.9525507632, 1192.845546346372, -856.2953300828136, 14069.462009604218, -1665.8978659984907, -112191.54145616788, -14748.530357900901, 0.166, 1.002, -0.146, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696023664187632E9, 0.0, 2023-09-29 16:41:04.187
238.0, 26978.868481978, 13878.287539277977, 10965.676422795823, -11891.888009534838, 9950.951928013794, -10798.351263803395, -187500.02235174447, 36541.7270710143, -26488.71707781757, 23232.447890335072, 1000.8887649641949, -1076.5717716898646, 14054.553396052528, -1668.7141857998595, -112284.92704450215, -14710.822965004798, 0.166, 1.002, -0.146, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696023664187635E9, 0.0, 2023-09-29 16:41:04.187
0.0, 13669.499894320954, 7101.238620428875, 5272.7541652624805, -5907.11902464855, 4976.146516340556, -5367.413803030706, -93750.01117587223, 18444.503062308202, -13246.38137178199, 11830.510119260565, 622.4737313358464, -388.2498011886837, 7015.966715331879, -851.5791120027437, -56015.30444804484, -7392.995940803999, 0.16, 1.004, -0.14400000000000002, 192.0, 2.5, 0.0, 15.5, 48.0, 125.5, 64.0, 0.0, 0.0, 0.0, 1.696023664365231E9, 0.0, 2023-09-29 16:41:04.365
2.0, 27057.03253233821, 13859.757943124527, 10588.624845579248, -11774.85427556685, 10070.623167827507, -10671.125134363787, -187500.02235174447, 36627.0436796002, -26595.06667793592, 23272.88219605472, 825.9640128569619, -1276.4187188647652, 13934.926859727724, -1546.6960128183382, -107127.55258411796, -14521.906020868544, 0.16, 1.004, -0.14400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696023664365241E9, 0.0, 2023-09-29 16:41:04.365
4.0, 27501.005232453972, 14380.151257532985, 10479.369518681708, -11881.919131507771, 9997.3094460141, -10774.881932125323, -187500.02235174447, 37020.32262329133, -26583.555529541438, 23625.704482281744, 1048.1180009982588, -1016.4455791050887, 13937.050275450978, -1544.3267279060756, -106944.0894656288, -14563.413210322049, 0.16, 1.004, -0.14400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696023664365244E9, 0.0, 2023-09-29 16:41:04.365
6.0, 27032.602075648556, 13837.383846924764, 10579.550037330395, -11777.648243623764, 10037.207309866824, -10677.54008502246, -187500.02235174447, 36610.50338870328, -26622.179343960208, 23312.13185931824, 828.9367948695177, -1261.8900849688155, 13912.75392922806, -1562.8339723150698, -107024.68985613465, -14541.195576333474, 0.16, 1.004, -0.14400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696023664365247E9, 0.0, 2023-09-29 16:41:04.365
