%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
254.0, 16948.59021289232, 16653.457779104447, -31941.693358623193, -60691.75877472863, -187500.02235174447, 771.4034046415574, -187500.02235174447, -187500.02235174447, -45496.238231210504, 14328.384617374495, -3805.451548749393, -64695.850276452344, -8385.212228919534, -48249.07907832612, -2731.2937654607017, 19359.337611119463, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419187293019E9, 0.0, 2023-09-22 16:46:27.293
0.0, 16957.821483352363, 16662.174959442014, -31948.354178470872, -60697.458469564735, -187500.02235174447, 883.3185891292798, -187500.02235174447, -187500.02235174447, -45503.43549292511, 14339.828710535612, -3750.4886091337935, -64703.42751782269, -8378.886685238682, -48228.00138330476, -2702.124738946526, 19416.84864960297, -0.019, 0.481, 0.151, 192.0, 127.0, 104.0, 15.0, 8.0, 4.5, 56.0, 0.0, 0.0, 0.0, 1.695419187293042E9, 0.0, 2023-09-22 16:46:27.293
2.0, 16948.947840803605, 16656.475264605913, -31962.12285305534, -60707.181478402796, -187500.02235174447, 754.7290032778983, -187500.02235174447, -187500.02235174447, -45496.08176899931, 14332.653800565458, -3791.4146532314603, -64694.26330259602, -8388.386176632188, -48248.52028471474, -2745.285957489724, 19353.883785472368, -0.019, 0.481, 0.151, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419187293065E9, 0.0, 2023-09-22 16:46:27.293
4.0, 16956.63684089623, 16664.544244354278, -31956.60197217488, -60704.18634464579, -187500.02235174447, 879.5858478052435, -187500.02235174447, -187500.02235174447, -45511.81739709585, 14345.50605362726, -3764.816077329645, -64707.69670101365, -8392.498897611964, -48227.06261003764, -2725.549367135688, 19392.440544657773, -0.019, 0.481, 0.151, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69541918729307E9, 0.0, 2023-09-22 16:46:27.293
6.0, 16948.746675103506, 16659.984488485396, -31962.838108877913, -60700.185382388285, -187500.02235174447, 758.7970207687641, -187500.02235174447, -187500.02235174447, -45504.083693514316, 14341.393332647483, -3769.1523157539746, -64694.2185991071, -8395.51638311343, -48238.75257238777, -2752.617329671065, 19352.766198249603, -0.019, 0.481, 0.151, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419187293075E9, 0.0, 2023-09-22 16:46:27.293
8.0, 16952.434712938633, 16657.34698263967, -31952.019864561546, -60702.554667300545, -187500.02235174447, 897.1766706915702, -187500.02235174447, -187500.02235174447, -45514.65606864167, 14337.83940527909, -3776.170763512941, -64706.199134135146, -8390.576647588807, -48222.145226257475, -2722.040143256205, 19373.173340937297, -0.019, 0.481, 0.151, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419187293079E9, 0.0, 2023-09-22 16:46:27.293
10.0, 16960.21312000908, 16667.382915900103, -31949.471765693637, -60674.614986731416, -187500.02235174447, 770.5540383522557, -187500.02235174447, -187500.02235174447, -45500.932097546116, 14347.69652458388, -3743.827789286112, -64688.69771822664, -8389.883743510693, -48228.31430772714, -2736.6581841299753, 19379.610643340427, -0.019, 0.481, 0.151, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419187293082E9, 0.0, 2023-09-22 16:46:27.293
12.0, 16952.904099572195, 16653.211909915437, -31928.192904972188, -60679.979405400685, -187500.02235174447, 905.9385545180505, -187500.02235174447, -187500.02235174447, -45501.22267022404, 14353.731495586813, -3797.3155137676617, -64694.08448864037, -8371.75647875744, -48207.12485398351, -2691.1500324189706, 19365.08200944448, -0.034, 0.9580000000000001, 0.304, 192.0, 127.0, 120.0, 14.5, 120.0, 4.5, 64.0, 0.0, 0.0, 0.0, 1.695419187293086E9, 0.0, 2023-09-22 16:46:27.293
14.0, 16948.657268125688, 16654.30714539375, -31935.099594008876, -60665.31666103801, -187500.02235174447, 800.1253962666269, -187500.02235174447, -187500.02235174447, -45493.53367013141, 14348.74705657328, -3734.730629292802, -64684.89792166924, -8367.487295566476, -48217.250194221764, -2698.637866811498, 19396.68737610428, -0.034, 0.9580000000000001, 0.304, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419187293089E9, 0.0, 2023-09-22 16:46:27.293
0.0, 8470.975872394547, 8284.204695726, -15972.310718573419, -30384.246156721852, -93750.01117587223, 461.51881951318023, -93750.01117587223, -93750.01117587223, -22753.02532351319, 7171.043118362799, -1924.194624924019, -32347.198706531373, -4184.1795068001165, -24111.47494452893, -1345.2620917871109, 9662.77088675152, -0.036000000000000004, 0.966, 0.29, 192.0, 127.0, 112.0, 15.0, 24.0, 4.5, 8.0, 0.0, 0.0, 0.0, 1.695419187385372E9, 0.0, 2023-09-22 16:46:27.385
2.0, 16950.53481465993, 16579.47350495738, -31953.249210506587, -60753.06960976954, -187500.02235174447, 767.6036080841551, -187500.02235174447, -187500.02235174447, -45463.51527732793, 14214.167203207875, -3757.4400016593936, -64766.34767846438, -8358.211321617522, -48372.63952167505, -2714.641715841498, 19386.718498077214, -0.036000000000000004, 0.966, 0.29, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419187445309E9, 0.0, 2023-09-22 16:46:27.445
4.0, 16921.835174779317, 16549.03042900925, -31948.778861615523, -60788.11714507546, -187500.02235174447, 869.4158040780788, -187500.02235174447, -187500.02235174447, -45471.830126265304, 14202.14196469092, -3875.144287961041, -64781.03277457152, -8356.154961127635, -48367.58802742816, -2703.354084891568, 19310.566104717982, -0.036000000000000004, 0.966, 0.29, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419187445322E9, 0.0, 2023-09-22 16:46:27.445
6.0, 16933.88276504073, 16566.017754795284, -31964.268620523053, -60765.474827942235, -187500.02235174447, 797.4431869319901, -187500.02235174447, -187500.02235174447, -45484.01182699345, 14187.792144750614, -3732.517806591726, -64787.4924287191, -8373.566970058318, -48399.88629816608, -2724.901166546484, 19414.300550735064, -0.036000000000000004, 0.966, 0.29, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419187445325E9, 0.0, 2023-09-22 16:46:27.445
8.0, 16935.425035408145, 16563.313193716192, -31937.46887892114, -60769.65460415538, -187500.02235174447, 850.7520974578974, -187500.02235174447, -187500.02235174447, -45477.61922807923, 14191.949569219301, -3869.4669448693926, -64781.05512631597, -8362.547560041852, -48390.5209172393, -2721.324887433635, 19317.137517587846, -0.036000000000000004, 0.972, 0.294, 192.0, 127.0, 112.0, 15.0, 48.0, 4.5, 24.0, 0.0, 0.0, 0.0, 1.695419187445329E9, 0.0, 2023-09-22 16:46:27.445
10.0, 16951.048904782405, 16579.585263679655, -31950.678759894225, -60747.101693999975, -187500.02235174447, 786.8708118046299, -187500.02235174447, -187500.02235174447, -45463.67173953912, 14210.792089795124, -3757.976443526321, -64764.87246333033, -8355.059725649324, -48374.74058565385, -2714.1723292079364, 19401.493001162173, -0.036000000000000004, 0.972, 0.294, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419187445332E9, 0.0, 2023-09-22 16:46:27.445
12.0, 16931.915811528663, 16558.08288551365, -31936.910085309755, -60774.706098402276, -187500.02235174447, 816.1292452966268, -187500.02235174447, -187500.02235174447, -45464.18582966159, 14199.839735012023, -3909.320105233205, -64766.39238195329, -8349.807065702327, -48383.25660029133, -2715.0887507306043, 19283.073459037954, -0.036000000000000004, 0.972, 0.294, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419187445336E9, 0.0, 2023-09-22 16:46:27.445
14.0, 16935.78266331943, 16564.877815828066, -31960.826451876936, -60761.58562440701, -187500.02235174447, 797.9349253100069, -187500.02235174447, -187500.02235174447, -45477.216896679034, 14197.917484988868, -3766.671272119436, -64780.652794915775, -8362.167580386113, -48386.87758289309, -2715.2675646862467, 19401.582408139995, -0.036000000000000004, 0.972, 0.294, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419187445339E9, 0.0, 2023-09-22 16:46:27.445
16.0, 16913.386215375212, 16542.637830095035, -31945.783727858514, -60782.57391245055, -187500.02235174447, 801.0194660448392, -187500.02235174447, -187500.02235174447, -45480.68141706961, 14187.23335113923, -3910.974134322898, -64775.80246636897, -8366.168542643612, -48390.00682711683, -2727.15869273647, 19286.15799977279, -0.036000000000000004, 0.972, 0.294, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419187505584E9, 0.0, 2023-09-22 16:46:27.505
18.0, 16932.765177817964, 16560.13924600354, -31965.095635067897, -60762.814970352054, -187500.02235174447, 834.9494141279953, -187500.02235174447, -187500.02235174447, -45494.561850376354, 14181.779525492137, -3756.07654524762, -64791.33692876541, -8374.773964258906, -48386.47525149289, -2717.9274222764284, 19422.056606061054, -0.034, 0.962, 0.296, 192.0, 127.0, 120.0, 15.0, 8.0, 4.5, 32.0, 0.0, 0.0, 0.0, 1.695419187505598E9, 0.0, 2023-09-22 16:46:27.505
20.0, 16930.999390005993, 16557.233519224348, -31936.08307076491, -60762.814970352054, -187500.02235174447, 787.541364138289, -187500.02235174447, -187500.02235174447, -45468.00797796345, 14194.028281453644, -3909.0518842997417, -64762.57023365143, -8355.529112282886, -48367.02923381677, -2718.419160654445, 19291.947101586713, -0.034, 0.962, 0.296, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419187505601E9, 0.0, 2023-09-22 16:46:27.505
22.0, 16957.620317652265, 16584.6144061821, -31942.56507665695, -60739.14447297389, -187500.02235174447, 827.9309663690289, -187500.02235174447, -187500.02235174447, -45474.221762922025, 14215.642418341926, -3788.0171880742537, -64766.54884416448, -8350.410562802621, -48340.18478872595, -2693.5863725645986, 19398.922550549814, -0.034, 0.962, 0.296, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419187505605E9, 0.0, 2023-09-22 16:46:27.505
24.0, 16939.247183710002, 16569.99636530833, -31935.703091109168, -60755.17067374834, -187500.02235174447, 762.3956516260686, -187500.02235174447, -187500.02235174447, -45456.47447782451, 14229.232278970752, -3919.49014896037, -64738.832681039894, -8341.31340280931, -48351.271253975785, -2708.8302622831184, 19270.601185631895, -0.034, 0.962, 0.296, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419187505608E9, 0.0, 2023-09-22 16:46:27.505
26.0, 16932.049921995393, 16560.876853570564, -31963.821585633945, -60766.815932609556, -187500.02235174447, 838.2351205629254, -187500.02235174447, -187500.02235174447, -45484.347103160275, 14212.401415395907, -3801.6294004475358, -64767.26409998705, -8353.048068648348, -48352.321785965185, -2697.587334822099, 19379.11890496241, -0.034, 0.962, 0.296, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419187505611E9, 0.0, 2023-09-22 16:46:27.505
28.0, 16914.10147119778, 16546.124702230063, -31961.787576888513, -60783.78090665113, -187500.02235174447, 724.8894244300634, -187500.02235174447, -187500.02235174447, -45483.34127465979, 14190.09437442951, -3916.1820907809847, -64763.37489645182, -8364.670975765106, -48389.2692195498, -2746.06826854566, 19258.75476107058, -0.038, 0.962, 0.3, 192.0, 127.0, 104.0, 15.0, 8.0, 4.5, 48.0, 0.0, 0.0, 0.0, 1.695419187505614E9, 0.0, 2023-09-22 16:46:27.505
30.0, 16905.428994349124, 16534.859423024587, -31977.433798007227, -60793.70508118929, -187500.02235174447, 851.4897050249225, -187500.02235174447, -187500.02235174447, -45514.410199452665, 14184.126458659943, -3835.984031675343, -64790.800486898486, -8373.94694971406, -48381.736681668364, -2719.357933921568, 19344.3172388455, -0.038, 0.962, 0.3, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419187505618E9, 0.0, 2023-09-22 16:46:27.505
32.0, 16913.855602008774, 16546.638792352533, -31962.636943177815, -60777.05303157008, -187500.02235174447, 737.674622258499, -187500.02235174447, -187500.02235174447, -45499.79215857889, 14178.404412079384, -3886.6554363555238, -64777.81412336995, -8375.13159217019, -48393.53840274077, -2750.292748247713, 19284.14634277181, -0.038, 0.962, 0.3, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419187565894E9, 0.0, 2023-09-22 16:46:27.565
34.0, 16921.388139890212, 16547.42110340847, -31953.27156225104, -60775.041374569104, -187500.02235174447, 871.0251296788609, -187500.02235174447, -187500.02235174447, -45501.17796673512, 14198.47627860025, -3844.7235637573676, -64777.94823383668, -8363.776905986895, -48363.005919814816, -2704.359913392057, 19347.759407491616, -0.038, 0.962, 0.3, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419187565907E9, 0.0, 2023-09-22 16:46:27.565
36.0, 16914.54850608689, 16543.666010339977, -31954.836184362914, -60772.87325535694, -187500.02235174447, 743.1955031389598, -187500.02235174447, -187500.02235174447, -45487.56575436184, 14189.647339540405, -3864.8624855115995, -64761.51970166203, -8370.013042689925, -48376.90870486602, -2729.930309048928, 19310.655511695804, -0.038, 0.962, 0.3, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695419187565911E9, 0.0, 2023-09-22 16:46:27.565
38.0, 16921.052863723384, 16550.818568565675, -31955.059701807466, -60773.07442105704, -187500.02235174447, 871.4498128235117, -187500.02235174447, -187500.02235174447, -45507.90584181617, 14195.592903565515, -3844.9694329463764, -64780.094001304395, -8369.387193845176, -48359.317881979696, -2710.841919284096, 19358.68941053026, -0.038, 0.9540000000000001, 0.31, 192.0, 127.0, 104.0, 14.5, 104.0, 4.5, 88.0, 0.0, 0.0, 0.0, 1.695419187565914E9, 0.0, 2023-09-22 16:46:27.565
