%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
238.0, 22378.34303120888, 36348.09390879797, -46431.39051573164, -41546.41676502428, -27144.94194328093, -17756.762237162857, -187500.02235174447, -8472.62990148424, -3846.7352207583453, 22502.864599569395, -40264.41011004569, -37024.3906407822, -10057.279176387688, -35439.60725541202, -41038.74159321089, -39153.014320494454, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420882066791E9, 0.0, 2023-09-22 17:14:42.066
240.0, 22419.380834028823, 36382.62735398142, -46413.7549893564, -41536.53729397503, -27122.41138486998, -17747.84389112519, -187500.02235174447, -8449.585252950817, -3822.729447213346, 22519.874277099883, -40244.4500022471, -37000.1837015371, -10036.93908893336, -35421.457638914304, -41019.72025867942, -39134.216503407544, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420882066801E9, 0.0, 2023-09-22 17:14:42.066
242.0, 22403.600502443376, 36374.759539933155, -46413.06208527829, -41528.06598282647, -27132.022634985762, -17739.0373038098, -187500.02235174447, -8457.900101888192, -3820.1813483454407, 22528.569105692997, -40242.39364175721, -36999.46844571453, -10039.46483605681, -35420.205941224805, -41021.910729636045, -39131.64605279518, -0.004, 1.006, 0.16, 192.0, 127.5, 112.0, 15.5, 56.0, 2.5, 0.0, 0.0, 0.0, 0.0, 1.695420882066805E9, 0.0, 2023-09-22 17:14:42.066
244.0, 22435.742310970105, 36396.4407320548, -46406.71418985298, -41530.88230262784, -27117.114021434074, -17743.239431767397, -187500.02235174447, -8440.868072613248, -3810.8159674186672, 22532.257143528124, -40233.76586839746, -36988.09140778678, -10031.775835964185, -35411.91344403189, -41010.93602310849, -39122.01245093494, -0.004, 1.006, 0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420882066808E9, 0.0, 2023-09-22 17:14:42.066
246.0, 22421.236028818614, 36387.00829589466, -46416.68306788005, -41532.379869506345, -27139.46576588938, -17746.54748994678, -187500.02235174447, -8460.67171820065, -3819.130816356041, 22540.92962037678, -40241.47722023454, -36995.9815735795, -10045.052772170637, -35421.50234240322, -41020.61432845764, -39133.32243362933, -0.004, 1.006, 0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420882066812E9, 0.0, 2023-09-22 17:14:42.066
248.0, 22438.82685170494, 36400.32993559002, -46407.228279975454, -41533.586863706936, -27122.277274403248, -17748.782664392314, -187500.02235174447, -8443.349116247788, -3814.146377342508, 22524.612846924407, -40236.38102249873, -36989.946602576565, -10038.794283723151, -35418.37309817947, -41017.37332551162, -39128.829732993814, -0.004, 1.006, 0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420882066815E9, 0.0, 2023-09-22 17:14:42.066
250.0, 22430.735520212118, 36399.03353441162, -46411.94449805552, -41530.85995088339, -27136.492983876826, -17744.75935039036, -187500.02235174447, -8458.01186061047, -3817.722656455357, 22549.467986758707, -40242.08071733484, -36994.774579378914, -10039.978926179281, -35422.932854048355, -41023.05066860327, -39134.216503407544, -0.004, 1.006, 0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420882066818E9, 0.0, 2023-09-22 17:14:42.066
252.0, 22438.33511332692, 36398.83236871152, -46401.774454328355, -41533.38569800684, -27120.422079613458, -17746.905117858067, -187500.02235174447, -8442.700915658585, -3808.625496462047, 22523.584666679464, -40232.35770849678, -36987.75613161995, -10030.74765571924, -35414.975633022266, -41011.07013357522, -39124.627605036214, -0.004, 1.01, 0.162, 192.0, 127.5, 112.0, 15.5, 72.0, 2.5, 8.0, 0.0, 0.0, 0.0, 1.695420882066822E9, 0.0, 2023-09-22 17:14:42.066
254.0, 22439.653866249784, 36407.70601126028, -46412.01155328889, -41532.78220090654, -27137.029425743753, -17740.42311196603, -187500.02235174447, -8456.603700709784, -3814.012266875776, 22548.97624838069, -40241.90190337919, -36998.99905908097, -10040.358905835023, -35424.25160697122, -41023.6318139591, -39135.84818075278, -0.004, 1.01, 0.162, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420882066825E9, 0.0, 2023-09-22 17:14:42.066
0.0, 10993.951379531787, 19158.328373232885, -22325.32469336089, -20524.98108446373, -13404.296446358734, -8886.315987863063, -93750.01117587223, -3188.968084927569, -1902.3793223356395, 11255.287975703237, -20116.5476580319, -18496.42616467788, -5015.7091040264495, -17705.822611549214, -20508.507848800167, -19563.565500207606, -0.024, 1.009, 0.15300000000000002, 192.0, 127.0, 80.0, 15.5, 64.0, 2.0, 64.0, 0.0, 0.0, 0.0, 1.695420882212636E9, 0.0, 2023-09-22 17:14:42.212
2.0, 21972.234186200403, 38300.38467650231, -44662.02642464953, -41051.28092185032, -26833.380977318404, -17771.536740247815, -187500.02235174447, -6392.26363805099, -3683.6792449568807, 21207.33513919534, -39740.90990315794, -36206.16033150677, -10564.037926678411, -35526.98022448781, -40696.78225478915, -39188.71005638958, -0.024, 1.009, 0.15300000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420882212649E9, 0.0, 2023-09-22 17:14:42.212
4.0, 21959.67250581652, 38285.1854902727, -44661.244113593595, -41057.78527948681, -26819.947578900767, -17777.974042650945, -187500.02235174447, -6389.715539183086, -3686.339102547062, 21191.174827954153, -39742.51922875872, -36208.68607863022, -10568.687089525116, -35526.0861547096, -40699.15153970141, -39188.888870345225, -0.024, 1.009, 0.15300000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420882212652E9, 0.0, 2023-09-22 17:14:42.212
