%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
254.0, -54350.9265006693, 72440.90854417188, -6837.622146322983, 21285.11920989981, 55715.589906643625, 48658.60774023626, -187500.02235174447, 52118.34485749542, 73363.02976167557, 69926.94079005012, 33125.84407637645, 10590.122412457755, 60833.60294504201, 36632.58691222512, 22904.234874753343, 38195.28677407346, 0.07100000000000001, 0.506, -0.017, 192.0, 2.0, 56.0, 15.5, 80.0, 127.0, 120.0, 0.0, 0.0, 0.0, 1.695423150563672E9, 0.0, 2023-09-22 17:52:30.563
0.0, -54398.75923380366, 72402.46354370876, -6826.714495028794, 21203.04360425992, 55682.17404868294, 48631.740943400975, -187500.02235174447, 52079.11754597635, 73593.5656539876, 69973.03008711697, 33107.13566626736, 10578.924188485646, 60814.626313999455, 36622.68508943142, 22981.817779757712, 38264.01838827353, 0.07100000000000001, 0.506, -0.017, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695423150563679E9, 0.0, 2023-09-22 17:52:30.563
2.0, -54344.98093664419, 72437.73459645922, -6840.97490799128, 21277.67607899619, 55721.44606369091, 48656.93135940211, -187500.02235174447, 52131.37592451286, 73377.8713199939, 69920.23526671354, 33110.01904130209, 10580.421755364152, 60823.34349433702, 36626.417830755454, 22912.95205509091, 38199.91358517571, 0.07100000000000001, 0.506, -0.017, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695423150563683E9, 0.0, 2023-09-22 17:52:30.563
4.0, -54356.98382341669, 72426.67048295385, -6819.58428854755, 21206.28460720594, 55687.24789467429, 48640.748696416464, -187500.02235174447, 52110.83467135843, 73636.21278240833, 69977.38867728575, 33100.184273741754, 10566.943653457602, 60813.26285758768, 36623.646214443, 23009.35512892665, 38278.90465008076, 0.07100000000000001, 0.506, -0.017, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695423150563687E9, 0.0, 2023-09-22 17:52:30.563
6.0, -54398.33455065901, 72400.07190705203, -6822.914698471392, 21262.856872422322, 55726.22933700435, 48667.79430720738, -187500.02235174447, 52090.74045309311, 73357.44182556175, 69928.17013599517, 33113.75178262613, 10587.015519978468, 60832.57476479707, 36636.05143261569, 22895.182418248944, 38176.55601221991, 0.07100000000000001, 0.506, -0.017, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69542315056369E9, 0.0, 2023-09-22 17:52:30.563
8.0, -54390.10910869946, 72407.24681702218, -6813.638724522439, 21215.38176719925, 55690.891229020504, 48654.96440589004, -187500.02235174447, 52077.75408956458, 73589.02824986319, 70000.32156709691, 33115.092887293446, 10585.137973444222, 60829.60198278451, 36633.95036863689, 22985.282300148287, 38254.36243466883, 0.1085, 0.755, -0.0245, 192.0, 2.0, 72.0, 15.5, 48.0, 127.5, 0.0, 0.0, 0.0, 0.0, 1.695423150563693E9, 0.0, 2023-09-22 17:52:30.563
10.0, -54440.780513379636, 72370.70171483776, -6831.229547408766, 21255.100817096332, 55722.854223591596, 48663.52512401642, -187500.02235174447, 52062.66666205724, 73331.20087757122, 69920.01174926899, 33113.46120994821, 10581.606397820282, 60832.35124735251, 36632.855133158584, 22885.25824371079, 38167.28003827096, 0.1085, 0.755, -0.0245, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695423150563696E9, 0.0, 2023-09-22 17:52:30.563
12.0, -54354.99451816017, 72434.27007606866, -6830.715457286294, 21224.501278937016, 55685.70562430687, 48647.320109286324, -187500.02235174447, 52101.93867706522, 73592.98450863177, 69979.42268603119, 33106.04043078905, 10570.698746526092, 60820.23660185774, 36613.409115482464, 23005.89060853608, 38273.272010478024, 0.1085, 0.755, -0.0245, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6954231505637E9, 0.0, 2023-09-22 17:52:30.563
14.0, -54452.8504553855, 72361.96218275574, -6839.633803323961, 21236.14653779823, 55714.6511333765, 48642.73800167299, -187500.02235174447, 52047.62393803882, 73349.6634184913, 69897.72706004704, 33095.89273880634, 10571.659871537671, 60820.72834023576, 36612.73856314881, 22888.923929801458, 38176.77952966446, 0.1085, 0.755, -0.0245, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695423150563703E9, 0.0, 2023-09-22 17:52:30.563
0.0, -26748.734921066156, 36233.250645786604, -3435.865454180891, 10618.419720938173, 27864.958687419738, 24351.82325265685, -93750.01117587223, 26265.66901989806, 36765.66919871202, 34985.01747667998, 16554.528958145256, 5282.700691545092, 30408.900130856055, 18298.85909543742, 11497.938513510051, 19133.540288631953, 0.14200000000000002, 1.006, -0.034, 192.0, 2.0, 56.0, 15.5, 56.0, 127.0, 120.0, 0.0, 0.0, 0.0, 1.69542315067989E9, 0.0, 2023-09-22 17:52:30.679
