%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -187500.02235174447, 25966.13329245249, -43520.254614383535, -41260.91793309664, -12335.503081739316, 4223.250356107993, -187500.02235174447, 3299.162185092233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680657534962E9, 0.0, 2023-09-25 17:24:17.534
254.0, -187500.02235174447, 25911.863256915007, -43508.27407935549, -41263.64484592019, -12342.476826009373, 4219.428207806135, -187500.02235174447, 3318.94347893518, 14258.133084551464, 19527.646246867927, -80055.79025218371, -65989.9268734368, -10981.210885192262, 10654.495436489038, -20421.626618102386, -11154.950994843364, 0.052000000000000005, 1.02, -0.026000000000000002, 192.0, 0.5, 80.0, 15.5, 112.0, 127.5, 24.0, 0.0, 0.0, 0.0, 1.695680657534971E9, 0.0, 2023-09-25 17:24:17.534
0.0, -187500.02235174447, 25984.327612439112, -43517.28183237098, -41269.76922390094, -12348.48944526785, 4217.5953647608, -187500.02235174447, 3327.839473228392, 14276.282701049175, 19530.77549109167, -79955.4756230683, -65918.91538130229, -10868.736907093156, 10670.58869249686, -20356.4042277818, -11098.28932264916, 0.052000000000000005, 1.02, -0.026000000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680657534976E9, 0.0, 2023-09-25 17:24:17.534
2.0, -187500.02235174447, 25887.566910692087, -43496.78528270546, -41250.01028180245, -12330.473939236874, 4229.732362000032, -187500.02235174447, 3337.51777857754, 14262.938709609356, 19536.274020227673, -80018.90987383245, -65984.74126872317, -10947.8844342094, 10656.372983023284, -20412.216533686704, -11131.30284920965, 0.052000000000000005, 1.02, -0.026000000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69568065753498E9, 0.0, 2023-09-25 17:24:17.534
4.0, -187500.02235174447, 25954.778606269196, -43506.26242235451, -41259.8897528517, -12338.520567240783, 4218.645896750199, -187500.02235174447, 3355.779153797526, 14294.029986146688, 19537.704531872812, -79970.49599534227, -65960.80255041154, -10887.177096268786, 10673.583826253871, -20380.6111670269, -11111.476851877791, 0.052000000000000005, 1.02, -0.026000000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680657534983E9, 0.0, 2023-09-25 17:24:17.534
6.0, -187500.02235174447, 25882.11308504499, -43504.56368977591, -41257.721633639536, -12340.465169008396, 4222.177472374138, -187500.02235174447, 3357.679052076227, 14266.135009066464, 19532.273057970175, -79998.30156544466, -65990.01628041462, -10926.694980465769, 10651.321488776384, -20407.165039439802, -11124.485567150781, 0.052000000000000005, 1.02, -0.026000000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680657534986E9, 0.0, 2023-09-25 17:24:17.534
8.0, -187500.02235174447, 25969.933089009894, -43514.46551256961, -41274.10546232527, -12348.310631312208, 4212.253297835982, -187500.02235174447, 3376.968607541157, 14281.378898784984, 19526.930991045356, -79932.47567802378, -65947.70442816072, -10857.739848821146, 10658.697564446637, -20352.93970739123, -11075.132915393462, 0.05, 1.018, -0.024, 192.0, 0.5, 72.0, 15.5, 104.0, 127.5, 32.0, 0.0, 0.0, 0.0, 1.69568065753499E9, 0.0, 2023-09-25 17:24:17.534
10.0, -187500.02235174447, 25866.93625055984, -43510.106922400824, -41246.61281664525, -12327.67997117996, 4222.624507263245, -187500.02235174447, 3378.6002848863945, 14250.421732714383, 19533.949438804324, -79947.78662297566, -65965.2728993026, -10881.455049688228, 10644.213634039597, -20378.823027470473, -11087.091098677052, 0.05, 1.018, -0.024, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680657534993E9, 0.0, 2023-09-25 17:24:17.534
12.0, -187500.02235174447, 25956.745559781262, -43507.80469272193, -41268.31636051135, -12350.076419124178, 4207.6041349892785, -187500.02235174447, 3426.6565354653044, 14275.165113826408, 19535.06702602709, -79940.92463742789, -65972.80543718403, -10873.207255984218, 10663.749058693536, -20369.882329688353, -11077.47984856127, 0.05, 1.018, -0.024, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680657534997E9, 0.0, 2023-09-25 17:24:17.534
14.0, -187500.02235174447, 25875.94400357533, -43508.20702412212, -41255.620569660736, -12335.123102083577, 4221.819844462853, -187500.02235174447, 3407.4340352337404, 14249.52766293617, 19517.364444418483, -79914.59428245954, -65952.77827415208, -10845.915776004289, 10637.932793847656, -20362.707419718197, -11060.42546754187, 0.05, 1.018, -0.024, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680657535001E9, 0.0, 2023-09-25 17:24:17.535
