%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
208.0, 14124.067321308534, 33396.2331290523, -21995.502352178377, -19938.51601344538, -12199.760937662237, 16917.230715421523, -187500.02235174447, 15493.715166296384, 9090.074490317642, -30361.849708777634, -2829.216757919402, -12253.159255165965, 519.7451138192552, 1304.9842482786476, -24064.782150361796, -30906.561721153466, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684470904104E9, 0.0, 2023-09-25 18:27:50.904
210.0, 14128.001228332667, 33406.93961464639, -22000.442087703002, -19938.158385534094, -12203.024292352711, 16915.889610754206, -187500.02235174447, 15480.505285323297, 9097.159993309975, -30353.065473206698, -2819.2031764034245, -12240.32935384862, 534.3855064374812, 1319.9599170637032, -24060.110635770638, -30902.627814129333, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684470904111E9, 0.0, 2023-09-25 18:27:50.904
212.0, 14133.343295257486, 33400.122332587525, -21991.74725910989, -19941.086464057742, -12195.31294051563, 16918.527116599933, -187500.02235174447, 15491.479991850852, 9097.964656110365, -30351.634961561558, -2819.381990359067, -12241.84927247158, 531.7703523362103, 1326.5536816780188, -24062.166996260527, -30901.577282139933, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684470904115E9, 0.0, 2023-09-25 18:27:50.904
214.0, 14124.827280620013, 33397.0824953416, -21999.570369669244, -19950.51890021788, -12194.50827771524, 16920.44936662309, -187500.02235174447, 15492.955206984903, 9094.477783975337, -30349.66800804949, -2818.2420513918464, -12237.42362706943, 537.2018262388499, 1312.9414693047368, -24057.026095035806, -30895.7434768371, 0.052000000000000005, 0.908, 0.444, 192.0, 0.5, 80.0, 14.0, 48.0, 6.5, 112.0, 0.0, 0.0, 0.0, 1.695684470904125E9, 0.0, 2023-09-25 18:27:50.904
216.0, 14116.26656249363, 33396.72486743032, -21996.39642195659, -19959.72781893347, -12190.239094524277, 16918.25889566647, -187500.02235174447, 15496.419727375476, 9084.285388503718, -30358.988685487355, -2823.1147316831034, -12243.771522494737, 524.1484074769506, 1304.4701581561756, -24060.870595082117, -30894.87175880334, 0.052000000000000005, 0.908, 0.444, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684470904128E9, 0.0, 2023-09-25 18:27:50.904
218.0, 14115.573658415517, 33394.444989495874, -22007.5946459287, -19973.67530747358, -12203.739548175281, 16912.514497341454, -187500.02235174447, 15452.520901265252, 9084.575961181637, -30360.374493643583, -2815.7833595017623, -12244.75499925077, 530.7198203468109, 1313.7014286162173, -24065.251536995358, -30891.63075585732, 0.052000000000000005, 0.908, 0.444, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684470904131E9, 0.0, 2023-09-25 18:27:50.904
220.0, 14121.116891040432, 33397.44012325288, -21997.536360923812, -19970.36724929419, -12186.908684600436, 16928.630105093733, -187500.02235174447, 15496.240913419833, 9086.252342015785, -30362.117929711098, -2812.899984467028, -12243.27978411672, 528.3728871790037, 1313.9472978052256, -24059.775359603806, -30879.046723728985, 0.052000000000000005, 0.908, 0.444, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684470904135E9, 0.0, 2023-09-25 18:27:50.904
222.0, 14115.12662352641, 33390.533434216195, -22009.36043374067, -19978.503284275925, -12208.008731366246, 16916.001369476482, -187500.02235174447, 15468.547102039707, 9089.918028106455, -30358.67576106498, -2809.4578158209106, -12241.513996304751, 537.6488611279561, 1312.1368065043457, -24056.176728746505, -30877.05741847246, 0.052000000000000005, 0.908, 0.444, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684470904138E9, 0.0, 2023-09-25 18:27:50.904
224.0, 14110.723329868715, 33389.95228886036, -22004.912436594062, -19979.643223243147, -12210.199202322865, 16915.73314854302, -187500.02235174447, 15461.841578703115, 9087.168763538451, -30365.381284401574, -2813.0117431893045, -12250.052362686678, 522.9190615319087, 1307.1076640019016, -24061.317629971225, -30880.7901597965, 0.054, 0.896, 0.444, 192.0, 0.5, 88.0, 14.0, 0.0, 6.5, 112.0, 0.0, 0.0, 0.0, 1.695684470904143E9, 0.0, 2023-09-25 18:27:50.904
0.0, 6003.298581039737, 16785.757754535407, -10153.458732778876, -9434.447817140559, -5728.595641684013, 8584.03099584949, -93750.01117587223, 11175.7381171868, 4545.450752431244, -15182.556531734053, -1403.8460140044706, -6123.081579575727, 267.63978810784675, 647.7312025703434, -12029.798272824082, -15441.233270315322, 0.068, 0.903, 0.439, 192.0, 1.0, 72.0, 14.0, 56.0, 6.5, 72.0, 0.0, 0.0, 0.0, 1.695684471074506E9, 0.0, 2023-09-25 18:27:51.074
2.0, 12006.060720212547, 33573.16953816051, -20261.744590013575, -18860.893709766115, -11463.047440415316, 17167.123218431858, -187500.02235174447, 22360.03695249998, 10029.428902796377, -28215.121116056576, -684.7680431327872, -7632.047847753507, 748.0681834302168, 2593.875240549474, -23414.324034967904, -29743.30988446592, 0.068, 0.903, 0.439, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684471074515E9, 0.0, 2023-09-25 18:27:51.074
4.0, 11999.511659087142, 33566.97810494639, -20310.873724326342, -18873.678907594553, -11475.050327187817, 17152.326363602446, -187500.02235174447, 22366.80953106994, 10028.087798129058, -28217.53510445775, -684.0080838213067, -7629.276231441049, 751.1750759095045, 2592.9141155378957, -23420.224895504107, -29745.589762400363, 0.068, 0.903, 0.439, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684471074519E9, 0.0, 2023-09-25 18:27:51.074
6.0, 11997.455298597253, 33564.5194130563, -20305.30813995697, -18880.049154764314, -11472.815152742285, 17146.716075744163, -187500.02235174447, 22360.506339133542, 10018.454196268822, -28230.49911624183, -708.0809125996724, -7645.771818849065, 732.4219623115018, 2577.8937432639295, -23445.37060801633, -29760.74424514106, 0.068, 0.903, 0.439, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684471074522E9, 0.0, 2023-09-25 18:27:51.074
8.0, 11994.124888673412, 33562.507756055325, -20321.4460994537, -18881.569073387276, -11450.709277475988, 17141.91045068627, -187500.02235174447, 22374.4314759292, 10022.566917248598, -28231.124965086576, -703.319991030692, -7646.08474327144, 750.5715788092111, 2577.3125979080914, -23448.477500495614, -29762.331218997388, 0.098, 0.922, 0.42, 192.0, 1.5, 8.0, 14.0, 104.0, 6.5, 16.0, 0.0, 0.0, 0.0, 1.695684471074525E9, 0.0, 2023-09-25 18:27:51.074
10.0, 11995.577752063007, 33565.48053806788, -20289.527808371524, -18870.437904648534, -11491.74708029593, 17152.192253135712, -187500.02235174447, 22370.296403204968, 10011.323989787577, -28227.906313885014, -710.3384387896584, -7645.838874082431, 727.482226786879, 2584.979246256262, -23439.44739573567, -29758.03968406197, 0.098, 0.922, 0.42, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684471074529E9, 0.0, 2023-09-25 18:27:51.074
12.0, 11998.863458497937, 33568.11804391361, -20319.03211105253, -18870.951994771003, -11476.860818488696, 17148.504215300585, -187500.02235174447, 22388.088391791392, 10010.69814094283, -28224.844124894636, -704.2811160422702, -7642.79903683651, 725.224700596893, 2583.8169555445857, -23422.97416007211, -29752.31763748141, 0.098, 0.922, 0.42, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684471074532E9, 0.0, 2023-09-25 18:27:51.074
14.0, 11993.633150295396, 33563.625343278094, -20293.595825862387, -18878.752753585908, -11477.039632444339, 17143.743293731608, -187500.02235174447, 22366.273089203012, 10006.943047874338, -28229.9626743749, -723.3248023181918, -7654.332536975448, 719.5920609941555, 2576.753804296709, -23443.470709737627, -29769.79670164546, 0.098, 0.922, 0.42, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684471074535E9, 0.0, 2023-09-25 18:27:51.074
16.0, 12001.411557365842, 33572.81191024923, -20307.05157602448, -18873.96948027247, -11464.388545082635, 17143.519776287052, -187500.02235174447, 22403.935778610205, 9994.359015746, -28229.15801157451, -712.3053923017254, -7649.415153195281, 740.580349037689, 2575.882086262952, -23438.285105023995, -29761.057169563435, 0.098, 0.922, 0.42, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684471134769E9, 0.0, 2023-09-25 18:27:51.134
18.0, 12014.733197061205, 33579.8750614971, -20330.67736991374, -18878.082201252248, -11478.112516178193, 17156.416732837766, -187500.02235174447, 22400.985348342103, 9999.835193137551, -28220.083203325656, -705.577517220678, -7645.838874082431, 743.6872415169765, 2581.291208421136, -23431.53487819849, -29751.89295433676, 0.108, 0.922, 0.41600000000000004, 192.0, 1.5, 48.0, 14.0, 104.0, 6.5, 0.0, 0.0, 0.0, 0.0, 1.69568447113478E9, 0.0, 2023-09-25 18:27:51.134
20.0, 12008.586467335996, 33580.344448130665, -20291.561817116955, -18884.02776527736, -11470.89290271913, 17143.25155535359, -187500.02235174447, 22397.029089573516, 9991.766213389184, -28221.82663939317, -704.5046334868233, -7646.554129905001, 743.6648897725213, 2580.0842142205497, -23439.11211956884, -29753.859907848826, 0.108, 0.922, 0.41600000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684471134783E9, 0.0, 2023-09-25 18:27:51.134
22.0, 12019.002380252168, 33588.25696566784, -20301.06130851046, -18887.849913579215, -11474.670347532076, 17154.62859328134, -187500.02235174447, 22403.108764065357, 9995.16367854639, -28214.115287556087, -687.1373280450497, -7635.467664655169, 730.7455814773538, 2590.455423647812, -23420.940151326675, -29741.812317587417, 0.108, 0.922, 0.41600000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684471134787E9, 0.0, 2023-09-25 18:27:51.134
24.0, 12018.510641874152, 33587.89933775656, -20282.464657123644, -18893.281387481857, -11484.03572845885, 17148.750084489595, -187500.02235174447, 22402.460563476154, 9982.222018506769, -28213.53414220025, -681.6387989090442, -7633.9030425432975, 742.7484682498537, 2590.097795736527, -23426.416328718227, -29739.152459997233, 0.108, 0.922, 0.41600000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69568447113479E9, 0.0, 2023-09-25 18:27:51.134
26.0, 12018.66710408534, 33586.31236390023, -20334.678332171243, -18901.618588163685, -11467.763658495387, 17149.375933334344, -187500.02235174447, 22405.254531533068, 9966.888721810428, -28209.68964215394, -690.2218687798821, -7631.064370997474, 731.2820233442811, 2591.818880059586, -23434.01592183303, -29735.732643095573, 0.108, 0.922, 0.41600000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684471134795E9, 0.0, 2023-09-25 18:27:51.134
28.0, 12024.635019854906, 33588.79340753477, -20282.554064101467, -18894.3095677268, -11475.787934754842, 17150.828796723938, -187500.02235174447, 22416.117479338347, 9970.353242201, -28214.96465384539, -693.5522787037229, -7638.865129812376, 750.3704131091134, 2585.873316034474, -23462.58145124691, -29741.141765253757, 0.10200000000000001, 0.916, 0.426, 192.0, 1.5, 24.0, 14.0, 80.0, 6.5, 40.0, 0.0, 0.0, 0.0, 1.695684471134798E9, 0.0, 2023-09-25 18:27:51.134
30.0, 12039.051895028579, 33603.433800153, -20291.49476188359, -18895.963596816495, -11469.238873629436, 17142.62570650884, -187500.02235174447, 22406.461525733655, 9970.509704412187, -28210.315490998688, -691.9876565918513, -7636.562900133479, 734.5677297792113, 2584.934542767351, -23420.11313678183, -29742.952256554636, 0.10200000000000001, 0.916, 0.426, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684471194274E9, 0.0, 2023-09-25 18:27:51.194
32.0, 12010.821641781527, 33577.483424840386, -20291.20418920567, -18886.3076432118, -11477.509019077901, 17146.38079957733, -187500.02235174447, 22423.024168375036, 9955.444628649311, -28206.87332235257, -691.1382903025496, -7632.360772175882, 753.0079189548396, 2586.8344410460522, -23420.403709459748, -29744.427471688687, 0.10200000000000001, 0.916, 0.426, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684471194322E9, 0.0, 2023-09-25 18:27:51.194
