%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 22041.74811145641, 42095.934402458006, -42824.84714089002, -43343.34055701978, -21106.260550768442, -22473.472055610666, -187500.02235174447, -6973.788973544714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761144658543E9, 0.0, 2023-09-26 15:45:44.658
224.0, 22066.469140823978, 42125.99749875039, -42817.98515534224, -43337.55145520585, -21099.867951854223, -22470.92395674276, -187500.02235174447, -6921.731760708304, -8012.072206982638, -29307.09323967615, -41963.0532816712, -32609.071744569752, -19128.980532763067, -23495.907902229777, -46373.544201081306, -23698.63822443941, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761144658562E9, 0.0, 2023-09-26 15:45:44.658
226.0, 22039.244716077414, 42094.101559412666, -42825.361231012495, -43343.56407446433, -21104.27124551192, -22474.656698066796, -187500.02235174447, -6961.763735027759, -8026.556137389677, -29309.70839377742, -41972.463366086886, -32625.544980233313, -19128.354683918322, -23492.309271372473, -46373.03011095883, -23696.581863949523, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761144658572E9, 0.0, 2023-09-26 15:45:44.658
228.0, 22066.044457679327, 42134.17823722104, -42811.48079770575, -43332.00822258094, -21097.588073919782, -22474.433180622244, -187500.02235174447, -6901.235211042787, -8017.078997740627, -29296.543216293245, -41964.9531799499, -32605.987203834917, -19142.03395152497, -23467.767055960543, -46369.45383184598, -23695.576035449034, -0.068, 1.01, 0.024, 192.0, 126.5, 112.0, 15.5, 72.0, 0.0, 96.0, 0.0, 0.0, 0.0, 1.695761144658582E9, 0.0, 2023-09-26 15:45:44.658
230.0, 22038.529460254846, 42097.65548678106, -42817.29225126413, -43331.38237373619, -21102.483105955496, -22471.952136987704, -187500.02235174447, -6961.383755372019, -8032.009963036771, -29301.79587624024, -41965.042586927724, -32606.12131430165, -19121.02331173698, -23495.863198740866, -46364.737613765916, -23690.010451079663, -0.068, 1.01, 0.024, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761144658611E9, 0.0, 2023-09-26 15:45:44.658
232.0, 22060.74709424342, 42132.52420813134, -42818.20867278679, -43349.040251855884, -21109.903885114658, -22485.720811572173, -187500.02235174447, -6883.800850367648, -8025.639715867009, -29301.974690195882, -41970.11643291908, -32606.25542476838, -19141.989248036058, -23497.204303408183, -46375.57820982674, -23702.12509657444, -0.068, 1.01, 0.024, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695761144658621E9, 0.0, 2023-09-26 15:45:44.658
234.0, 22045.771425458363, 42097.96841120344, -42810.51967269417, -43329.90715860214, -21097.2304460085, -22467.906471241295, -187500.02235174447, -6973.699566566893, -8017.30251518518, -29300.588882039654, -41965.06493867218, -32616.78309640683, -19128.041759495947, -23481.535730545012, -46374.63943655961, -23707.422460010348, -0.068, 1.01, 0.024, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69576114465863E9, 0.0, 2023-09-26 15:45:44.658
236.0, 22054.80153021831, 42116.05097246778, -42817.806341386604, -43346.84978089926, -21102.058422810846, -22473.606166077396, -187500.02235174447, -6933.0417434026895, -8017.481329140822, -29300.790047739752, -41959.58876128063, -32605.11548580116, -19122.45382338212, -23485.246120124593, -46367.106898678176, -23695.799552893586, -0.068, 1.01, 0.024, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69576114465864E9, 0.0, 2023-09-26 15:45:44.658
238.0, 22035.623733475655, 42090.01119017735, -42823.550739711616, -43341.06067908534, -21108.22750428051, -22473.941442244228, -187500.02235174447, -6978.818116047159, -8043.3199457311575, -29306.579149553676, -41982.253430158315, -32618.303015029793, -19130.88043104177, -23468.102332127375, -46380.27207616235, -23708.920026888853, -0.074, 1.012, 0.02, 192.0, 126.5, 88.0, 15.5, 80.0, 0.0, 80.0, 0.0, 0.0, 0.0, 1.695761144658649E9, 0.0, 2023-09-26 15:45:44.658
0.0, 10937.535576526592, 20749.482005772832, -21487.35779373143, -21624.59750468701, -10701.635265545281, -11199.498021542791, -93750.01117587223, -2198.7858055574666, -4020.4082751760816, -14652.104932320706, -20989.606796456195, -16303.049481278596, -9550.565129585879, -11752.726048556096, -23190.06898284781, -11845.664602001263, -0.034999999999999996, 1.009, 0.003, 192.0, 0.0, 16.0, 15.5, 56.0, 127.5, 72.0, 0.0, 0.0, 0.0, 1.695761144787193E9, 0.0, 2023-09-26 15:45:44.787
