%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 41438.43548756069, 2279.565010018946, 31606.283081326856, 48237.45617120936, -187500.02235174447, 67379.13249482305, -187500.02235174447, -187500.02235174447, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959317808323584E9, 0.0, 2023-09-28 15:09:40.832
224.0, 41386.08770204636, 2224.736180870078, 31723.585036228305, 48535.49433177643, -187500.02235174447, 67662.03852439387, -187500.02235174447, -187500.02235174447, 40004.14639760809, 19062.43938951962, -187500.02235174447, 42721.49267452868, 16748.475044783958, 37906.43518047752, -187500.02235174447, -185094.54996520877, -0.008, 1.016, 0.078, 192.0, 127.5, 96.0, 15.5, 96.0, 1.0, 56.0, 0.0, 0.0, 0.0, 1.6959317808323767E9, 0.0, 2023-09-28 15:09:40.832
226.0, 41430.29945257896, 2270.1325738588066, 31588.222871806967, 48247.40269749197, -187500.02235174447, 67393.14703859652, -187500.02235174447, -187500.02235174447, 40032.98014795544, 19033.04684556089, -187500.02235174447, 42616.41712384429, 16583.943853848443, 37809.070981630204, -187500.02235174447, -185154.67615779355, -0.008, 1.016, 0.078, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959317808323889E9, 0.0, 2023-09-28 15:09:40.832
228.0, 41392.88263236077, 2226.703134382145, 31750.0942051523, 48554.82859073026, -187500.02235174447, 67685.1278764162, -187500.02235174447, -187500.02235174447, 40005.59926099769, 19061.05358136339, -187500.02235174447, 42712.84254942448, 16726.972666617952, 37907.46336072247, -187500.02235174447, -185084.04464531477, -0.008, 1.016, 0.078, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959317808324E9, 0.0, 2023-09-28 15:09:40.832
230.0, 41444.11283065234, 2287.1422513892953, 31575.571784445263, 48236.69621189788, -187500.02235174447, 67384.07223034767, -187500.02235174447, -187500.02235174447, 40042.7031567935, 19048.424845746144, -187500.02235174447, 42634.54438859754, 16594.002138853328, 37829.500476062356, -187500.02235174447, -185108.60921247117, -0.008, 1.016, 0.078, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959317808324113E9, 0.0, 2023-09-28 15:09:40.832
232.0, 41374.82242284089, 2212.1745004861955, 31757.582039544828, 48552.34754709573, -187500.02235174447, 67687.56421656182, -187500.02235174447, -187500.02235174447, 40006.470979031445, 19067.62499423325, -187500.02235174447, 42704.17007257582, 16719.797756647797, 37905.71992465496, -187500.02235174447, -185124.43424754552, -0.008, 1.016, 0.078, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695931780832424E9, 0.0, 2023-09-28 15:09:40.832
234.0, 41437.362603826834, 2278.6262367518234, 31573.44836872201, 48267.876895413036, -187500.02235174447, 67421.69021626595, -187500.02235174447, -187500.02235174447, 40020.12789489364, 19041.115825309258, -187500.02235174447, 42635.43845837575, 16599.634778456068, 37841.30219713476, -187500.02235174447, -185075.61803765513, -0.008, 1.014, 0.082, 192.0, 127.5, 96.0, 15.5, 88.0, 1.0, 72.0, 0.0, 0.0, 0.0, 1.6959317808324351E9, 0.0, 2023-09-28 15:09:40.832
236.0, 41386.75825438002, 2223.730352369589, 31767.19328966061, 48546.17846562606, -187500.02235174447, 67682.69153627056, -187500.02235174447, -187500.02235174447, 40032.756630510885, 19080.700764739606, -187500.02235174447, 42701.21964230772, 16717.808451391276, 37920.96381437347, -187500.02235174447, -185128.3905063141, -0.008, 1.014, 0.082, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695931780832446E9, 0.0, 2023-09-28 15:09:40.832
238.0, 41448.82904873241, 2295.9488387046863, 31574.096569311212, 48274.291846071705, -187500.02235174447, 67424.66299827851, -187500.02235174447, -187500.02235174447, 40032.95779621098, 19048.201328301588, -187500.02235174447, 42658.68427260927, 16628.177956125495, 37863.43042414551, -187500.02235174447, -185030.2216446664, -0.008, 1.014, 0.082, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959317808324573E9, 0.0, 2023-09-28 15:09:40.832
240.0, 41380.5668211659, 2221.919861068709, 31769.29435363941, 48523.96083163749, -187500.02235174447, 67658.48459702547, -187500.02235174447, -187500.02235174447, 40036.958758468485, 19082.332442084844, -187500.02235174447, 42688.903831112846, 16696.82016334774, 37906.09990431069, -187500.02235174447, -185162.23104741945, -0.008, 1.014, 0.082, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695931780832468E9, 0.0, 2023-09-28 15:09:40.832
