%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
208.0, -44944.5077710757, 17963.627632096726, -42020.98900329936, -25862.53295690214, -11065.298147833128, -14393.741118161812, -187500.02235174447, -5790.331159869571, -8029.2383467243135, 21750.795453881678, -26372.353896183242, -20843.404035974032, 0.8270145448463613, -6911.517013492229, -22102.410745908113, -37702.52021581176, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696033131037462E9, 0.0, 2023-09-29 19:18:51.037
210.0, -44934.18126513735, 17895.54421848586, -42033.99771857235, -25905.001271367226, -11082.419584085892, -14407.979179379843, -187500.02235174447, -5808.033741478174, -8031.629983381032, 21745.185166023395, -26364.351971668242, -20849.08137906568, -5.453825647094924, -6915.808548427648, -22107.886923299662, -37708.73400077033, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696033131037471E9, 0.0, 2023-09-29 19:18:51.037
212.0, -44927.095762145014, 17945.209794665552, -42026.97927081338, -25877.55332917611, -11070.170828124385, -14399.954903120388, -187500.02235174447, -5795.829689005576, -8025.080922255626, 21731.48354667229, -26384.64735563366, -20848.634344176575, -6.482005892039048, -6924.212804342843, -22107.216370966, -37711.282099638236, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696033131037475E9, 0.0, 2023-09-29 19:18:51.037
214.0, -44933.42130582587, 17881.8202473903, -42032.25428250484, -25922.54739076464, -11076.563427038602, -14416.338731806129, -187500.02235174447, -5807.899631011443, -8018.822433808141, 21745.07340730112, -26362.22855594499, -20847.427349975987, -0.7823110559357472, -6930.113664879044, -22109.809173322818, -37718.613471819575, 0.152, 0.998, 0.196, 192.0, 2.0, 96.0, 15.5, 24.0, 3.0, 16.0, 0.0, 0.0, 0.0, 1.69603313103749E9, 0.0, 2023-09-29 19:18:51.037
216.0, -44950.453335100814, 17925.27203861142, -42021.45838993292, -25880.280241999655, -11063.688822232345, -14407.196868323908, -187500.02235174447, -5788.274799379683, -8029.148939746492, 21756.83042488461, -26387.910710324137, -20850.042504077257, -0.7599593114804402, -6930.493644534785, -22098.14156271715, -37718.85934100859, 0.152, 0.998, 0.196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696033131037493E9, 0.0, 2023-09-29 19:18:51.037
218.0, -44940.55151230711, 17933.117500915232, -42029.3709074701, -25917.004158139727, -11076.161095638407, -14421.814909197677, -187500.02235174447, -5805.306828654627, -8026.824358323141, 21739.68663688739, -26341.73200627947, -20855.09399832416, -12.136997239231736, -6931.141845123988, -22101.963711019005, -37710.96917521586, 0.152, 0.998, 0.196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696033131037497E9, 0.0, 2023-09-29 19:18:51.037
220.0, -44934.69535525982, 17918.8794396972, -42017.613889886605, -25894.65241368442, -11063.130028620963, -14410.571981736659, -187500.02235174447, -5790.912305225409, -8032.166425247959, 21725.426223924904, -26392.22459700401, -20854.51285296832, -11.086465249832303, -6948.933833710413, -22098.700356328533, -37722.01093697679, 0.152, 0.998, 0.196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6960331310375E9, 0.0, 2023-09-29 19:18:51.037
222.0, -44917.596270751514, 17931.35171310326, -42026.80045685774, -25907.906998146416, -11081.726680007778, -14421.144356864019, -187500.02235174447, -5808.681942067378, -8015.581430862121, 21743.531136933703, -26344.280105147376, -20851.69653316695, -8.940697782122825, -6939.032010916711, -22099.505019128923, -37710.74565777131, 0.152, 0.998, 0.196, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696033131037512E9, 0.0, 2023-09-29 19:18:51.037
224.0, -44943.948977464315, 17882.91548286861, -42022.97830855588, -25886.091695558036, -11073.188313625851, -14406.36985377906, -187500.02235174447, -5794.2874186381605, -8032.412294436967, 21723.951008790853, -26402.685213409095, -20846.063893564213, -10.125340238254099, -6940.395467328485, -22106.590522121256, -37723.03911722173, 0.152, 0.998, 0.2, 192.0, 2.0, 96.0, 15.5, 24.0, 3.0, 32.0, 0.0, 0.0, 0.0, 1.696033131037515E9, 0.0, 2023-09-29 19:18:51.037
0.0, -22152.05397034335, 9547.36883012877, -20879.50210326935, -12999.171078106294, -5552.843875031934, -7148.825484374223, -93750.01117587223, -2807.5355657977543, -4007.041931991808, 10889.814602114511, -13168.910225499896, -10423.043122654333, -7.465482648072559, -3463.0451754385444, -11055.083400617052, -18849.673134049553, 0.161, 1.001, 0.199, 192.0, 2.5, 40.0, 15.5, 48.0, 3.0, 24.0, 0.0, 0.0, 0.0, 1.696033131198393E9, 0.0, 2023-09-29 19:18:51.198
2.0, -44297.58123130575, 19055.823273160848, -41768.61545665449, -26040.78811893322, -11118.562354870124, -14311.956085199845, -187500.02235174447, -5638.138131873386, -10032.111112131013, 26769.946726554244, -26179.234824089388, -20628.08968163606, 781.4393379019903, -6490.968941565627, -22458.004648447593, -37875.47801440692, 0.161, 1.001, 0.199, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696033131198403E9, 0.0, 2023-09-29 19:18:51.198
4.0, -44310.25467041191, 19009.823383071827, -41763.586314152046, -26028.539362971707, -11110.538078610669, -14304.758823485236, -187500.02235174447, -5634.226576593706, -10043.734019247773, 26742.25291517412, -26238.221077706945, -20629.050806647636, 786.3120181932471, -6508.582116196409, -22460.21747114867, -37895.46047394997, 0.161, 1.001, 0.199, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696033131198406E9, 0.0, 2023-09-29 19:18:51.198
6.0, -44306.92426048807, 19078.890273438727, -41773.845764857026, -26042.688017211916, -11123.658552605933, -14319.466271336827, -187500.02235174447, -5651.660937268846, -10029.563013263109, 26762.145967739343, -26172.976335641903, -20620.713605965808, 765.1002127051607, -6483.034072283992, -22457.199985647203, -37874.941572539996, 0.161, 1.001, 0.199, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69603313119841E9, 0.0, 2023-09-29 19:18:51.198
8.0, -44300.19638540702, 19008.258760959954, -41764.346273463525, -26037.23419156482, -11105.710101808323, -14302.009558917232, -187500.02235174447, -5635.970012661221, -10047.310298360622, 26737.9613802387, -26240.456252152475, -20626.41330080191, 769.8164307852305, -6506.637514428797, -22461.178596160247, -37898.723828640446, 0.176, 0.992, 0.192, 192.0, 2.5, 64.0, 15.5, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.696033131198413E9, 0.0, 2023-09-29 19:18:51.198
10.0, -44294.16141440409, 19083.740601985526, -41768.63780839894, -26038.262371809768, -11112.527383867191, -14301.406061816939, -187500.02235174447, -5643.659012753847, -10025.047960883137, 26786.39761047335, -26172.909280408538, -20618.769004198195, 786.0437972597834, -6473.3110634459335, -22449.86861346586, -37865.62089510213, 0.176, 0.992, 0.192, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696033131198416E9, 0.0, 2023-09-29 19:18:51.198
12.0, -44305.22552790946, 18959.219033625013, -41757.5066396602, -26042.62096197855, -11102.558505840125, -14292.77828845719, -187500.02235174447, -5639.367477818427, -10046.282118115678, 26728.305426634008, -26242.780833575827, -20613.35988204001, 753.3655468661245, -6494.947552078671, -22448.035770420527, -37890.36427621416, 0.176, 0.992, 0.192, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696033131198419E9, 0.0, 2023-09-29 19:18:51.198
14.0, -44301.358676118696, 19066.954441899594, -41767.900200831915, -26026.885333882015, -11108.794642543155, -14298.96972167131, -187500.02235174447, -5642.1390941308855, -10020.13057710297, 26765.05169451853, -26173.42337053101, -20611.012948872205, 767.8271255287082, -6475.1886099801795, -22438.4468720492, -37861.2846566778, 0.176, 0.992, 0.192, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696033131198422E9, 0.0, 2023-09-29 19:18:51.198
16.0, -44301.358676118696, 18955.955678934537, -41768.59310491003, -26048.499470770297, -11113.779081556688, -14305.652893263448, -187500.02235174447, -5644.284861598595, -10045.3209931041, 26736.933199993757, -26228.67688282453, -20624.22282984529, 760.5628085807334, -6520.964982624649, -22447.901659953794, -37889.4925581804, 0.176, 0.992, 0.192, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696033131258655E9, 0.0, 2023-09-29 19:18:51.258
18.0, -44296.06131268279, 19073.39174430272, -41772.370549722975, -26023.331406513622, -11113.95789551233, -14303.39536707346, -187500.02235174447, -5639.300422585061, -10019.437673024855, 26781.055543548533, -26166.94136463897, -20625.3180653236, 770.576390096711, -6485.090432773881, -22446.58290703093, -37869.64420910409, 0.188, 0.988, 0.192, 192.0, 2.5, 112.0, 15.0, 112.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.696033131258665E9, 0.0, 2023-09-29 19:18:51.258
