%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
238.0, -70736.11864282115, 72147.25132551805, -5466.990824579099, 14586.614321066658, 57365.61803407884, 47342.693488918965, -187500.02235174447, 53720.182623885, 63942.305915630575, 79211.22958793993, 34653.54110640778, 9176.173409959485, 62451.60102267278, 41585.82289049899, 10968.40333561937, 25572.429665616713, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422728694797E9, 0.0, 2023-09-22 17:45:28.694
240.0, -70831.60529513423, 72082.63243229776, -5449.288242970496, 14514.529945198292, 57368.233188180115, 47334.87037835961, -187500.02235174447, 53629.38983790754, 63992.61969239947, 79252.49090820443, 34640.55474287924, 9181.336662928661, 62454.30558375187, 41598.295163905044, 10999.740481345712, 25600.659918863767, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422728694805E9, 0.0, 2023-09-22 17:45:28.694
242.0, -70761.19730010002, 72133.59440965587, -5469.002481580077, 14587.664853056056, 57385.48873489961, 47351.03068960079, -187500.02235174447, 53705.22930684439, 63910.141755359386, 79219.25386419939, 34655.3292459642, 9195.284151468773, 62461.41343848866, 41607.86171053192, 10949.583166788003, 25553.698903763165, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422728694809E9, 0.0, 2023-09-22 17:45:28.694
244.0, -70836.25445798093, 72085.22523465457, -5446.114295257842, 14502.795279359256, 57386.09223199991, 47334.17747428149, -187500.02235174447, 53624.07012272717, 63999.88400934744, 79255.24017277244, 34637.581960866686, 9196.066462524708, 62462.35221175578, 41602.58669884047, 11008.524716916647, 25603.051555520484, 0.051000000000000004, 0.506, 0.04, 192.0, 1.5, 24.0, 15.5, 80.0, 1.0, 64.0, 0.0, 0.0, 0.0, 1.695422728694812E9, 0.0, 2023-09-22 17:45:28.694
246.0, -70796.98244297296, 72109.54393262195, -5475.573894449937, 14571.146913903585, 57401.49258392961, 47340.79359064026, -187500.02235174447, 53703.038835887775, 63873.239025263676, 79185.30156437178, 34651.417690684524, 9204.604828906635, 62474.53391248392, 41599.65862031682, 10913.261582048128, 25518.606664968334, 0.051000000000000004, 0.506, 0.04, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422728694815E9, 0.0, 2023-09-22 17:45:28.694
248.0, -70820.7646990734, 72100.60323483983, -5450.584644148904, 14493.876933321588, 57382.47124939814, 47322.15223576454, -187500.02235174447, 53637.83879731164, 64016.267838033185, 79258.704693163, 34634.51977187631, 9186.25404670883, 62460.25114777698, 41588.19217541125, 11013.777376863645, 25605.130267754826, 0.051000000000000004, 0.506, 0.04, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422728694818E9, 0.0, 2023-09-22 17:45:28.694
250.0, -70801.72101279748, 72112.29319718995, -5475.775060150035, 14559.8369312092, 57395.23409548213, 47333.529273692286, -187500.02235174447, 53693.941675894464, 63872.97080433021, 79184.22868063793, 34643.05813825824, 9199.620389893102, 62470.51059848197, 41594.607126069925, 10909.886468635377, 25511.789382909465, 0.051000000000000004, 0.506, 0.04, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422728694822E9, 0.0, 2023-09-22 17:45:28.694
252.0, -70785.1583701561, 72134.28731373398, -5447.41069643625, 14497.229694989885, 57374.35756616087, 47319.045343285245, -187500.02235174447, 53628.98750650734, 64039.69246622235, 79276.40727477161, 34643.81809756972, 9194.568895646202, 62457.568938442346, 41579.430291584766, 11038.319592275571, 25616.909637082772, 0.051000000000000004, 0.506, 0.04, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422728694826E9, 0.0, 2023-09-22 17:45:28.694
254.0, -70820.22825720647, 72104.62654884178, -5471.639987425803, 14549.64453573758, 57400.44205194021, 47320.74407586385, -187500.02235174447, 53652.90387307452, 63849.85910056342, 79178.59604103518, 34652.468222673924, 9206.616485907613, 62476.38910727372, 41595.858823759416, 10908.478308734693, 25493.975042578586, 0.07550000000000001, 0.758, 0.056999999999999995, 192.0, 1.5, 16.0, 15.5, 72.0, 1.0, 40.0, 0.0, 0.0, 0.0, 1.69542272869483E9, 0.0, 2023-09-22 17:45:28.694
0.0, -35299.50652116615, 36103.364658756815, -2730.936137549417, 7281.214866783008, 28660.658438284212, 23654.985267518197, -93750.01117587223, 26871.960088248266, 32028.9098654878, 39622.75858196719, 17326.513508142652, 4592.881154165406, 31226.549294775643, 20786.563549824186, 5532.973174211165, 12814.7244828611, 0.09075, 0.887, 0.0665, 192.0, 1.5, 40.0, 15.5, 96.0, 1.0, 48.0, 0.0, 0.0, 0.0, 1.695422728852812E9, 0.0, 2023-09-22 17:45:28.852
2.0, -70530.95198046589, 72251.6563238688, -5490.057824856976, 14637.308077491294, 57337.901870954265, 47328.43307595648, -187500.02235174447, 53823.67120071306, 63764.877768144346, 79087.49033063535, 34853.41040532713, 9228.990582107375, 62423.8848595482, 41516.3983722208, 11539.579813430288, 25238.71812089898, 0.09075, 0.887, 0.0665, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422728852823E9, 0.0, 2023-09-22 17:45:28.852
4.0, -70527.50981181978, 72260.77583560656, -5479.172525307242, 14576.757201761868, 57314.56664974293, 47317.659535129016, -187500.02235174447, 53782.05225253729, 63917.897810685376, 79158.34536055868, 34845.16261162313, 9216.093625556663, 62414.005388498954, 41510.51986342906, 11631.82546279734, 25320.369043394214, 0.09075, 0.887, 0.0665, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422728852827E9, 0.0, 2023-09-22 17:45:28.852
6.0, -70549.99566674182, 72236.47948938364, -5500.227868584141, 14623.31588546227, 57341.455798322655, 47324.298003232245, -187500.02235174447, 53825.41463678058, 63743.66596265626, 79079.55546135372, 34842.74862322195, 9223.49205297137, 62419.12393797922, 41510.38575296233, 11513.13769973966, 25216.411079932583, 0.09075, 0.887, 0.0665, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69542272885283E9, 0.0, 2023-09-22 17:45:28.852
8.0, -70486.09202934409, 72292.1129813329, -5481.9441416197, 14576.868960484144, 57308.71049269563, 47307.869471057595, -187500.02235174447, 53812.025941851854, 63931.957057947766, 79163.55331701676, 34834.38907079567, 9208.426977208494, 62404.640007572176, 41490.425645163734, 11646.890538560217, 25333.958904023042, 0.108, 1.012, 0.074, 192.0, 1.5, 48.0, 15.5, 80.0, 1.0, 40.0, 0.0, 0.0, 0.0, 1.695422728852833E9, 0.0, 2023-09-22 17:45:28.852
10.0, -70533.56713456716, 72251.4551581687, -5498.015045883066, 14621.7512633504, 57326.368370815326, 47310.46227341441, -187500.02235174447, 53834.78001770735, 63755.71355291767, 79090.32900218118, 34837.518315019406, 9224.989619849875, 62421.627333358214, 41506.92123257175, 11520.022037031895, 25225.485888181436, 0.108, 1.012, 0.074, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422728852836E9, 0.0, 2023-09-22 17:45:28.852
12.0, -70437.56639213162, 72326.80288872754, -5476.624426439336, 14590.145896690596, 57296.931123367685, 47298.52644187528, -187500.02235174447, 53817.41271226558, 63960.120255961454, 79169.83415720871, 34833.740870206464, 9204.560125417725, 62401.220190670516, 41484.34597067189, 11667.029460314448, 25357.07060778983, 0.108, 1.012, 0.074, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69542272885284E9, 0.0, 2023-09-22 17:45:28.852
14.0, -70546.64290507352, 72237.64178009532, -5467.482562957116, 14614.196373724506, 57329.58702201689, 47316.29607871724, -187500.02235174447, 53803.53227895883, 63765.43656175573, 79094.93346153897, 34834.41142254012, 9223.201480293452, 62421.53792638039, 41509.26816573956, 11533.343676727258, 25241.46738546698, 0.108, 1.012, 0.074, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422728852843E9, 0.0, 2023-09-22 17:45:28.852
16.0, -70430.59264786156, 72328.63573177287, -5463.459248955161, 14614.866926058165, 57307.7270159396, 47309.165872236, -187500.02235174447, 53829.348543804714, 63947.692686044305, 79175.64561076708, 34858.81952748531, 9229.459968740937, 62417.96164726754, 41506.250680238096, 11641.436712913122, 25341.7820145824, 0.108, 1.012, 0.074, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695422728913126E9, 0.0, 2023-09-22 17:45:28.913
18.0, -70566.51360589429, 72218.88866649731, -5457.245463996585, 14614.41989116906, 57338.594775032376, 47317.54777640674, -187500.02235174447, 53793.764566631864, 63771.53858799203, 79101.9742610424, 34851.24228611497, 9241.529910746804, 62431.283286962906, 41520.62285192285, 11521.072569021293, 25248.843461137232, 0.10400000000000001, 1.012, 0.07, 192.0, 1.5, 32.0, 15.5, 80.0, 1.0, 24.0, 0.0, 0.0, 0.0, 1.695422728913137E9, 0.0, 2023-09-22 17:45:28.913
