%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
208.0, -187500.02235174447, 27761.470110591665, -30408.006061077842, -30861.34414212038, 19581.69276496086, 5856.715840901833, -187500.02235174447, -20833.45750969142, -2214.8567098208323, -12349.87525342408, -21088.334451715287, -38635.10204972053, 17867.53748268336, -12259.395391868997, -26917.870571359465, -23849.24427857927, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681890477215E9, 0.0, 2023-09-25 17:44:50.477
210.0, -187500.02235174447, 27787.599299859918, -30404.63094766509, -30863.534613077, 19629.391387628482, 5868.204637551861, -187500.02235174447, -20763.138921635025, -2208.0170760175083, -12336.01717186179, -21088.647376137662, -38627.18953218336, 17868.05157280583, -12235.747246235282, -26921.13392604994, -23840.124766841505, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681890477225E9, 0.0, 2023-09-25 17:44:50.477
212.0, -187500.02235174447, 27774.2553084201, -30384.603784633135, -30833.270351084513, 19593.82976220009, 5881.682739458411, -187500.02235174447, -20844.856899363625, -2196.6847415786674, -12328.954020613912, -21070.006021261936, -38608.95050870783, 17886.871741637202, -12235.791949724193, -26899.631547883935, -23825.5737812011, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681890477229E9, 0.0, 2023-09-25 17:44:50.477
214.0, -187500.02235174447, 27771.193119429725, -30426.69211944248, -30887.138055221803, 19633.369998141527, 5861.923797359919, -187500.02235174447, -20768.391581582022, -2208.2629452065166, -12337.24651780683, -21086.12162901421, -38614.516093077196, 17857.72506686748, -12223.252621084765, -26912.774373623655, -23819.76232764272, 0.154, 1.004, -0.09, 192.0, 2.0, 104.0, 15.5, 48.0, 126.5, 24.0, 0.0, 0.0, 0.0, 1.695681890477234E9, 0.0, 2023-09-25 17:44:50.477
216.0, -187500.02235174447, 27778.92682301126, -30370.879813537576, -30824.530819002488, 19606.391442583972, 5888.388262795003, -187500.02235174447, -20840.87828885058, -2207.9053172952317, -12348.042410378745, -21081.40541093414, -38615.49956983323, 17857.14392151164, -12241.84927247158, -26896.748172849202, -23827.80895564663, 0.154, 1.004, -0.09, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681890477239E9, 0.0, 2023-09-25 17:44:50.477
218.0, -187500.02235174447, 27783.441875391232, -30410.420049479017, -30859.220726397125, 19650.670248349936, 5880.051062113173, -187500.02235174447, -20782.67434628896, -2199.7469305690447, -12325.15422405651, -21081.427762678595, -38587.314020075086, 17880.143866556155, -12212.255562812754, -26909.75688812219, -23819.114127053515, 0.154, 1.004, -0.09, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681890477242E9, 0.0, 2023-09-25 17:44:50.477
220.0, -187500.02235174447, 27774.031790975547, -30407.089639555175, -30848.96127569214, 19583.615014984014, 5855.307681001149, -187500.02235174447, -20801.427459886963, -2219.3270587118936, -12351.238709835854, -21074.36461143072, -38618.427648356876, 17851.511281908904, -12255.394429611497, -26879.470274385247, -23817.01306307472, 0.154, 1.004, -0.09, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681890477246E9, 0.0, 2023-09-25 17:44:50.477
222.0, -187500.02235174447, 27778.524491611064, -30402.708697641934, -30857.25377288506, 19633.481756863806, 5869.3669282635365, -187500.02235174447, -20792.799686527218, -2215.5943173878572, -12339.794616674735, -21094.682347140595, -38588.78923520914, 17861.614270402704, -12225.867775186036, -26936.51192623519, -23842.449348264858, 0.154, 1.004, -0.09, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695681890477249E9, 0.0, 2023-09-25 17:44:50.477
224.0, -187500.02235174447, 27785.811160303496, -30393.142151015065, -30841.00405466605, 19609.341872852074, 5869.433983496903, -187500.02235174447, -20801.65097733152, -2200.5962968583462, -12331.949154370923, -21060.618288590704, -38600.83682547055, 17877.752229899434, -12229.511109532252, -26889.953242534786, -23820.946970098852, 0.16, 0.998, -0.096, 192.0, 2.5, 0.0, 15.5, 24.0, 126.5, 0.0, 0.0, 0.0, 0.0, 1.695681890477252E9, 0.0, 2023-09-25 17:44:50.477
0.0, -93750.01117587223, 13972.544845646007, -15185.059927113049, -15508.892000781538, 9642.967241164117, 2953.6489193020966, -93750.01117587223, -10515.378178999208, -1108.98180115006, -6168.925007453562, -10547.721153226037, -19289.935444585735, 8934.416941930884, -6113.582088182222, -13473.273929747813, -11926.846137862938, 0.056, 1.0, -0.13, 192.0, 0.5, 96.0, 15.5, 32.0, 125.5, 120.0, 0.0, 0.0, 0.0, 1.695681890613904E9, 0.0, 2023-09-25 17:44:50.613
