%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 63292.697166525984, 62991.596816968544, -26976.05216217663, -32333.050052291164, 1032.4717798795439, -817.9844400864173, -187500.02235174447, 5616.166367073818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762634051889E9, 0.0, 2023-09-26 16:10:34.051
194.0, 63301.660216052565, 62999.75520369473, -26972.207662130317, -32327.573874899612, 1036.9644805150606, -815.7939691297971, -187500.02235174447, 5612.187756560774, 35793.100093972695, -11515.03759801836, 7930.778912398686, -2600.5360603971553, 7034.362201018596, 11866.317613877967, -15191.184305093802, -46533.269766958925, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762634051924E9, 0.0, 2023-09-26 16:10:34.051
196.0, 63295.17821016052, 62987.394689010944, -26981.52833956818, -32334.659377891945, 1043.1559137291806, -818.5432336977999, -187500.02235174447, 5606.532765213581, 35748.79893646228, -11511.28250494987, 7934.735171167275, -2590.544830625633, 7023.231032279853, 11868.977471468148, -15184.925816646317, -46522.89855753166, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762634051934E9, 0.0, 2023-09-26 16:10:34.051
198.0, 63304.38712887611, 63002.97385489629, -26973.794635986644, -32332.088927279587, 1052.4095359336777, -813.0447045617944, -187500.02235174447, 5603.9846663456765, 35786.48397761393, -11511.70718809452, 7925.682714662876, -2601.60894413101, 7028.886023627046, 11874.319538392967, -15193.352424305967, -46529.291156445885, 0.138, 0.976, 0.23600000000000002, 192.0, 2.0, 40.0, 15.0, 64.0, 3.5, 48.0, 0.0, 0.0, 0.0, 1.69576263405196E9, 0.0, 2023-09-26 16:10:34.051
200.0, 63301.235532907915, 62994.61430247001, -26973.749932497733, -32335.933427325897, 1047.6709661091527, -816.1292452966268, -187500.02235174447, 5603.15765180083, 35762.43350058002, -11507.505060136922, 7942.088895093071, -2591.5730108705775, 7019.028904322256, 11878.767535539573, -15183.405898023357, -46517.02004873992, 0.138, 0.976, 0.23600000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762634051971E9, 0.0, 2023-09-26 16:10:34.051
202.0, 63308.857477767175, 63000.91749440641, -26969.01136267321, -32338.30271223816, 1057.8633615807726, -817.7609226418642, -187500.02235174447, 5605.281067524084, 35811.94261454852, -11504.197001957536, 7949.487322507778, -2598.3455894405356, 7049.695497714937, 11903.68973060724, -15189.865552170939, -46522.33976392028, 0.138, 0.976, 0.23600000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69576263405198E9, 0.0, 2023-09-26 16:10:34.051
204.0, 63306.10821319917, 62999.576389739086, -26962.752874225724, -32346.63991291999, 1057.2598644804793, -819.2137860314591, -187500.02235174447, 5621.73195144319, 35784.11469270166, -11507.348597925735, 7955.4775900218, -2591.260086448203, 7039.480750498861, 11890.949236267716, -15182.109496844949, -46520.01518249693, 0.138, 0.976, 0.23600000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762634051989E9, 0.0, 2023-09-26 16:10:34.051
206.0, 63306.97993123293, 62994.368433281, -26958.170766612384, -32344.382386730005, 1071.9002570987054, -811.3906754721016, -187500.02235174447, 5639.278070840606, 35816.0553355283, -11501.335978667257, 7955.231720832792, -2597.742092340242, 7026.025000336766, 11901.096928250425, -15186.19986608027, -46523.6808685876, 0.138, 0.976, 0.23600000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762634051998E9, 0.0, 2023-09-26 16:10:34.051
208.0, 63288.42798333502, 62991.64152045745, -26964.71982773779, -32351.981979844808, 1073.5319344439429, -813.6482016620877, -187500.02235174447, 5642.653184253358, 35796.966945763466, -11496.776222798375, 7965.893502937974, -2586.7226823237756, 7054.948157661934, 11906.751919597617, -15172.721764173719, -46506.6264875682, 0.134, 0.976, 0.23600000000000002, 192.0, 2.0, 24.0, 15.0, 64.0, 3.5, 48.0, 0.0, 0.0, 0.0, 1.695762634052007E9, 0.0, 2023-09-26 16:10:34.052
0.0, 31615.000261664423, 31473.960754151438, -13456.241900472869, -16195.224666026195, 444.9338251273424, -488.78794774865486, -93750.01117587223, 2747.699945890897, 17920.131137386696, -5752.780229184656, 3980.5104113233583, -1299.2174982091783, 3525.2053767687535, 5953.163618226483, -7592.775832745533, -23259.225280192528, 0.128, 0.98, 0.21900000000000003, 192.0, 1.5, 104.0, 15.0, 96.0, 3.0, 40.0, 0.0, 0.0, 0.0, 1.695762634225107E9, 0.0, 2023-09-26 16:10:34.225
