%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
240.0, -9642.408447552734, -10963.396544861382, 10618.665590127182, 20365.389629052836, -23155.24496498644, -12340.711038197403, 164265.56280440843, -16271.555873341069, 26959.645981746435, 12890.87687622033, -2618.3727524724904, -4572.541066711076, 11081.883142218965, -1615.047647362667, -3778.1824205139187, -1581.8553068465362, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695339161250857E9, 0.0, 2023-09-21 18:32:41.250
242.0, -9641.760246963531, -10958.725030270223, 10621.034875039444, 20368.027134898563, -23155.28966847535, -12337.268869551286, 164283.75712439505, -16268.672498306334, 26961.14354862494, 12896.107184422874, -2621.390237973957, -4571.803459144051, 11096.14355518145, -1611.1360920829884, -3779.1211937810417, -1580.983588812779, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695339161250866E9, 0.0, 2023-09-21 18:32:41.250
244.0, -9649.940985434174, -10966.592844318491, 10613.725854602559, 20363.735599963144, -23158.463616188004, -12338.96760212989, 164253.85049031384, -16269.879492506921, 26955.443853788838, 12889.580475041925, -2627.961650843817, -4575.066813834526, 11078.329214850572, -1613.3265630396086, -3781.1999060153853, -1580.961237068324, 0.106, 0.964, 0.296, 192.0, 1.5, 40.0, 15.0, 16.0, 4.5, 32.0, 0.0, 0.0, 0.0, 1.69533916125087E9, 0.0, 2023-09-21 18:32:41.250
246.0, -9647.90697668874, -10963.17302741683, 10622.644200640227, 20370.5081785331, -23157.59189815425, -12335.592488717139, 164268.11090327633, -16266.012640716153, 26953.365141554492, 12887.725280252133, -2631.1803020453817, -4575.424441745811, 11089.393328355949, -1613.3042112951532, -3784.1279845390304, -1580.9388853238686, 0.106, 0.964, 0.296, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695339161250873E9, 0.0, 2023-09-21 18:32:41.250
248.0, -9648.28695634448, -10963.776524517123, 10617.190374993132, 20368.764742465584, -23161.25758424492, -12345.740180699848, 164236.79610929443, -16273.299309408583, 26955.0638741331, 12887.50176280758, -2627.0899328100604, -4571.959921355238, 11083.134839908462, -1615.181757829399, -3782.697472893891, -1580.469498690307, 0.106, 0.964, 0.296, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695339161250876E9, 0.0, 2023-09-21 18:32:41.250
250.0, -9648.979860422596, -10964.715297784245, 10620.699598872614, 20364.875538930362, -23161.950488323033, -12344.44377952144, 164254.65515311423, -16277.07675422153, 26956.024999144676, 12886.808858729466, -2625.8605868650184, -4574.887999878883, 11085.951159709832, -1619.4509410203625, -3785.2232200173403, -1584.3587022255306, 0.106, 0.964, 0.296, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69533916125088E9, 0.0, 2023-09-21 18:32:41.250
252.0, -9651.058572656939, -10965.162332673352, 10604.29341844242, 20358.617050482877, -23165.303249991328, -12344.197910332432, 164215.0478619394, -16277.07675422153, 26953.52160376568, 12885.534809295514, -2632.230834034781, -4581.213543559736, 11090.71208127881, -1620.0320863762006, -3791.235839275818, -1587.9796848272902, 0.106, 0.964, 0.296, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695339161250883E9, 0.0, 2023-09-21 18:32:41.250
254.0, -9642.699020230653, -10959.641451792892, 10616.855098826301, 20362.238033084635, -23164.364476724208, -12340.979259130867, 164237.04197848344, -16277.36732689945, 26954.61683924399, 12881.466791804647, -2635.8518166365407, -4585.549781984065, 11087.068746932597, -1621.3284875546085, -3795.7061881668797, -1589.79017612817, 0.108, 0.966, 0.292, 192.0, 1.5, 48.0, 15.0, 24.0, 4.5, 16.0, 0.0, 0.0, 0.0, 1.695339161250886E9, 0.0, 2023-09-21 18:32:41.250
0.0, -4789.621208861018, -5405.076492437898, 5346.134942309254, 10267.273815545299, -11458.487684546433, -6027.125540629094, 81033.0755750031, -7993.073224195627, 13477.543112938776, 6445.0808101988805, -1314.550794905519, -2289.0868531569067, 5538.158778924797, -808.5967074151883, -1896.6572757550807, -794.6268671306213, 0.11, 0.968, 0.29, 192.0, 1.5, 56.0, 15.0, 32.0, 4.5, 8.0, 0.0, 0.0, 0.0, 1.695339161417262E9, 0.0, 2023-09-21 18:32:41.417
2.0, -9577.744850843532, -10813.550450033004, 10684.8714572038, 20533.16182293437, -22919.72463366087, -12060.017831327657, 162074.1083710323, -15990.661500771226, 27356.568259783777, 13006.837726454465, -2440.00583171914, -4451.841646652419, 11355.53554958529, -1479.9090003858805, -3641.859131081001, -1442.9839185457133, 0.11, 0.968, 0.29, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695339161417275E9, 0.0, 2023-09-21 18:32:41.417
4.0, -9569.18413271715, -10803.693330728214, 10691.331111351385, 20538.392131136912, -22916.953017348413, -12059.48138946073, 162066.30761221738, -15987.35344259184, 27354.93658243854, 13005.742490976154, -2436.0048694616403, -4447.103076827893, 11337.587098787679, -1479.7972416636042, -3643.1331805149534, -1445.8896453249033, 0.11, 0.968, 0.29, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69533916141728E9, 0.0, 2023-09-21 18:32:41.417
6.0, -9577.923664799175, -10812.879897699344, 10687.330149093885, 20531.261924655668, -22922.38449125105, -12067.460962231275, 162082.66908915868, -15996.428250840694, 27359.541041796332, 13006.994188665652, -2431.914500226319, -4442.208044792181, 11354.77559027381, -1478.1432125739113, -3641.6803171253587, -1446.157866258367, 0.11, 0.968, 0.29, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695339161417283E9, 0.0, 2023-09-21 18:32:41.417
8.0, -9573.542722885933, -10802.955723161189, 10694.013320686021, 20539.330904404032, -22914.96371209189, -12057.71560164876, 162066.19585349513, -15987.174628636198, 27348.856907946698, 13004.96017992022, -2439.357631129936, -4444.622033193354, 11333.429674318992, -1484.2899422991209, -3643.021421792677, -1448.3036337260764, 0.10200000000000001, 0.972, 0.292, 192.0, 1.5, 24.0, 15.0, 48.0, 4.5, 16.0, 0.0, 0.0, 0.0, 1.695339161417287E9, 0.0, 2023-09-21 18:32:41.417
10.0, -9572.514542640989, -10796.630179480337, 10699.73536726658, 20540.001456737693, -22912.169744034978, -12054.76517138066, 162094.47081023108, -15986.437021069172, 27353.17079462657, 13015.6219620254, -2434.797875261054, -4439.525835457544, 11353.188616417483, -1472.510572971174, -3635.0418490221323, -1442.6709941233391, 0.10200000000000001, 0.972, 0.292, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695339161417291E9, 0.0, 2023-09-21 18:32:41.417
12.0, -9577.18605723215, -10804.319179572962, 10694.438003830672, 20534.480575857233, -22915.030767325257, -12061.62715692844, 162059.02094352496, -15987.688718758669, 27348.83455620224, 13010.704578245233, -2442.4421718647686, -4445.180826804737, 11328.28877309427, -1477.5397154736181, -3642.663793881392, -1449.1753517598333, 0.10200000000000001, 0.972, 0.292, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695339161417295E9, 0.0, 2023-09-21 18:32:41.417
14.0, -9574.36973743078, -10798.105394614387, 10702.529335323494, 20539.375607892944, -22915.768374892283, -12061.135418550422, 162080.0539350574, -15988.851009470345, 27352.388483570634, 13010.056377656028, -2438.8882444963747, -4445.292585527013, 11354.954404229451, -1480.7583666751823, -3644.1390090154423, -1451.8575610944702, 0.10200000000000001, 0.972, 0.292, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695339161417298E9, 0.0, 2023-09-21 18:32:41.417
16.0, -9562.836237291842, -10786.61659796436, 10701.322341122906, 20544.583564351033, -22915.231933025352, -12055.793351625605, 162052.4048271662, -15982.547817533949, 27350.533288780844, 13017.030121926085, -2433.2779566380927, -4434.54139644401, 11347.757142514844, -1474.76809916116, -3646.9776805612664, -1449.063593037557, 0.10200000000000001, 0.972, 0.292, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695339161476087E9, 0.0, 2023-09-21 18:32:41.476
18.0, -9562.903292525209, -10783.397946762794, 10710.464204605129, 20547.6010498525, -22916.01424408129, -12052.507645190673, 162063.20071973812, -15982.92779718969, 27355.04834116082, 13022.752168506644, -2429.5452153140563, -4430.4957306976, 11349.947613471462, -1471.1471165594003, -3643.0884770260427, -1444.3250232130317, 0.10400000000000001, 0.968, 0.29, 192.0, 1.5, 32.0, 15.0, 32.0, 4.5, 8.0, 0.0, 0.0, 0.0, 1.695339161476093E9, 0.0, 2023-09-21 18:32:41.476
