%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
232.0, -21415.273417863064, -9658.836979727386, -65160.4312849559, -66357.79188368224, -33626.43374519751, -40850.02581477473, -187500.02235174447, -61773.87377904342, -2191.275619420483, -187500.02235174447, -65971.12905634989, -59651.73210522319, -40638.66771920535, -47178.96696078384, -67880.88445435578, -64149.08190358662, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416889327532E9, 0.0, 2023-09-22 16:08:09.327
234.0, -21411.741842239124, -9657.33941284888, -65163.73934313528, -66354.88615690306, -33631.90992258905, -40840.66043384796, -187500.02235174447, -61768.44230514077, -2193.533145610469, -187500.02235174447, -65974.63828022937, -59662.70681175075, -40643.987434385715, -47182.11855675204, -67881.10797180033, -64145.50562447377, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69541688932754E9, 0.0, 2023-09-22 16:08:09.327
236.0, -21396.67676647625, -9642.699020230653, -65156.966764565324, -66345.78899690975, -33610.36284093414, -40825.05891621816, -187500.02235174447, -61752.527863088595, -2190.515660109003, -187500.02235174447, -65972.31369880601, -59667.28891936409, -40639.785306428115, -47171.412071157945, -67879.25277701054, -64137.19077553639, -0.06, 0.487, 0.121, 192.0, 126.0, 32.0, 15.0, 56.0, 3.5, 72.0, 0.0, 0.0, 0.0, 1.695416889327544E9, 0.0, 2023-09-22 16:08:09.327
238.0, -21398.53196126604, -9644.10718013134, -65155.916232575924, -66360.29527906123, -33622.96922480693, -40844.192009471895, -187500.02235174447, -61772.398563909366, -2190.515660109003, -187500.02235174447, -65974.39241104036, -59667.065401919535, -40642.73573669622, -47181.78328058521, -67885.08658231338, -64150.73593267631, -0.06, 0.487, 0.121, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416889327547E9, 0.0, 2023-09-22 16:08:09.327
240.0, -21394.28512981953, -9637.803988194943, -65142.23696496928, -66352.33805803515, -33602.360916419144, -40839.855771047565, -187500.02235174447, -61763.12258996041, -2176.3893576132486, -187500.02235174447, -65948.08440781647, -59640.71269520673, -40629.61526270095, -47172.86493454754, -67863.24892798054, -64138.12954880352, -0.06, 0.487, 0.121, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416889327551E9, 0.0, 2023-09-22 16:08:09.327
242.0, -21366.546614950494, -9609.059644825416, -65121.807470537125, -66335.66365667149, -33593.28610817029, -40818.4875033483, -187500.02235174447, -61744.19066240676, -2166.0181481859863, -187500.02235174447, -65941.42358796878, -59633.38132302539, -40619.35581199596, -47168.752213567765, -67860.03027677897, -64137.72721740332, -0.06, 0.487, 0.121, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416889327554E9, 0.0, 2023-09-22 16:08:09.327
244.0, -21372.626289442338, -9613.150014060739, -65130.56935436361, -66333.96492409288, -33586.3794191336, -40826.154151696464, -187500.02235174447, -61742.91661297281, -2156.317491092383, -187500.02235174447, -65922.44695692623, -59613.4212152268, -40607.84466360148, -47149.08267844709, -67849.4579016516, -64119.59995265007, -0.06, 0.487, 0.121, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416889327563E9, 0.0, 2023-09-22 16:08:09.327
246.0, -21359.058780557967, -9603.695226156144, -65129.429415396386, -66326.47708970036, -33585.75357028885, -40819.89566324898, -187500.02235174447, -61743.095426928456, -2164.6993952631233, -187500.02235174447, -65936.10387278842, -59627.346352022454, -40620.51810270764, -47166.60644610005, -67855.33641044336, -64129.74764463278, -0.091, 0.7344999999999999, 0.1785, 192.0, 126.0, 24.0, 15.0, 88.0, 3.5, 48.0, 0.0, 0.0, 0.0, 1.695416889327568E9, 0.0, 2023-09-22 16:08:09.327
248.0, -21378.929481378735, -9624.66116245522, -65143.198089980855, -66345.69958993192, -33592.97318374791, -40837.687651835404, -187500.02235174447, -61752.55021483305, -2149.9695956670757, -187500.02235174447, -65921.1058522589, -59620.59612519695, -40603.66488738834, -47153.374213382514, -67849.50260514053, -64121.00811255076, -0.091, 0.7344999999999999, 0.1785, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416889327573E9, 0.0, 2023-09-22 16:08:09.327
0.0, -10731.787768815491, -4900.3070474036995, -32631.758765191888, -33214.647557097385, -16894.029604676914, -20465.95012735726, -93750.01117587223, -30935.328416267446, -1090.273391040968, -93750.01117587223, -32974.992153047584, -29825.698414528182, -20320.44027095321, -23591.551016754034, -33936.56419951489, -32072.518118920103, -0.116, 0.984, 0.222, 192.0, 126.0, 48.0, 15.0, 96.0, 3.0, 120.0, 0.0, 0.0, 0.0, 1.695416889476362E9, 0.0, 2023-09-22 16:08:09.476
2.0, -21461.00508701862, -9796.970760461183, -65267.58554787464, -66424.35537867015, -33790.36143903273, -40928.61454827959, -187500.02235174447, -61870.09803892351, -3369.6372353598163, -187500.02235174447, -66056.73623761372, -59738.05454230959, -40802.99774444076, -47563.43931715957, -67988.35164169689, -64189.426802328446, -0.116, 0.984, 0.222, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416889476373E9, 0.0, 2023-09-22 16:08:09.476
4.0, -21466.861244065913, -9801.597571563432, -65277.48737066834, -66430.50210839536, -33786.38282851969, -40932.4590483259, -187500.02235174447, -61873.897835480915, -3398.001599073601, -187500.02235174447, -66050.50010091068, -59738.38981847642, -40811.87138698952, -47569.206067229046, -67988.5975108859, -64194.388889597525, -0.116, 0.984, 0.222, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416889476377E9, 0.0, 2023-09-22 16:08:09.476
6.0, -21477.590081404458, -9816.640295581854, -65266.5573676297, -66437.14057649858, -33795.0776571128, -40937.443487339435, -187500.02235174447, -61889.18642868834, -3381.9753982991456, -187500.02235174447, -66050.41069393286, -59735.97583007525, -40802.50600606275, -47564.087517748776, -67987.72579285214, -64190.00794768429, -0.116, 0.984, 0.222, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69541688947638E9, 0.0, 2023-09-22 16:08:09.476
8.0, -21513.129355088397, -9853.788894866573, -65286.942158572936, -66453.74792262887, -33800.68794497108, -40949.893409001044, -187500.02235174447, -61886.683033309346, -3406.0035235886007, -187500.02235174447, -66066.12397028494, -59759.66867919787, -40837.15120996848, -47578.59379990027, -68000.28747323602, -64206.771756025766, -0.11800000000000001, 0.978, 0.20600000000000002, 192.0, 126.0, 40.0, 15.0, 72.0, 3.0, 56.0, 0.0, 0.0, 0.0, 1.695416889476384E9, 0.0, 2023-09-22 16:08:09.476
10.0, -21515.230419067197, -9854.99588906716, -65255.78382680224, -66427.17169847152, -33788.461540754026, -40921.19376912043, -187500.02235174447, -61865.851207477004, -3408.439863734229, -187500.02235174447, -66067.50977844116, -59757.76878091917, -40821.549692338675, -47572.201200986055, -68000.86861859186, -64198.32279662166, -0.11800000000000001, 0.978, 0.20600000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416889476387E9, 0.0, 2023-09-22 16:08:09.476
12.0, -21547.193413638284, -9881.058023102049, -65246.70901855338, -66423.57306761421, -33770.08840681177, -40914.53294927275, -187500.02235174447, -61861.47026556376, -3392.9724565711567, -187500.02235174447, -66062.50298768318, -59744.737713901726, -40807.22222414282, -47550.43060188658, -67974.29239443451, -64179.36851732356, -0.11800000000000001, 0.978, 0.20600000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69541688947639E9, 0.0, 2023-09-22 16:08:09.476
14.0, -21563.97957372422, -9900.705206478264, -65254.80035004621, -66421.94139026897, -33776.65981968163, -40906.01693463528, -187500.02235174447, -61854.876500949445, -3428.0423436215337, -187500.02235174447, -66069.4990836977, -59756.53943497413, -40811.17848291141, -47556.86790428971, -67969.73263856562, -64176.97688066684, -0.11800000000000001, 0.978, 0.20600000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416889476394E9, 0.0, 2023-09-22 16:08:09.476
16.0, -21572.78616103961, -9914.272715362635, -65246.664315064474, -66422.32136992471, -33762.82408986379, -40904.96640264588, -187500.02235174447, -61852.931899181836, -3426.030686620556, -187500.02235174447, -66065.7886941181, -59754.43837099533, -40798.97443043881, -47546.183770440075, -67966.87161527535, -64171.99244165331, -0.11800000000000001, 0.978, 0.20600000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416889536662E9, 0.0, 2023-09-22 16:08:09.536
18.0, -21591.874550804445, -9936.982087729226, -65266.177387973956, -66439.19693698848, -33781.040761594864, -40918.444504552426, -187500.02235174447, -61862.34198359752, -3428.712895955193, -187500.02235174447, -66066.61570866295, -59763.1555513329, -40801.0307909287, -47549.55888385283, -67965.68697281921, -64175.5463690217, -0.114, 0.98, 0.216, 192.0, 126.0, 56.0, 15.0, 80.0, 3.0, 96.0, 0.0, 0.0, 0.0, 1.695416889536673E9, 0.0, 2023-09-22 16:08:09.536
20.0, -21610.47120219126, -9955.131704226937, -65274.626347378064, -66459.80524537626, -33790.473197755004, -40941.779725763765, -187500.02235174447, -61877.09413493802, -3428.1541023438103, -187500.02235174447, -66096.56704623307, -59787.96598767829, -40806.55167180916, -47568.26729396192, -67989.8492085754, -64202.88255249054, -0.114, 0.98, 0.216, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416889536677E9, 0.0, 2023-09-22 16:08:09.536
22.0, -21611.879362091942, -9947.375648900945, -65284.841094594136, -66465.12496055663, -33806.0300118959, -40950.13927819005, -187500.02235174447, -61892.829763034555, -3482.0441582255553, -187500.02235174447, -66105.1501161039, -59804.77449950868, -40842.47092514884, -47582.818279602325, -67993.58194989944, -64209.923351993966, -0.114, 0.98, 0.216, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69541688953668E9, 0.0, 2023-09-22 16:08:09.536
24.0, -21585.258434445674, -9939.373724385945, -65285.57870216116, -66450.99865806087, -33800.88911067118, -40935.856513483115, -187500.02235174447, -61883.57614083006, -3479.4960593576507, -187500.02235174447, -66108.54758126111, -59797.867810471995, -40842.739146082306, -47579.91255282314, -68007.35062448391, -64212.53850609523, -0.114, 0.98, 0.216, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416889536683E9, 0.0, 2023-09-22 16:08:09.536
26.0, -21553.965992208243, -9900.72755822272, -65257.504911125296, -66428.22223046092, -33786.94162213107, -40925.68646975595, -187500.02235174447, -61870.20979764579, -3456.5631695465054, -187500.02235174447, -66089.16861881837, -59774.75610670521, -40823.22607317282, -47562.813468314824, -67990.38565044233, -64196.53465706523, -0.114, 0.98, 0.216, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416889536687E9, 0.0, 2023-09-22 16:08:09.536
28.0, -21549.339181105996, -9883.919046392328, -65266.669126351975, -66435.71006485344, -33787.746284931454, -40931.922606458975, -187500.02235174447, -61872.89200698042, -3435.865454180891, -187500.02235174447, -66061.05012429359, -59748.783379648135, -40810.32911662211, -47546.049659973345, -67967.13983620881, -64179.770848723754, -0.116, 0.972, 0.21, 192.0, 126.0, 48.0, 15.0, 48.0, 3.0, 72.0, 0.0, 0.0, 0.0, 1.69541688953669E9, 0.0, 2023-09-22 16:08:09.536
30.0, -21552.200204396275, -9889.797555184074, -65284.416411449485, -66451.87037609462, -33807.326413074305, -40954.654330570025, -187500.02235174447, -61898.641216592936, -3459.9159312148013, -187500.02235174447, -66087.80516240658, -59772.07389737057, -40829.35045115357, -47574.34696845376, -68000.89097033632, -64210.41509037198, -0.116, 0.972, 0.21, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416889596027E9, 0.0, 2023-09-22 16:08:09.596
32.0, -21522.427680781806, -9859.577996680498, -65267.60789961909, -66432.84904156317, -33795.032953623886, -40929.95565294691, -187500.02235174447, -61877.71998378277, -3454.864436967902, -187500.02235174447, -66077.21043553477, -59761.657984454396, -40821.482637105306, -47572.827049830805, -67988.53045565254, -64202.41316585698, -0.116, 0.972, 0.21, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69541688959604E9, 0.0, 2023-09-22 16:08:09.596
34.0, -21523.16528834883, -9852.894825088362, -65267.2055682189, -66445.54483241378, -33794.27299431241, -40932.61551053709, -187500.02235174447, -61875.82008550407, -3449.25414910962, -187500.02235174447, -66067.6438889079, -59753.87957738395, -40824.85775051806, -47567.999073028455, -67987.5916823854, -64195.84175298712, -0.116, 0.972, 0.21, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416889596044E9, 0.0, 2023-09-22 16:08:09.596
36.0, -21501.461744482727, -9828.263202698614, -65250.84409127761, -66424.44478564797, -33780.48196798348, -40915.225853350865, -187500.02235174447, -61861.313803352576, -3449.0306316650667, -187500.02235174447, -66058.30085972558, -59745.788245891126, -40814.5312445797, -47556.15264846714, -67972.61601360036, -64181.91661619146, -0.116, 0.972, 0.21, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416889596047E9, 0.0, 2023-09-22 16:08:09.596
38.0, -21501.372337504905, -9825.245717197147, -65261.23765244933, -66430.12212873962, -33785.64522095266, -40921.506693542804, -187500.02235174447, -61873.96489071428, -3444.5602827740054, -187500.02235174447, -66052.24353697819, -59739.79797837711, -40813.65952654595, -47545.915549506615, -67970.87257753283, -64181.246063857805, -0.11800000000000001, 0.972, 0.212, 192.0, 126.0, 40.0, 15.0, 48.0, 3.0, 80.0, 0.0, 0.0, 0.0, 1.69541688959605E9, 0.0, 2023-09-22 16:08:09.596
40.0, -21501.10411657144, -9822.250583440136, -65268.70313509741, -66435.1289194976, -33799.19037809257, -40928.72630700187, -187500.02235174447, -61867.68405052234, -3469.415422608307, -187500.02235174447, -66065.11814178445, -59748.33634475903, -40826.89175926349, -47554.2751019329, -67994.81129584447, -64195.52882856475, -0.11800000000000001, 0.972, 0.212, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416889596054E9, 0.0, 2023-09-22 16:08:09.596
42.0, -21482.999203562642, -9811.65585656832, -65268.79254207523, -66428.40104441656, -33778.962049360525, -40921.57374877617, -187500.02235174447, -61865.225358632255, -3456.5408178020502, -187500.02235174447, -66056.84799633599, -59736.82519636455, -40820.387401627, -47557.06906998981, -67985.78119108453, -64191.61727328507, -0.11800000000000001, 0.972, 0.212, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695416889596057E9, 0.0, 2023-09-22 16:08:09.596
