%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 18423.581829498034, 16573.93027233246, -33383.55968994614, -62023.72157856484, -187500.02235174447, 2319.2840599160268, -187500.02235174447, -187500.02235174447, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695418922531259E9, 0.0, 2023-09-22 16:42:02.531
224.0, 18419.55851549608, 16565.101333272618, -33389.68406792689, -62034.42806415893, -187500.02235174447, 2430.7745612590984, -187500.02235174447, -187500.02235174447, -45618.65873559222, 12549.655145365614, -3860.3250813871723, -66514.38820533612, -10132.33633426861, -47049.192732476324, -4024.096313011207, 18620.187773726913, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695418922531268E9, 0.0, 2023-09-22 16:42:02.531
226.0, 18426.331094066038, 16578.266510756792, -33388.09709407057, -62019.67591281843, -187500.02235174447, 2307.88467024382, -187500.02235174447, -187500.02235174447, -45602.54312783994, 12554.505473912415, -3856.1900086629403, -66498.22789409493, -10132.403389501977, -47066.38122396245, -4044.0117173208855, 18598.77480253873, -0.025, 0.483, 0.14400000000000002, 192.0, 127.0, 56.0, 15.0, 24.0, 4.5, 0.0, 0.0, 0.0, 0.0, 1.695418922531272E9, 0.0, 2023-09-22 16:42:02.531
228.0, 18409.276713046638, 16562.575586149167, -33394.7802656627, -62037.17732872693, -187500.02235174447, 2430.573395559001, -187500.02235174447, -187500.02235174447, -45625.61012811782, 12550.280994210363, -3886.6330846110686, -66513.60589428019, -10135.175005814435, -47048.74569758722, -4016.5861268742237, 18605.14504970849, -0.025, 0.483, 0.14400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695418922531276E9, 0.0, 2023-09-22 16:42:02.531
230.0, 18422.441890530812, 16577.6630136565, -33395.85314939656, -62026.51554662175, -187500.02235174447, 2315.350152891893, -187500.02235174447, -187500.02235174447, -45620.24570944854, 12546.39179067514, -3831.267813595273, -66503.7934784643, -10145.546215241697, -47070.739814131244, -4040.3907347191257, 18623.361721439567, -0.025, 0.483, 0.14400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695418922531279E9, 0.0, 2023-09-22 16:42:02.531
232.0, 18426.5993149995, 16575.80781886671, -33381.21275677833, -62030.628267601525, -187500.02235174447, 2416.8047209745314, -187500.02235174447, -187500.02235174447, -45623.12908448328, 12550.571566888282, -3892.8245178251887, -66511.08014715674, -10133.744494169296, -47050.109153998994, -4017.03316176333, 18600.227665928327, -0.025, 0.483, 0.14400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695418922531282E9, 0.0, 2023-09-22 16:42:02.531
234.0, 18422.03955913062, 16577.6630136565, -33394.15441681795, -62026.0908634771, -187500.02235174447, 2328.6494408428002, -187500.02235174447, -187500.02235174447, -45608.84631977634, 12554.997212290433, -3831.2231101063626, -66497.26676908336, -10128.67064817794, -47059.94392155933, -4029.6842491250336, 18620.3442359381, -0.025, 0.483, 0.14400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695418922531286E9, 0.0, 2023-09-22 16:42:02.531
236.0, 18415.244628816203, 16571.918615331488, -33392.343925517074, -62040.351276439585, -187500.02235174447, 2427.310040868526, -187500.02235174447, -187500.02235174447, -45631.108657253826, 12549.074000009776, -3894.1209190035966, -66513.8964669581, -10140.070037850146, -47056.322938957564, -4022.7328565994335, 18593.566846080645, -0.037500000000000006, 0.7255, 0.21400000000000002, 192.0, 127.0, 56.0, 15.0, 32.0, 4.0, 112.0, 0.0, 0.0, 0.0, 1.695418922531289E9, 0.0, 2023-09-22 16:42:02.531
238.0, 18432.433120302336, 16596.37142376559, -33394.46734124033, -62009.885848747, -187500.02235174447, 2339.467685159169, -187500.02235174447, -187500.02235174447, -45624.090209494854, 12555.645412879636, -3798.500156223793, -66501.93828367452, -10144.20511057438, -47055.67473836836, -4045.397525477115, 18644.908803094484, -0.037500000000000006, 0.7255, 0.21400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695418922531292E9, 0.0, 2023-09-22 16:42:02.531
0.0, 9039.26897517073, 8561.992175816558, -16632.447139316457, -30893.26243320256, -93750.01117587223, 890.1358711881485, -93750.01117587223, -93750.01117587223, -22814.69378646538, 6283.723566976019, -1944.9146920340888, -33254.72423490575, -5065.598197650695, -23518.840792040923, -2006.3372857972727, 9300.449109130992, -0.05075, 0.84475, 0.24700000000000003, 192.0, 127.0, 0.0, 15.0, 16.0, 4.0, 96.0, 0.0, 0.0, 0.0, 1.695418922701989E9, 0.0, 2023-09-22 16:42:02.701
