%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
238.0, 22367.03304851449, 38049.17342056912, -47784.81099424494, -41770.22478225527, -28478.603479695736, -18048.76542672699, -187500.02235174447, -5636.528806272603, -4393.771814557531, 24392.995165943525, -40865.33675972662, -37299.22769060465, -9128.452435547404, -36508.288861309156, -41685.91400216985, -39686.88573680946, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420757044459E9, 0.0, 2023-09-22 17:12:37.044
240.0, 22396.693813406684, 38073.38035981421, -47777.79254648597, -41771.45412820031, -28463.15842427712, -18053.213423873596, -187500.02235174447, -5632.706657970746, -4387.20040168767, 24398.314881123886, -40860.53113466873, -37290.57756550045, -9122.417464544471, -36503.527939740175, -41681.06367362305, -39683.10829199652, -0.043000000000000003, 0.495, 0.08600000000000001, 192.0, 126.5, 40.0, 15.0, 120.0, 2.5, 48.0, 0.0, 0.0, 0.0, 1.695420757044468E9, 0.0, 2023-09-22 17:12:37.044
242.0, 22373.42564742871, 38058.5835049848, -47783.20166864416, -41772.77288112317, -28479.475197729495, -18054.398066329726, -187500.02235174447, -5646.318870344027, -4384.361730141846, 24405.713308538594, -40856.86544857806, -37290.644620733816, -9121.031656388242, -36505.830169419074, -41684.17056610234, -39686.483405409264, -0.043000000000000003, 0.495, 0.08600000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420757044482E9, 0.0, 2023-09-22 17:12:37.044
244.0, 22388.893054591783, 38064.529069009914, -47776.49614530756, -41781.80298588312, -28463.87368009969, -18061.28240362196, -187500.02235174447, -5634.405390549349, -4379.399642872768, 24390.49177056453, -40853.780907843226, -37291.98572540113, -9116.404845285993, -36507.8194746756, -41678.850850921976, -39685.656390864424, -0.043000000000000003, 0.495, 0.08600000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420757044485E9, 0.0, 2023-09-22 17:12:37.044
246.0, 22368.08358050389, 38049.46399324703, -47792.09766293737, -41788.64261968644, -28485.97955536599, -18066.512711824504, -187500.02235174447, -5654.4102018368485, -4395.49289888059, 24394.716250266585, -40871.17056502945, -37311.2082256327, -9131.246403604318, -36525.9243876844, -41695.279383096626, -39701.54848117215, -0.043000000000000003, 0.495, 0.08600000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420757044488E9, 0.0, 2023-09-22 17:12:37.044
248.0, 22372.978612539606, 38046.982949612495, -47787.090872179375, -41793.291782533146, -28466.086502800765, -18071.184226415662, -187500.02235174447, -5639.21101560724, -4388.765023799542, 24372.699781978106, -40866.9460853274, -37305.21795811867, -9121.054008132698, -36519.107105625524, -41683.47766202422, -39692.54072815666, -0.043000000000000003, 0.495, 0.08600000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420757044491E9, 0.0, 2023-09-22 17:12:37.044
250.0, 22361.243946700568, 38044.4795542335, -47800.05488396346, -41793.068265088594, -28486.381886766183, -18070.223101404084, -187500.02235174447, -5652.778524491611, -4404.277134451525, 24387.027250173956, -40884.71572216937, -37319.97010945918, -9136.163787384485, -36534.86508546652, -41697.983944175714, -39707.22582426379, -0.0665, 0.7435, 0.131, 192.0, 126.5, 24.0, 15.5, 0.0, 2.5, 64.0, 0.0, 0.0, 0.0, 1.695420757044494E9, 0.0, 2023-09-22 17:12:37.044
252.0, 22363.635583357285, 38038.24341753047, -47794.712817038635, -41796.75630292372, -28474.177834293587, -18074.67109855069, -187500.02235174447, -5643.659012753847, -4397.281038437014, 24361.92624115065, -40876.847908121104, -37313.286937867044, -9130.285278592739, -36527.13138188498, -41691.03255165012, -39698.77686485969, -0.0665, 0.7435, 0.131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420757044498E9, 0.0, 2023-09-22 17:12:37.044
254.0, 22369.13411249329, 38049.709862436044, -47797.90911649574, -41790.67662843187, -28489.086447845275, -18068.65847929221, -187500.02235174447, -5650.923329701821, -4403.3607129288575, 24391.11761940928, -40880.35713200059, -37316.572644301974, -9138.66718276348, -36533.23340812128, -41699.257993609666, -39706.354106230036, -0.0665, 0.7435, 0.131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420757044501E9, 0.0, 2023-09-22 17:12:37.044
0.0, 22364.864929302326, 38040.14331580917, -47775.80324122945, -41779.0090178262, -28464.16425277761, -18060.164816399196, -187500.02235174447, -5632.192567848274, -4397.795128559485, 24359.087569604824, -40868.667169650456, -37308.3024988535, -9130.62055475957, -36520.872893437496, -41683.812938191055, -39691.71371361181, -0.0665, 0.7435, 0.131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695420757044504E9, 0.0, 2023-09-22 17:12:37.044
