%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
238.0, -187500.02235174447, 20125.55541104739, -48919.273784074045, -42299.73760840149, -27334.797660684308, -11099.652779060934, -187500.02235174447, -14917.129566327283, 8777.59710283245, 14036.090855132445, -20164.358039421804, -29307.763792009806, 34421.26177802822, -6854.341251175553, -21593.394469427403, -25303.649938541646, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680395275661E9, 0.0, 2023-09-25 17:19:55.275
240.0, -187500.02235174447, 20128.997579693507, -48934.27180460356, -42300.51991945743, -27336.27287581836, -11102.759671540221, -187500.02235174447, -14919.252982050537, 8775.36192838692, 14038.169567366787, -20072.626480177223, -29229.487982927323, 34542.94467484292, -6842.561881847606, -21518.873753413412, -25271.530481759368, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69568039527567E9, 0.0, 2023-09-25 17:19:55.275
242.0, -187500.02235174447, 20134.294943129415, -48921.97834515314, -42302.017486335935, -27332.137803094127, -11100.09981395004, -187500.02235174447, -14902.913856853707, 8781.553361601038, 14023.797395682026, -20154.210347439093, -29297.906672705016, 34440.350167793054, -6856.866998299003, -21558.41398935485, -25294.48572331497, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680395275674E9, 0.0, 2023-09-25 17:19:55.275
244.0, -187500.02235174447, 20152.109283460293, -48933.13186563634, -42284.58312566079, -27316.78215465333, -11081.525514307681, -187500.02235174447, -14895.56013292791, 8790.98579776118, 14047.892576204846, -20074.01228833345, -29237.959294075885, 34546.72211965587, -6839.343230646042, -21500.411212493327, -25276.224348094984, 0.016, 1.006, -0.11, 192.0, 0.0, 64.0, 15.5, 56.0, 126.0, 72.0, 0.0, 0.0, 0.0, 1.695680395275685E9, 0.0, 2023-09-25 17:19:55.275
246.0, -187500.02235174447, 20146.70016130211, -48932.68483074723, -42298.55296594536, -27317.07272733125, -11085.90645622092, -187500.02235174447, -14891.358004970314, 8796.037292008077, 14046.931451193268, -20170.61652786929, -29316.212751413914, 34419.56304544962, -6846.629899338473, -21572.584995339515, -25308.232046154983, 0.016, 1.006, -0.11, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680395275689E9, 0.0, 2023-09-25 17:19:55.275
248.0, -187500.02235174447, 20148.264783413983, -48918.849100929394, -42307.538367216395, -27323.420622756556, -11093.863677247009, -187500.02235174447, -14900.321054496892, 8782.64859707935, 14042.304640091019, -20077.566215701845, -29242.429642966945, 34542.16236378698, -6832.436541609352, -21499.606549692937, -25268.244775324438, 0.016, 1.006, -0.11, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680395275692E9, 0.0, 2023-09-25 17:19:55.275
250.0, -187500.02235174447, 20163.55337662141, -48943.41366808578, -42305.97374510452, -27311.529494706334, -11085.57118005409, -187500.02235174447, -14884.250150233525, 8789.622341349404, 14039.041285400544, -20161.005277753506, -29309.216655399403, 34451.92837142091, -6840.840797524548, -21547.618096782935, -25300.34188036226, 0.016, 1.006, -0.11, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695680395275697E9, 0.0, 2023-09-25 17:19:55.275
252.0, -187500.02235174447, 20172.98581278155, -48922.96182190917, -42308.924175372624, -27320.604302955187, -11091.404985356927, -187500.02235174447, -14897.258865506516, 8790.27054193861, 14045.947974437235, -20087.266872795448, -29256.623000696065, 34546.58800918913, -6826.78155026216, -21493.750392645645, -25280.985269663965, 0.016, 1.006, -0.11, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6956803952757E9, 0.0, 2023-09-25 17:19:55.275
254.0, -187500.02235174447, 20177.165588994692, -48945.44767683121, -42316.836692909805, -27323.890009390117, -11099.093985449552, -187500.02235174447, -14905.551362699434, 8778.379413888386, 14030.0111806406, -20142.118053688773, -29300.678289017476, 34484.338400881104, -6842.763047547704, -21519.0302156246, -25299.939548962066, 0.01, 1.004, -0.106, 192.0, 0.0, 40.0, 15.5, 48.0, 126.0, 88.0, 0.0, 0.0, 0.0, 1.695680395275704E9, 0.0, 2023-09-25 17:19:55.275
0.0, -93750.01117587223, 8473.971006151558, -23958.61136419909, -20600.015890600193, -13571.286329184333, -5243.8086561928585, -93750.01117587223, -4317.552365964933, 4393.39183490179, 7018.425407221963, -10054.641670541963, -14638.202147269505, 17261.98402190018, -3418.1181690833773, -10742.65071662077, -12643.711286033546, 0.003, 1.0030000000000001, -0.079, 192.0, 127.5, 112.0, 15.5, 40.0, 127.0, 48.0, 0.0, 0.0, 0.0, 1.695680395447419E9, 0.0, 2023-09-25 17:19:55.447
