%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -187500.02235174447, 29736.559657640417, -28925.168982168318, -31238.12749840349, 11917.257239491611, 3608.309162653585, -187500.02235174447, -46874.06681466899, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682062511883E9, 0.0, 2023-09-25 17:47:42.511
224.0, -187500.02235174447, 29728.2671604475, -28910.908569205832, -31220.380213305976, 11905.522573652575, 3624.692991339325, -187500.02235174447, -46898.98900973666, -1730.0473725852219, -11578.829476693807, -22597.412478615344, -36213.469351943655, 17236.41362624331, -13112.427367261334, -24594.58554918594, -20047.324305453814, 0.064, 0.501, -0.041, 192.0, 2.0, 0.0, 15.5, 40.0, 126.5, 56.0, 0.0, 0.0, 0.0, 1.695682062511894E9, 0.0, 2023-09-25 17:47:42.511
226.0, -187500.02235174447, 29726.143744724246, -28940.368168397927, -31256.880612001492, 11913.904477823315, 3599.010836960177, -187500.02235174447, -46817.6510116638, -1729.5556342072052, -11586.429069808612, -22599.580597827506, -36225.09225906042, 17232.94910585274, -13114.886059151419, -24588.662336905283, -20039.21062221654, 0.064, 0.501, -0.041, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6956820625119E9, 0.0, 2023-09-25 17:47:42.511
228.0, -187500.02235174447, 29714.610244585307, -28931.6286363159, -31243.290751372668, 11887.663529832786, 3595.501613080694, -187500.02235174447, -46823.194244288716, -1746.073573359677, -11603.885782228206, -22602.03928971759, -36241.83371565744, 17217.16877426729, -13148.614841534478, -24584.996650814614, -20061.294145738382, 0.064, 0.501, -0.041, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682062511904E9, 0.0, 2023-09-25 17:47:42.511
230.0, -187500.02235174447, 29717.40421264222, -28938.5800288415, -31258.244068413267, 11911.244620233134, 3589.220772888753, -187500.02235174447, -46750.14874340877, -1742.854922158113, -11599.706006015063, -22616.053833491067, -36237.676291188756, 17233.93258260877, -13145.575004288556, -24602.96745335668, -20053.62749739021, 0.064, 0.501, -0.041, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682062511907E9, 0.0, 2023-09-25 17:47:42.511
232.0, -187500.02235174447, 29713.135029451256, -28930.309883393038, -31248.543411319664, 11893.273817691066, 3595.032226447133, -187500.02235174447, -46759.558827824454, -1739.8150849121912, -11608.691407286098, -22602.709842051252, -36241.006701112594, 17226.243582516145, -13137.46132105128, -24592.52918869605, -20059.84128234879, 0.064, 0.501, -0.041, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682062511911E9, 0.0, 2023-09-25 17:47:42.511
234.0, -187500.02235174447, 29713.06797421789, -28936.613075329435, -31257.595867824064, 11920.162966270802, 3593.534659568627, -187500.02235174447, -46698.00212359454, -1750.7674396952916, -11610.993636964993, -22622.178211471823, -36243.89007614733, 17242.828576901982, -13134.957925672285, -24609.78473541555, -20057.15907301415, 0.096, 0.7515000000000001, -0.0635, 192.0, 2.0, 0.0, 15.5, 40.0, 126.5, 40.0, 0.0, 0.0, 0.0, 1.695682062511914E9, 0.0, 2023-09-25 17:47:42.511
236.0, -187500.02235174447, 29704.440200858142, -28945.30790392255, -31260.74746379226, 11893.385576413344, 3584.571610042049, -187500.02235174447, -46694.2246787816, -1739.368050023085, -11605.405700851166, -22605.168533941334, -36247.04167211553, 17224.611905170907, -13136.947230928807, -24589.802275872502, -20060.802407360366, 0.096, 0.7515000000000001, -0.0635, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682062511918E9, 0.0, 2023-09-25 17:47:42.511
238.0, -187500.02235174447, 29702.763820023993, -28943.765633555133, -31259.786338780683, 11910.842288832939, 3586.247990876197, -187500.02235174447, -46646.74957355852, -1763.9549689239227, -11623.845890026796, -22638.71850236875, -36257.79286119853, 17214.128937021367, -13150.98412644674, -24609.516514482086, -20074.6381371782, 0.096, 0.7515000000000001, -0.0635, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695682062511922E9, 0.0, 2023-09-25 17:47:42.511
0.0, -93750.01117587223, 14963.621194794321, -14441.596203040624, -15578.964719648924, 5919.054856187685, 1706.466282184873, -93750.01117587223, -17951.9376697466, -873.9085047135956, -5807.407892633426, -11312.6202002311, -18130.326942244406, 8610.1825368622, -6575.011500717581, -12295.091127764123, -10033.98865866526, 0.098, 1.004, -0.082, 192.0, 1.5, 8.0, 15.5, 48.0, 126.5, 56.0, 0.0, 0.0, 0.0, 1.695682062628203E9, 0.0, 2023-09-25 17:47:42.628
