%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
238.0, 16502.40469007548, 34198.86192069792, -23536.386911438338, -21466.615374876903, -14267.520817222694, 15671.903273094093, -187500.02235174447, 23257.21362319155, 7648.409324694792, -32355.580610702113, -3642.3508694590178, -14620.65602787209, 60.70733794061398, -443.2127408042837, -25880.481407699754, -33036.61591251086, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684264568036E9, 0.0, 2023-09-25 18:24:24.568
240.0, 16514.966370459362, 34217.05624068454, -23536.386911438338, -21469.096418511443, -14267.431410244872, 15676.843008618715, -187500.02235174447, 23244.875460252224, 7655.539531176035, -32348.74097689879, -3640.987413047244, -14623.070016273263, 62.11549784129833, -463.1281451139623, -25878.290936743135, -33037.48763054462, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684264568044E9, 0.0, 2023-09-25 18:24:24.568
242.0, 16527.416292120968, 34209.68016501429, -23538.532678906045, -21465.855415565424, -14265.44210498835, 15677.29004350782, -187500.02235174447, 23237.54408807088, 7667.1847900372495, -32340.7837558727, -3640.2051019913083, -14624.254658729395, 73.26901832449656, -457.204932833306, -25874.64760239692, -33035.118345632356, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684264568048E9, 0.0, 2023-09-25 18:24:24.568
244.0, 16505.198658132394, 34207.355583590936, -23543.38300745285, -21462.525005641583, -14267.520817222694, 15684.174380800056, -187500.02235174447, 23235.51007932545, 7659.652252155812, -32342.571895429122, -3640.4956746692274, -14624.679341874045, 88.87053595430088, -446.76666817267756, -25876.949832075818, -33033.35255782039, 0.074, 0.914, 0.446, 192.0, 1.0, 40.0, 14.0, 72.0, 6.5, 120.0, 0.0, 0.0, 0.0, 1.695684264568051E9, 0.0, 2023-09-25 18:24:24.568
246.0, 16501.22004761935, 34208.272005113606, -23539.784376595544, -21457.16058697231, -14267.409058500418, 15686.029575589846, -187500.02235174447, 23245.098977696776, 7667.296548759527, -32331.038395290187, -3635.24301472223, -14623.092368017718, 65.78118393196868, -457.2272845777613, -25870.445474439322, -33022.82488618194, 0.074, 0.914, 0.446, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684264568054E9, 0.0, 2023-09-25 18:24:24.568
248.0, 16501.01888191925, 34205.34392658996, -23543.785338853042, -21467.218871977195, -14263.162227053908, 15680.48634296493, -187500.02235174447, 23221.36142508524, 7660.121638789373, -32343.622427418522, -3638.9757560462663, -14629.261449487383, 58.67332919518104, -466.68207248235615, -25888.550387448122, -33046.92006670476, 0.074, 0.914, 0.446, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684264568058E9, 0.0, 2023-09-25 18:24:24.568
250.0, 16510.02663493474, 34204.136932389374, -23537.593905638925, -21463.06144750851, -14255.540282194648, 15702.2569420644, -187500.02235174447, 23270.937594287112, 7666.760106892599, -32349.232715276805, -3631.599680376015, -14628.725007620456, 68.39633803323962, -459.5518660011132, -25861.482424912745, -33010.15144707578, 0.074, 0.914, 0.446, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684264568061E9, 0.0, 2023-09-25 18:24:24.568
252.0, 16507.143259900007, 34208.964909191716, -23549.216812755683, -21480.384049461372, -14268.928977123378, 15685.046098833813, -187500.02235174447, 23256.520719113436, 7660.166342278283, -32344.740014641287, -3626.6152413624814, -14626.333370963737, 72.7772799464798, -455.5062002547026, -25869.014962794183, -33020.03091812503, 0.074, 0.914, 0.446, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695684264568065E9, 0.0, 2023-09-25 18:24:24.568
254.0, 16491.653500992477, 34203.935766689276, -23562.449045473226, -21501.707613671733, -14278.942558639355, 15667.879959092137, -187500.02235174447, 23247.17768993112, 7655.13719977584, -32350.484412966303, -3629.990354775233, -14637.621001913669, 56.3263960273738, -463.75399395871096, -25880.63786991094, -33027.45169728419, 0.08, 0.904, 0.45, 192.0, 1.0, 64.0, 14.0, 32.0, 7.0, 8.0, 0.0, 0.0, 0.0, 1.695684264568068E9, 0.0, 2023-09-25 18:24:24.568
0.0, 8120.32170537969, 17235.78777739856, -11791.57338041942, -10766.522379699038, -7031.903509128512, 7856.302899873603, -93750.01117587223, 11111.05216873314, 3824.8081594476894, -16171.129485503376, -1814.0452282482659, -7321.78328296939, 32.34297422682932, -240.68358429474645, -12941.548280900513, -16515.5475158152, 0.068, 0.9, 0.447, 192.0, 0.5, 96.0, 14.0, 0.0, 6.5, 112.0, 0.0, 0.0, 0.0, 1.695684264732965E9, 0.0, 2023-09-25 18:24:24.732
