%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
178.0, 59573.74686881863, 61597.20559086867, -23969.787236426742, -31457.375759765597, -2930.1348841351137, -610.2473271187935, -187500.02235174447, 9267.368527337137, 33826.86183772825, -8433.737866132005, 8899.503517091694, -5577.251979977129, 11189.886771427009, 3861.1520959320187, -16277.300271666083, -45244.11055375464, 0.062, 0.495, 0.089, 192.0, 1.5, 112.0, 15.0, 120.0, 2.5, 72.0, 0.0, 0.0, 0.0, 1.695762914527852E9, 0.0, 2023-09-26 16:15:14.527
180.0, 59575.065621741494, 61596.95972167966, -23968.736704437342, -31463.343675535165, -2922.57999450922, -614.2482893762934, -187500.02235174447, 9269.31312910475, 33858.10957647677, -8432.866148098248, 8906.410206128385, -5575.016805531598, 11216.485347328824, 3863.946063988932, -16268.873664006433, -45239.90842579704, 0.062, 0.495, 0.089, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762914527873E9, 0.0, 2023-09-26 16:15:14.527
182.0, 59568.82948503846, 61600.31248334795, -23968.580242226155, -31464.148338335555, -2915.248622327879, -609.3979608294918, -187500.02235174447, 9277.002129197375, 33833.343843620285, -8423.500767171476, 8906.119633450466, -5565.025575760076, 11210.02569318124, 3867.075308212675, -16253.942698710287, -45228.73255356939, 0.062, 0.495, 0.089, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762914527883E9, 0.0, 2023-09-26 16:15:14.527
184.0, 59548.914080728784, 61582.34168080589, -23984.762905211795, -31484.71194323444, -2933.6441080145964, -628.7098680388771, -187500.02235174447, 9273.492905317891, 33845.994930981986, -8432.173244020134, 8888.104127419487, -5588.58431441597, 11210.204507136883, 3859.453363353415, -16278.775486800134, -45256.11344052714, 0.062, 0.495, 0.089, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762914527892E9, 0.0, 2023-09-26 16:15:14.527
186.0, 59557.653612810805, 61594.322215833934, -23972.78237018375, -31470.0268471273, -2911.851157170672, -607.2521933617822, -187500.02235174447, 9292.178963682529, 33805.873549684715, -8424.216022994045, 8892.887400732923, -5579.263636978107, 11190.669082482944, 3877.1559449620186, -16268.247815161683, -45239.28257695229, 0.062, 0.495, 0.089, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762914527901E9, 0.0, 2023-09-26 16:15:14.527
188.0, 59545.51661557158, 61579.10067785987, -23987.154541868513, -31482.029733899803, -2918.1990525959795, -614.2706411207487, -187500.02235174447, 9298.12452770764, 33819.06107891334, -8426.652363139674, 8885.868952973957, -5591.400634217338, 11206.494117557302, 3884.979055521376, -16271.757039041167, -45239.260225207836, 0.088, 0.7444999999999999, 0.1345, 192.0, 1.5, 72.0, 15.5, 8.0, 2.5, 80.0, 0.0, 0.0, 0.0, 1.69576291452791E9, 0.0, 2023-09-26 16:15:14.527
190.0, 59560.179359934256, 61591.95293092167, -23973.475274261866, -31474.832472185193, -2912.76757869334, -599.1832136134165, -187500.02235174447, 9293.967103238952, 33795.70350595755, -8427.166453262145, 8888.931141964335, -5593.501698196137, 11191.40669004997, 3884.889648543555, -16265.520902338136, -45230.63245184809, 0.088, 0.7444999999999999, 0.1345, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762914527919E9, 0.0, 2023-09-26 16:15:14.527
192.0, 59569.85766528341, 61599.4407653142, -23969.139035837536, -31476.128873363603, -2897.926020375016, -592.4776902768243, -187500.02235174447, 9303.198373698995, 33813.54019803288, -8418.71749385804, 8902.521002593161, -5590.797137117045, 11206.762338490766, 3888.823555567689, -16262.659879047857, -45230.20776870344, 0.088, 0.7444999999999999, 0.1345, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762914527928E9, 0.0, 2023-09-26 16:15:14.527
194.0, 59561.140484945834, 61588.75663146456, -23976.962146396894, -31494.434952072497, -2919.406046796566, -605.8216817166426, -187500.02235174447, 9293.475364860937, 33815.32833758931, -8420.66209562565, 8902.81157527108, -5596.340369741961, 11194.804155207177, 3887.2812852002726, -16269.320698895539, -45234.2757861943, 0.088, 0.7444999999999999, 0.1345, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762914527937E9, 0.0, 2023-09-26 16:15:14.527
0.0, 29539.32786456679, 29338.050405746748, -11974.343594830465, -15728.743759243938, -1497.3433610610202, -272.7806893325674, -93750.01117587223, 4619.971468445238, 16900.39985184668, -4211.940373413608, 4453.808600164485, -2800.0700831496815, 5593.568753429503, 1944.6017676117144, -8133.84451077515, -22618.825449803528, 0.126, 1.002, 0.182, 192.0, 1.5, 120.0, 15.5, 40.0, 2.5, 88.0, 0.0, 0.0, 0.0, 1.695762914685331E9, 0.0, 2023-09-26 16:15:14.685
2.0, 59081.226179745936, 58682.78398308563, -23943.434529713933, -31447.40688173853, -2978.6158178586743, -530.1163232465176, -187500.02235174447, 9267.480286059414, 33918.280472550454, -8450.345212262298, 9033.83750126809, -5463.548655932982, 11560.724563685008, 3769.398184942983, -16305.016434790665, -45251.75485035835, 0.126, 1.002, 0.182, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762914685356E9, 0.0, 2023-09-26 16:15:14.685
4.0, 59079.08041227823, 58687.03081453214, -23951.92819260695, -31453.240687041365, -2985.075472006258, -533.1338087479841, -187500.02235174447, 9263.322861590726, 33952.322179355884, -8439.14698829019, 9033.83750126809, -5463.213379766153, 11576.571950503821, 3787.547801440692, -16303.27299872315, -45248.200922989956, 0.126, 1.002, 0.182, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762914685402E9, 0.0, 2023-09-26 16:15:14.685
6.0, 59092.51381069587, 58698.56431467108, -23940.908782590483, -31442.69066365846, -2966.903503764094, -523.6119656100233, -187500.02235174447, 9280.757222265867, 33918.72750743956, -8438.610546423262, 9042.107646716553, -5452.819818594435, 11549.056953079338, 3802.210545803374, -16294.332300941027, -45237.76265832933, 0.126, 1.002, 0.182, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695762914685412E9, 0.0, 2023-09-26 16:15:14.685
8.0, 59089.56338042777, 58700.643026905425, -23941.73579713533, -31451.13962306257, -2976.8723817911605, -527.1658929784171, -187500.02235174447, 9275.683376274512, 33954.356188101316, -8438.342325489799, 9048.701411330869, -5455.725545373624, 11577.018985392928, 3803.462243492871, -16295.494591652703, -45244.73640259939, 0.128, 1.002, 0.184, 192.0, 2.0, 0.0, 15.5, 40.0, 2.5, 96.0, 0.0, 0.0, 0.0, 1.695762914685421E9, 0.0, 2023-09-26 16:15:14.685
10.0, 59071.994909285895, 58686.42731743185, -23948.463672216378, -31468.059893615235, -2977.6770445915517, -546.2766344877047, -187500.02235174447, 9260.283024344806, 33918.481638250545, -8450.926357618137, 9039.224271681818, -5461.335833231907, 11565.284319553892, 3790.5429351977036, -16295.092260252508, -45248.80442009025, 0.128, 1.002, 0.184, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69576291468543E9, 0.0, 2023-09-26 16:15:14.685
