%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
102.0, 14574.253806382872, 23367.452426845128, 27767.505081594598, -7546.060686833941, 32801.00617420747, 35358.93980967281, -187500.02235174447, 45107.608450366075, 13394.640492754042, -15465.86489270507, -4847.378116533532, 12186.863981111524, 14080.9731579987, -187500.02235174447, 16331.257382781194, -58524.24305966414, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959360187371783E9, 0.0, 2023-09-28 16:20:18.737
104.0, 14575.594911050192, 23379.5670723399, 27458.82749066681, -7525.787654612977, 32818.50759011598, 35303.12750376791, -187500.02235174447, 44812.07368517801, 13457.493598162366, -15450.710409964373, -4831.6871919259065, 12139.657096821917, 14092.260788948632, -187500.02235174447, 16140.038208966043, -58715.43988173484, 0.093, 0.498, 0.034, 192.0, 2.5, 104.0, 15.5, 16.0, 1.0, 16.0, 0.0, 0.0, 0.0, 1.6959360187372026E9, 0.0, 2023-09-28 16:20:18.737
106.0, 14559.524006786825, 23327.62161822577, 27807.581759402965, -7530.146244781762, 32788.600956034774, 35380.68805702782, -187500.02235174447, 45149.8085438977, 13395.914542187995, -15462.132151381034, -4866.287692342722, 12183.310053743131, 14073.664137561815, -187500.02235174447, 16319.433309964337, -58541.54330987255, 0.093, 0.498, 0.034, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959360187372196E9, 0.0, 2023-09-28 16:20:18.737
108.0, 14575.907835472564, 23365.686639033156, 27405.630338863175, -7541.25506177605, 32827.560046620376, 35278.45117788925, -187500.02235174447, 44779.93187665127, 13439.880423531584, -15456.119532122557, -4826.970973845837, 12142.473416623285, 14085.197637700754, -187500.02235174447, 16192.117773546908, -58645.25540414517, 0.093, 0.498, 0.034, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959360187372353E9, 0.0, 2023-09-28 16:20:18.737
110.0, 14573.896178471588, 23337.6575514862, 27817.148306029834, -7488.594351839346, 32807.30936614387, 35410.59469110903, -187500.02235174447, 45144.77940139525, 13415.472318586388, -15429.945639365393, -4820.578374931619, 12213.954295391357, 14109.024597290112, -187500.02235174447, 16258.524806323625, -58603.41293852484, 0.093, 0.498, 0.034, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959360187372503E9, 0.0, 2023-09-28 16:20:18.737
112.0, 14593.811582781265, 23379.20944442862, 27398.298966681836, -7562.556274241958, 32819.647529083195, 35261.732073036685, -187500.02235174447, 44759.07769907447, 13449.581080625187, -15476.571378299162, -4824.780502889216, 12145.759123058215, 14083.185980699776, -187500.02235174447, 16213.374282523906, -58627.8880987034, 0.093, 0.498, 0.034, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959360187372665E9, 0.0, 2023-09-28 16:20:18.737
114.0, 14568.084724913208, 23339.266877086982, 27840.528230730088, -7482.291159902949, 32791.484331069514, 35422.77639183717, -187500.02235174447, 45158.23515155735, 13410.309065617212, -15467.407163072487, -4838.929157129426, 12192.429565480896, 14082.224855688199, -187500.02235174447, 16226.49475651917, -58646.77532276813, 0.1385, 0.747, 0.05, 192.0, 2.5, 96.0, 15.5, 16.0, 1.0, 8.0, 0.0, 0.0, 0.0, 1.695936018737281E9, 0.0, 2023-09-28 16:20:18.737
116.0, 14591.665815313556, 23384.327993908882, 27406.032670263372, -7576.771983715533, 32818.462886627065, 35245.25883737312, -187500.02235174447, 44773.80749867052, 13436.013571740816, -15458.377058312542, -4827.529767457219, 12138.83008227707, 14080.88375102088, -187500.02235174447, 16261.095256935985, -58579.04953706855, 0.1385, 0.747, 0.05, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695936018737297E9, 0.0, 2023-09-28 16:20:18.737
118.0, 14561.602719021168, 23315.596379708815, 27829.151192802336, -7461.124057903774, 32802.72725853053, 35431.27005473019, -187500.02235174447, 45147.327500263156, 13420.255591899824, -15440.115683092557, -4828.334430257611, 12204.968894120324, 14095.79236457257, -187500.02235174447, 16177.879712328877, -58703.772271129164, 0.1385, 0.747, 0.05, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959360187373135E9, 0.0, 2023-09-28 16:20:18.737
120.0, 14599.064242728264, 23389.15597071123, 27418.70610936953, -7589.333664099416, 32818.820514538354, 35228.20445635372, -187500.02235174447, 44798.01443791562, 13421.4178826115, -15481.466410334875, -4841.968994375347, 12145.714419569305, 14067.159779925321, -187500.02235174447, 16294.980501530232, -58553.546196645046, 0.1385, 0.747, 0.05, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959360187373302E9, 0.0, 2023-09-28 16:20:18.737
