%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
208.0, -46189.09760583611, 13255.612642242033, -41749.21414246728, -25798.942243926795, -10762.946100586189, -14532.076064595709, -187500.02235174447, -5697.303199446583, -8557.208902503122, 21616.059138305085, -24865.73456117327, -19395.12275399241, 791.7211403514315, -7447.735362975045, -22509.994806050636, -37654.21809604384, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696032979168784E9, 0.0, 2023-09-29 19:16:19.168
210.0, -46192.56212622668, 13202.907228816419, -41734.23847368223, -25788.10164786597, -10756.620556905336, -14524.275305780806, -187500.02235174447, -5688.36250166446, -8571.469315465607, 21573.70258256228, -24921.725681033815, -19390.18301846779, 800.7065416224649, -7450.506979287503, -22514.01812005259, -37666.37744502752, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696032979168791E9, 0.0, 2023-09-29 19:16:19.168
212.0, -46185.18605055643, 13258.428962043401, -41734.68550857133, -25799.746906727185, -10753.826588848424, -14529.147986072063, -187500.02235174447, -5692.609333110969, -8549.676364621684, 21623.703434908803, -24854.312819756607, -19390.093611489967, 784.702692592465, -7453.6362235112465, -22509.50306767262, -37649.16660179694, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696032979168795E9, 0.0, 2023-09-29 19:16:19.168
214.0, -46192.71858843787, 13182.924769273373, -41733.94790100431, -25796.483552036712, -10748.685687623703, -14529.460910494437, -187500.02235174447, -5684.674463829335, -8559.801704859938, 21586.823056557543, -24917.45649784285, -19384.997413754158, 791.1176432511381, -7443.041496639431, -22504.429221681265, -37658.576686212626, 0.11, 1.006, 0.178, 192.0, 1.5, 56.0, 15.5, 56.0, 2.5, 72.0, 0.0, 0.0, 0.0, 1.696032979168798E9, 0.0, 2023-09-29 19:16:19.168
216.0, -46190.97515237035, 13301.098442208582, -41744.78849706513, -25797.735249726207, -10761.783809874512, -14532.903079140555, -187500.02235174447, -5693.145774977896, -8547.30707970942, 21598.669481118857, -24844.031017307167, -19396.9779487822, 790.1118147506494, -7435.955993647099, -22513.12405027438, -37644.42803197241, 0.11, 1.006, 0.178, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696032979168801E9, 0.0, 2023-09-29 19:16:19.168
218.0, -46188.136480824534, 13196.492278157744, -41727.62235732345, -25803.81492421805, -10750.384420202307, -14526.130500570596, -187500.02235174447, -5681.902847516876, -8567.64716716375, 21570.953317994277, -24907.666433771425, -19392.328785935497, 792.8387275741968, -7453.18918862214, -22511.492372929144, -37667.89736365049, 0.11, 1.006, 0.178, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696032979168805E9, 0.0, 2023-09-29 19:16:19.168
220.0, -46183.62142844456, 13311.380244658023, -41729.812828280075, -25782.647822218874, -10755.525321427027, -14532.992486118375, -187500.02235174447, -5683.22160043974, -8541.272108706487, 21608.61600740147, -24844.410996962906, -19374.91677700481, 794.671570619532, -7426.501205742504, -22498.39425067833, -37636.35905222405, 0.11, 1.006, 0.178, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696032979168808E9, 0.0, 2023-09-29 19:16:19.168
222.0, -46188.270591291264, 13193.765365334197, -41731.22098818076, -25811.034537677115, -10757.447571450182, -14539.385085032593, -187500.02235174447, -5691.55880112157, -8565.50139969604, 21581.771562310645, -24910.46040182834, -19378.291890417564, 803.9698963129397, -7466.063793428397, -22510.75476536212, -37667.98677062831, 0.11, 1.006, 0.178, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696032979168811E9, 0.0, 2023-09-29 19:16:19.168
224.0, -46183.152041810994, 13311.089671980104, -41727.35413638999, -25788.90631066636, -10758.051068550476, -14525.549355214758, -187500.02235174447, -5689.882420287421, -8550.458675677619, 21616.17089702736, -24860.280735526176, -19379.722402062704, 791.2964572067806, -7442.370944305771, -22508.988977550147, -37640.963511581846, 0.10200000000000001, 1.012, 0.17400000000000002, 192.0, 1.5, 24.0, 15.5, 80.0, 2.5, 56.0, 0.0, 0.0, 0.0, 1.696032979168814E9, 0.0, 2023-09-29 19:16:19.168
0.0, -23066.95557438798, 6957.0475169476895, -20878.160998602034, -12924.069216736463, -5425.058951980943, -7279.449078971038, -93750.01117587223, -2855.5918163766646, -4281.588409136344, 10794.618522479359, -12441.852681857668, -9692.945741766185, 394.0612547470635, -3722.012486697732, -11260.428876927957, -18828.260162861367, 0.11, 1.01, 0.17, 192.0, 1.5, 56.0, 15.5, 72.0, 2.5, 40.0, 0.0, 0.0, 0.0, 1.696032979266562E9, 0.0, 2023-09-29 19:16:19.266
