%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
238.0, 43952.13502074898, 25201.7483355699, -10576.174923917642, -17011.75624272302, -22821.689882479895, -16831.71294113552, -187500.02235174447, -32101.01659310062, 34123.51419013908, 22213.610674573265, -18980.766115279926, -312.566794463014, -11022.136929289929, -27449.059778339837, -16824.38156895418, -28401.936996214034, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695325104058472E9, 0.0, 2023-09-21 14:38:24.058
240.0, 43951.08448875958, 25201.390707658615, -10581.293473397907, -17011.488021789555, -22818.40417604496, -16822.548725908844, -187500.02235174447, -32096.702706420747, 34108.002079487094, 22194.43287783061, -18998.535752121898, -283.9118580713103, -11037.716095175278, -27470.562156505843, -16847.15799655414, -28421.226551678963, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695325104058479E9, 0.0, 2023-09-21 14:38:24.058
242.0, 43952.38088993799, 25198.932015768532, -10576.800772762392, -17011.577428767378, -22820.41583304594, -16830.66240914612, -187500.02235174447, -32102.581215212493, 34112.137152211326, 22197.71858426554, -18996.72526082102, -310.35397176193857, -11034.966830607276, -27467.72348496002, -16847.113293065227, -28418.209066177496, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695325104058483E9, 0.0, 2023-09-21 14:38:24.058
244.0, 43944.110744489524, 25193.925225010542, -10587.66372056767, -17016.56186778091, -22828.95419942787, -16842.33001975179, -187500.02235174447, -32105.285776291585, 34099.3966578718, 22185.268662603936, -19007.3870429262, -278.63684637985784, -11048.400229024915, -27478.29586008738, -16855.38343851369, -28429.317883171785, 0.084, 0.996, 0.17, 192.0, 1.0, 80.0, 15.5, 16.0, 2.5, 40.0, 0.0, 0.0, 0.0, 1.695325104058486E9, 0.0, 2023-09-21 14:38:24.058
246.0, 43949.005776525235, 25196.003937244885, -10577.314862884863, -17016.02542591398, -22827.09900463808, -16840.13954879517, -187500.02235174447, -32107.140971081375, 34106.973899242155, 22192.063592918348, -18997.686385832596, -309.01286709462016, -11045.89683364592, -27468.4834442715, -16844.72165640851, -28416.823258021268, 0.084, 0.996, 0.17, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695325104058489E9, 0.0, 2023-09-21 14:38:24.058
248.0, 43949.51986664771, 25196.85330353419, -10583.998034477001, -17015.623094513787, -22828.730681983314, -16840.206604028535, -187500.02235174447, -32103.07295359051, 34097.809684015476, 22177.937290422597, -19007.163525481647, -271.8642678098998, -11047.819083669077, -27476.15009261967, -16852.85769139024, -28429.943732016534, 0.084, 0.996, 0.17, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695325104058493E9, 0.0, 2023-09-21 14:38:24.058
250.0, 43951.19624748186, 25198.127352968142, -10580.645272808704, -17015.4666323026, -22824.57325751463, -16835.065702803815, -187500.02235174447, -32103.452933246248, 34105.87866376384, 22186.073325404326, -18998.245179443977, -307.51530021611455, -11043.929880133854, -27480.15105487717, -16844.29697326386, -28416.465630109982, 0.084, 0.996, 0.17, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695325104058496E9, 0.0, 2023-09-21 14:38:24.058
252.0, 43946.480029401784, 25193.7464110549, -10586.9484647451, -17018.059434659415, -22822.405138302463, -16832.003513813437, -187500.02235174447, -32102.558863468035, 34096.490931092616, 22176.886758433197, -19007.3870429262, -271.5736951319808, -11048.333173791549, -27485.604880524264, -16849.415522744122, -28423.729947057956, 0.084, 0.996, 0.17, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695325104058499E9, 0.0, 2023-09-21 14:38:24.058
254.0, 43952.47029691581, 25201.346004169704, -10578.164229174165, -17010.772765966984, -22816.593684744083, -16825.655618388133, -187500.02235174447, -32093.93109010829, 34096.73680028162, 22176.73029622201, -19007.342339437288, -309.2140327947179, -11045.986240623743, -27479.078171143316, -16848.52145296591, -28418.52199059987, 0.08, 1.002, 0.17200000000000001, 192.0, 1.0, 64.0, 15.5, 40.0, 2.5, 48.0, 0.0, 0.0, 0.0, 1.695325104058503E9, 0.0, 2023-09-21 14:38:24.058
0.0, 22006.78998312831, 12657.524664106926, -4965.104754579635, -8282.394204425122, -11183.337710301605, -8276.11336423318, -93750.01117587223, -15990.192114137664, 17051.497644364554, 11090.354453367527, -9500.631332472722, -142.3359086913954, -5518.846871715412, -13736.868052109248, -8419.76802584744, -14206.120575203966, 0.126, 0.997, 0.136, 192.0, 2.5, 48.0, 15.5, 0.0, 1.5, 16.0, 0.0, 0.0, 0.0, 1.695325104163324E9, 0.0, 2023-09-21 14:38:24.163
