%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 12145.669716080394, -2390.586124728456, -19629.301980650664, -48056.18352367682, -37547.53321975866, 187500.0, -129336.62585456681, -42865.39320533195, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328341787128E9, 0.0, 2023-09-21 15:32:21.787
210.0, 12156.487960396762, -2380.751357168121, -19636.096910965076, -48052.24961665268, -37544.113402856994, 187500.0, -129398.92016636375, -42899.97135400431, 8828.357914490452, -39827.88054083354, -52829.62206955219, -84819.68460317668, -13251.879900917997, 18805.550790494777, -47192.378007457024, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328341787139E9, 0.0, 2023-09-21 15:32:21.787
212.0, 12151.615280105505, -2390.0049793726184, -19610.615922286026, -48052.07080269704, -37540.38066153296, 187500.0, -129352.20502045215, -42871.74110075726, 8837.119798316931, -39821.3985349415, -52819.653191525125, -84870.80304274596, -13236.323086777102, 18686.17012335898, -47185.35955969805, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328341787147E9, 0.0, 2023-09-21 15:32:21.787
214.0, 12155.795056318648, -2385.892258392842, -19618.9307712234, -48056.13882018791, -37540.04538536613, 187500.0, -129386.51494819105, -42903.659391839436, 8829.296687757575, -39833.98256706984, -52829.934993974566, -84813.60492868483, -13247.700124704854, 18816.167869111046, -47194.36731271355, -187500.02235174447, 0.076, 1.008, 0.044, 192.0, 1.0, 48.0, 15.5, 64.0, 0.5, 48.0, 0.0, 0.0, 0.0, 1.695328341787153E9, 0.0, 2023-09-21 15:32:21.787
216.0, 12152.822274306092, -2392.597781729434, -19597.31663433512, -48056.83172426602, -37539.017205121185, 187500.0, -129361.41393916775, -42871.87521122399, 8844.31706003154, -39820.68327911893, -52814.17701413358, -84871.49594682407, -13233.61852569801, 18675.46363776489, -47179.34694043958, -187500.02235174447, 0.076, 1.008, 0.044, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328341787158E9, 0.0, 2023-09-21 15:32:21.787
218.0, 12139.232413677266, -2404.488909779657, -19637.750940054768, -48073.930808774334, -37560.18430712036, 187500.0, -129340.78327903549, -42920.73612460329, 8818.344332974475, -39846.83482013164, -52838.965098734516, -84794.7177046201, -13252.058714873638, 18821.264066846856, -47207.57719368663, -187500.02235174447, 0.076, 1.008, 0.044, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328341787162E9, 0.0, 2023-09-21 15:32:21.787
220.0, 12146.966117258802, -2395.8387846754536, -19628.36320738354, -48066.532381359626, -37555.177516362375, 187500.0, -129338.43634586768, -42885.71094104182, 8826.815644123035, -39836.88829384903, -52828.3703718627, -84850.41825180272, -13247.18603458238, 18674.144884842026, -47203.553879684674, -187500.02235174447, 0.076, 1.008, 0.044, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328341787165E9, 0.0, 2023-09-21 15:32:21.787
222.0, 12144.26155617971, -2393.0671683629953, -19642.26599243474, -48072.813221551565, -37566.62160952349, 187500.0, -129298.76199945952, -42913.31534544413, 8828.872004612924, -39837.290625249225, -52829.309145129824, -84793.0189720415, -13248.057752616138, 18806.109584106158, -47208.739484398306, -187500.02235174447, 0.076, 1.008, 0.044, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328341787168E9, 0.0, 2023-09-21 15:32:21.787
224.0, 12153.649288850938, -2388.3956537718364, -19620.629503802003, -48066.48767787072, -37560.072548398086, 187500.0, -129315.03406942298, -42891.54474634466, 8830.883661613901, -39835.79305837072, -52826.33636311726, -84852.8769436928, -13252.86337767403, 18657.22461428936, -47210.706437910376, -187500.02235174447, 0.078, 1.01, 0.044, 192.0, 1.0, 56.0, 15.5, 72.0, 0.5, 48.0, 0.0, 0.0, 0.0, 1.695328341787171E9, 0.0, 2023-09-21 15:32:21.787
0.0, 6028.310183085226, -1293.517803373075, -9965.927596798849, -24026.493612109854, -18786.52945596331, 93749.98882412778, -64517.19278302107, -21452.936107270256, 4418.045809035994, -19912.453879410492, -26411.916483869136, -42397.39237992673, -6622.128978029368, 9401.993084191452, -23599.441182546758, -93750.01117587223, 0.078, 1.01, 0.048, 192.0, 1.0, 56.0, 15.5, 72.0, 0.5, 64.0, 0.0, 0.0, 0.0, 1.695328341936797E9, 0.0, 2023-09-21 15:32:21.936
2.0, 12060.733087150227, -2586.1862404568483, -19933.24100175393, -48051.26613989665, -37571.114310159006, 187500.0, -129096.92574702809, -42918.478598413305, 8472.004052639491, -39869.655951220506, -52948.24277737651, -85692.6766863676, -14264.995070099243, 15832.075873860822, -47153.84360001607, -187500.02235174447, 0.078, 1.01, 0.048, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69532834193681E9, 0.0, 2023-09-21 15:32:21.936
4.0, 12049.37840096693, -2598.010313273706, -19924.27795222735, -48055.80354402108, -37581.463167841815, 187500.0, -129062.07937742227, -42910.364915176026, 8473.278102073444, -39883.3128670827, -52950.50030356649, -85710.89335809868, -14261.8658258755, 15800.69402464557, -47160.52677160821, -187500.02235174447, 0.078, 1.01, 0.048, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328341936814E9, 0.0, 2023-09-21 15:32:21.936
6.0, 12061.71656390626, -2581.2018014433147, -19926.513126672882, -48038.86092172396, -37573.416539837905, 187500.0, -129096.45636039453, -42917.003383279254, 8499.58610529734, -39870.438262276446, -52947.3487075983, -85696.56588990282, -14281.960044140822, 15886.725889054047, -47160.347957652564, -187500.02235174447, 0.078, 1.01, 0.048, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328341936817E9, 0.0, 2023-09-21 15:32:21.936
8.0, 12043.924575319836, -2600.7372260972534, -19912.722100343955, -48049.679166040325, -37597.80229303864, 187500.0, -129044.7567754694, -42921.339621703584, 8510.82903275836, -39878.77546295828, -52946.544044797905, -85720.97399484801, -14287.68209072138, 15862.340135853308, -47166.04765248867, -187500.02235174447, 0.078, 1.012, 0.052000000000000005, 192.0, 1.0, 56.0, 15.5, 80.0, 0.5, 80.0, 0.0, 0.0, 0.0, 1.695328341936821E9, 0.0, 2023-09-21 15:32:21.936
10.0, 12053.558177180073, -2588.108490480005, -19932.972780820463, -48036.804561234065, -37597.310554660624, 187500.0, -129053.60806627371, -42928.045145040174, 8513.645352559728, -39874.10394836711, -52954.68007977964, -85681.70197984004, -14310.056186921143, 15971.617814495305, -47179.54810613968, -187500.02235174447, 0.078, 1.012, 0.052000000000000005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328341936824E9, 0.0, 2023-09-21 15:32:21.936
12.0, 12052.932328335326, -2596.780967328664, -19914.04085326682, -48030.12138964193, -37602.6749733299, 187500.0, -129026.76362118288, -42919.7302961028, 8530.230346945566, -39879.69188448094, -52942.61013777377, -85708.76994237542, -14317.365207358029, 15939.25248852402, -47180.218658473335, -187500.02235174447, 0.078, 1.012, 0.052000000000000005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328341936827E9, 0.0, 2023-09-21 15:32:21.936
14.0, 12063.638813929418, -2584.1075282225047, -19920.79108009232, -48021.04658139308, -37589.554499334634, 187500.0, -129036.33016780975, -42920.557310647644, 8571.871646865804, -39880.04951239223, -52944.53238779693, -85670.83903203477, -14330.396274375473, 16056.17446376973, -47178.877553806014, -187500.02235174447, 0.078, 1.012, 0.052000000000000005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328341936841E9, 0.0, 2023-09-21 15:32:21.936
16.0, 12056.530959192629, -2592.489432393245, -19895.488905368915, -48029.406133819364, -37585.218260910304, 187500.0, -129031.47983926295, -42910.923708787406, 8584.74625167206, -39870.39355878753, -52934.11647488076, -85711.16157903214, -14316.605248046548, 16013.728501049103, -47166.651149588964, -187500.02235174447, 0.078, 1.012, 0.052000000000000005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328341996983E9, 0.0, 2023-09-21 15:32:21.996
18.0, 12062.744744151205, -2583.660493333399, -19910.330463687238, -48029.540244286094, -37581.91020273092, 187500.0, -129022.62854845866, -42919.68559261389, 8589.149545329756, -39880.31773332569, -52941.55960578437, -85660.40076737413, -14324.517765583727, 16126.425996592761, -47175.81536481564, -187500.02235174447, 0.076, 1.01, 0.06, 192.0, 1.0, 48.0, 15.5, 72.0, 0.5, 112.0, 0.0, 0.0, 0.0, 1.695328341996994E9, 0.0, 2023-09-21 15:32:21.996
20.0, 12070.143171565911, -2580.061862476094, -19871.572538801734, -48024.53345352811, -37566.286333356664, 187500.0, -129047.03665340385, -42893.48934811227, 8645.811217523958, -39855.79786965822, -52909.484852491005, -85710.08869529828, -14292.01832914571, 16059.191949271197, -47148.74740228026, -187500.02235174447, 0.076, 1.01, 0.06, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328341996998E9, 0.0, 2023-09-21 15:32:21.996
22.0, 12042.2928979746, -2607.8674325784964, -19898.28287342583, -48056.317634143554, -37597.24349942726, 187500.0, -129005.26124301688, -42935.9353108329, 8617.268039854533, -39897.841500978655, -52941.47019880655, -85656.31039813881, -14297.0251199037, 16160.57946212047, -47176.66473110494, -187500.02235174447, 0.076, 1.01, 0.06, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328341997001E9, 0.0, 2023-09-21 15:32:21.997
24.0, 12078.614482714473, -2578.0502054751164, -19856.12748338312, -48028.40030531887, -37565.10169090053, 187500.0, -129044.33209232475, -42907.95092677485, 8670.755764336081, -39875.75797745681, -52915.497471749484, -85689.79331133286, -14270.53830272416, 16086.438725762217, -47154.67061456092, -187500.02235174447, 0.076, 1.01, 0.06, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328341997004E9, 0.0, 2023-09-21 15:32:21.997
26.0, 12062.744744151205, -2593.4952608937338, -19863.414152075547, -48042.99599444819, -37583.58658356507, 187500.0, -129010.26803377486, -42929.520360174225, 8677.90832256178, -39885.6150967616, -52916.10096884978, -85654.85753474922, -14252.813369371102, 16186.663947899813, -47153.28480640469, -187500.02235174447, 0.076, 1.01, 0.06, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328341997008E9, 0.0, 2023-09-21 15:32:21.997
28.0, 12053.580528924529, -2603.3747319429795, -19853.82525370422, -48050.26031139616, -37594.874214514995, 187500.0, -129028.28353980584, -42940.07038355713, 8685.463212187673, -39885.860965950604, -52922.67238171964, -85671.59899134624, -14244.67733438937, 16176.96329080621, -47165.48885887729, -187500.02235174447, 0.082, 1.01, 0.062, 192.0, 1.0, 72.0, 15.5, 72.0, 0.5, 120.0, 0.0, 0.0, 0.0, 1.695328341997011E9, 0.0, 2023-09-21 15:32:21.997
30.0, 12075.172314068355, -2579.123089208971, -19853.735846726402, -48030.92605244232, -37576.568135806105, 187500.0, -129007.51876920686, -42923.30657521565, 8711.257125289098, -39884.631620005566, -52916.57035548334, -85623.31922332277, -14226.885345802946, 16286.576245615035, -47162.605483842555, -187500.02235174447, 0.082, 1.01, 0.062, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695328342056691E9, 0.0, 2023-09-21 15:32:22.056
