%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -17785.90891193258, -34591.40325682202, -41556.02801514006, -19638.197974943876, -63490.130125299715, -51232.925204387335, 106058.82627473191, -55714.047636276206, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338190630905E9, 0.0, 2023-09-21 18:16:30.630
176.0, -17776.923510661545, -34586.619983508586, -41548.22725632516, -19629.234925417295, -63477.79196236038, -51224.18567230531, 106014.92744862169, -55700.5471826252, -22322.59778053734, -29888.52916819205, -45160.20210506942, -43478.166279574194, -55351.94937610023, -42053.22021880391, -35424.51982790468, -47906.225670126165, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338190630914E9, 0.0, 2023-09-21 18:16:30.630
178.0, -17787.22766485544, -34594.53250104577, -41563.15822162131, -19643.65180059097, -63494.600474190775, -51237.70847770077, 106028.0255708725, -55712.3489036976, -22317.27806535698, -29885.71284839068, -45157.47519224587, -43476.46754699559, -55356.95616685822, -42051.78970715877, -35420.8094383251, -47902.11294914639, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338190630918E9, 0.0, 2023-09-21 18:16:30.630
180.0, -17779.359850807174, -34586.329410830665, -41557.771451207576, -19637.817995288133, -63485.34685198627, -51231.114713086456, 105972.07915450087, -55707.00683677279, -22319.870867713795, -29891.23372927114, -45163.93484639345, -43482.65898020971, -55359.57132095949, -42062.160916586035, -35432.18647625286, -47909.69019051674, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338190630921E9, 0.0, 2023-09-21 18:16:30.630
182.0, -17788.47936254494, -34596.58886153565, -41563.60525651041, -19643.517690124238, -63491.82885787832, -51237.753181189684, 105979.72345110458, -55716.10399676609, -22319.714405502607, -29890.138493792834, -45166.43824177245, -43481.250820309026, -55362.745268672144, -42058.07054735071, -35426.084450016555, -47905.15278639231, 0.083, 0.48, 0.14300000000000002, 192.0, 2.5, 24.0, 15.0, 0.0, 4.0, 120.0, 0.0, 0.0, 0.0, 1.695338190630924E9, 0.0, 2023-09-21 18:16:30.630
184.0, -17776.78940019481, -34587.46934979789, -41543.220465567174, -19631.380692885006, -63480.13889552819, -51228.9912973632, 105937.12102617277, -55705.82219431665, -22316.808678723417, -29893.468903716675, -45165.03008187176, -43483.910677899206, -55342.02520156207, -42055.678910694, -35426.643243627936, -47909.53372830555, 0.083, 0.48, 0.14300000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338190630928E9, 0.0, 2023-09-21 18:16:30.630
186.0, -17784.836028198722, -34592.31967834469, -41549.233084825646, -19637.527422610216, -63491.51593345594, -51232.724038687236, 105964.05487824141, -55715.656961876986, -22309.969044920093, -29885.086999545932, -45157.34108177914, -43478.34509352983, -55333.33037296896, -42050.426250747, -35421.189417980844, -47904.750454992114, 0.083, 0.48, 0.14300000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338190630931E9, 0.0, 2023-09-21 18:16:30.630
188.0, -17779.493961273904, -34586.4635212974, -41550.060099370494, -19630.531326595705, -63488.23022702101, -51225.32561127253, 105931.68955227012, -55705.53162163874, -22316.22753336758, -29883.38826696733, -45160.962064380896, -43480.87084065328, -55352.128190055875, -42050.18038155799, -35425.63741512745, -47903.74462649162, 0.083, 0.48, 0.14300000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338190630935E9, 0.0, 2023-09-21 18:16:30.630
190.0, -17789.95457767899, -34593.16904463399, -41556.564457006985, -19635.806338287155, -63493.259369523454, -51229.23716655221, 105947.31342164439, -55707.945610039904, -22316.13812638976, -29882.44949370021, -45162.72785219287, -43481.54139298695, -55362.07471633849, -42045.441811733464, -35424.273958715676, -47899.69896074521, 0.083, 0.48, 0.14300000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338190630938E9, 0.0, 2023-09-21 18:16:30.630
192.0, -17787.250016599897, -34584.83184395216, -41552.65290172731, -19626.0833294491, -63490.2865875109, -51214.73088440071, 105928.31443885737, -55693.573438355146, -22324.69884451614, -29887.59039492493, -45168.51695400679, -43485.452948266626, -55359.14663781484, -42050.91798912502, -35428.029051784164, -47897.687303744235, 0.1265, 0.7190000000000001, 0.21450000000000002, 192.0, 2.5, 40.0, 14.5, 120.0, 4.0, 120.0, 0.0, 0.0, 0.0, 1.695338190630942E9, 0.0, 2023-09-21 18:16:30.630
0.0, -24723.80098388207, -36190.55881387697, -28406.787324760837, -39510.888100968376, -55597.349178475044, 28989.16202654386, 20319.83677385292, -26066.11264540108, -26100.132000462057, -37517.783047888646, -44316.513158859394, -49412.30856326921, -48704.250002413995, -38727.37005083204, -41648.988920329684, -23944.149785536505, 0.17400000000000002, 0.9580000000000001, 0.268, 192.0, 2.5, 56.0, 14.5, 120.0, 4.0, 48.0, 0.0, 0.0, 0.0, 1.695338190753433E9, 0.0, 2023-09-21 18:16:30.753
2.0, -14868.156894225705, -30836.511354030536, -37190.821729996416, -15545.817082621705, -59979.92276906047, -47937.51811236359, 96304.99438106947, -52130.19128205672, -18627.139166252517, -26045.191412590913, -41642.64102490438, -39642.62928278796, -51447.479599413826, -38102.23646190602, -31575.236508278434, -43920.30613664462, 0.17400000000000002, 0.9580000000000001, 0.268, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338190812494E9, 0.0, 2023-09-21 18:16:30.812
4.0, -14854.008239985496, -30823.43558352418, -37175.26491585552, -15534.55180341623, -59975.81004808069, -47932.62308032788, 96349.89903568018, -52128.112569822384, -18618.31022719267, -26037.614171220564, -41633.43210618879, -39635.253207117705, -51425.664296825445, -38099.59895606029, -31571.05673206529, -43918.36153487701, 0.17400000000000002, 0.9580000000000001, 0.268, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338190812503E9, 0.0, 2023-09-21 18:16:30.812
6.0, -14836.283306632437, -30804.23543503707, -37156.064767368414, -15511.551858371718, -59956.47578912685, -47908.729065505155, 96312.482215462, -52106.45372944519, -18593.67860480292, -26019.4422029784, -41610.58862335546, -39615.6507272304, -51396.294104611174, -38073.64858074768, -31555.701083624495, -43900.25662186821, 0.17400000000000002, 0.9580000000000001, 0.268, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338190812507E9, 0.0, 2023-09-21 18:16:30.812
8.0, -14832.058826930384, -30796.255862266527, -37144.35245327383, -15497.134983198046, -59941.96950697536, -47891.09353912992, 96310.5376136944, -52087.90178154728, -18591.01874721274, -26004.62299640453, -41602.83256802947, -39606.15123583689, -51397.85872672305, -38052.19090607058, -31538.132612482623, -43878.41896753538, 0.18, 0.966, 0.258, 192.0, 2.5, 80.0, 15.0, 24.0, 4.0, 8.0, 0.0, 0.0, 0.0, 1.695338190812511E9, 0.0, 2023-09-21 18:16:30.812
10.0, -14821.374693080747, -30776.832196334864, -37130.00263333352, -15478.717145766872, -59923.37285558854, -47869.27823654154, 96257.22870316848, -52066.06412721445, -18569.494017302277, -25987.993298529782, -41586.02405619909, -39588.493357717205, -51377.719804968816, -38035.784725640384, -31520.094754707192, -43858.615321947975, 0.18, 0.966, 0.258, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338190812515E9, 0.0, 2023-09-21 18:16:30.812
12.0, -14817.127861634239, -30772.741827099544, -37126.18048503166, -15473.755058497794, -59921.405902076476, -47866.171344062255, 96256.35698513473, -52059.895045744786, -18564.777799222207, -25980.95249902636, -41584.16886140929, -39581.698427402785, -51364.46522050682, -38027.33576623628, -31509.611786557653, -43848.15470554289, 0.18, 0.966, 0.258, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338190812518E9, 0.0, 2023-09-21 18:16:30.812
14.0, -14784.315500773848, -30742.99165522953, -37099.53720564094, -15446.597688984597, -59903.12217511203, -47843.81959960695, 96253.31714788881, -52042.81831298093, -18551.2773455712, -25965.37333314101, -41569.37200657988, -39567.706235373764, -51362.36415652802, -38013.18711199607, -31500.76049575335, -43840.46570545027, 0.18, 0.966, 0.258, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338190812524E9, 0.0, 2023-09-21 18:16:30.812
16.0, -14733.19706120456, -30687.11229409126, -37047.90467594918, -15397.356795949556, -59845.52172965071, -47793.9305059827, 96277.0770522448, -51993.733882157074, -18511.021853807193, -25922.457983786822, -41530.12234331636, -39524.12033368592, -51307.244754701234, -37972.30577138731, -31463.209565068435, -43802.2889259206, 0.18, 0.966, 0.258, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338190872785E9, 0.0, 2023-09-21 18:16:30.872
18.0, -14672.892054664142, -30633.06577599833, -37011.67249818713, -15366.891368256971, -59802.91930471889, -47762.39219455626, 96292.09742451877, -51955.19947471613, -18454.047257190618, -25876.614555908985, -41478.266296180045, -39478.14279534135, -51259.970815178254, -37932.89964591261, -31417.276730212776, -43759.820611455514, 0.184, 0.964, 0.25, 192.0, 2.5, 96.0, 15.0, 16.0, 3.5, 104.0, 0.0, 0.0, 0.0, 1.695338190872793E9, 0.0, 2023-09-21 18:16:30.872
20.0, -14647.701638663011, -30597.05711568083, -36974.65800936914, -15325.942972414849, -59766.3071473011, -47720.4156184692, 96297.50654667694, -51913.491119562525, -18407.667387445854, -25828.02186346315, -41431.46174329064, -39432.455829674705, -51232.25465205368, -37891.61597390365, -31376.26127913729, -43721.04033482556, 0.184, 0.964, 0.25, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338190872797E9, 0.0, 2023-09-21 18:16:30.872
22.0, -14632.591859411225, -30576.895842182144, -36948.95350324554, -15294.762288899696, -59747.91166161438, -47695.26990595698, 96298.08769203279, -51888.09953786129, -18403.68877693281, -25804.843104462994, -41412.485112248076, -39407.13130320684, -51203.622067406424, -37857.61897058714, -31343.20304908789, -43688.40678792081, 0.184, 0.964, 0.25, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695338190872801E9, 0.0, 2023-09-21 18:16:30.872
