%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 52685.54272479329, 52904.65687568866, -33380.51985270022, 2901.8822791436055, 29396.813141919753, 27869.630202010896, -176712.73520144646, 61077.86280844961, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695421562687872E9, 0.0, 2023-09-22 17:26:02.687
194.0, 52759.43759196253, 52923.81232068686, -33377.256498009745, 2931.9006719470826, 29392.3874965176, 27897.48047560221, -176591.36522905412, 61161.12305654563, 45748.45531564418, 59478.170809527735, -20015.33895913827, -2496.2428207686926, 27243.96017121794, 15386.00210976626, -27930.67281611834, -10014.833213667062, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695421562687881E9, 0.0, 2023-09-22 17:26:02.687
196.0, 52688.62726552812, 52929.08733237831, -33357.0728727666, 2916.1650438505467, 29413.062860138758, 27889.389144109387, -176717.58552999326, 61049.721962180374, 45711.59728903738, 59463.93274830971, -20042.764549584932, -2469.3760239334138, 27256.655962068555, 15390.85243831306, -27914.89248453289, -10051.08774317357, 0.062, 1.008, 0.12, 192.0, 0.5, 120.0, 15.5, 64.0, 1.5, 96.0, 0.0, 0.0, 0.0, 1.695421562687886E9, 0.0, 2023-09-22 17:26:02.687
198.0, 52777.78837416034, 52920.48191076302, -33404.458571011855, 2920.6130409971524, 29381.837473134696, 27885.812864996537, -176623.01529920285, 61185.218237068446, 45767.34253970892, 59487.469135221145, -20000.67621477559, -2488.196192764782, 27256.454796368456, 15388.2819877007, -27926.917723049846, -10022.70102771533, 0.062, 1.008, 0.12, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695421562687889E9, 0.0, 2023-09-22 17:26:02.687
200.0, 52697.1879836545, 52936.30694583738, -33358.48103266729, 2892.606305194653, 29400.970566388438, 27866.925640931804, -176743.0665186723, 61054.0134971158, 45700.33200983191, 59458.50127440706, -20064.69161089559, -2505.071759828539, 27231.62200827861, 15349.61346979302, -27950.163537283366, -10093.243133216278, 0.062, 1.008, 0.12, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695421562687893E9, 0.0, 2023-09-22 17:26:02.687
202.0, 52761.62806291915, 52925.10872186527, -33386.621878936516, 2921.2388898419013, 29390.040563349794, 27883.28711787309, -176578.5800312257, 61166.688640914996, 45752.948016279704, 59454.00857377155, -20022.15624119714, -2504.8035388950752, 27242.239086894882, 15366.265519412224, -27935.411385942865, -10049.768990250706, 0.062, 1.008, 0.12, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695421562687897E9, 0.0, 2023-09-22 17:26:02.687
204.0, 52703.91585873555, 52952.10962916728, -33352.26724770871, 2891.980456349904, 29414.62748225063, 27886.66223128584, -176779.63397260118, 61048.93965112444, 45724.851873499385, 59471.465286191145, -20047.838395576287, -2485.357521218958, 27253.01262772234, 15375.765010805728, -27922.67089160334, -10078.133353964491, 0.062, 1.008, 0.12, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6954215626879E9, 0.0, 2023-09-22 17:26:02.687
206.0, 52758.834094862235, 52902.153480309666, -33422.85405669857, 2902.1952035659797, 29357.85405133415, 27875.173434635813, -176563.69376941846, 61197.13171686313, 45736.54183584951, 59453.51683539353, -20051.124102011217, -2520.6732774583434, 27222.994234918864, 15355.313164629122, -27958.612496687474, -10054.149932163946, 0.062, 1.01, 0.12, 192.0, 0.5, 120.0, 15.5, 72.0, 1.5, 96.0, 0.0, 0.0, 0.0, 1.695421562687912E9, 0.0, 2023-09-22 17:26:02.687
208.0, 52703.66998954654, 52946.36523084226, -33357.63166637799, 2889.6558749265523, 29391.38166801711, 27889.590309809486, -176728.8061057098, 61069.32444206768, 45711.70904775966, 59484.65281541977, -20060.333020726805, -2484.39639620738, 27233.34309260167, 15376.972005006315, -27930.248132973687, -10061.74952527875, 0.062, 1.01, 0.12, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695421562687916E9, 0.0, 2023-09-22 17:26:02.687
0.0, 26509.660662372193, 26564.958878154623, -16593.823324897687, 1442.961566801258, 14726.759758801432, 14146.79904541958, -87860.79589853238, 30640.10657550175, 22878.06098199618, 29742.08053852088, -10011.12282408748, -1246.7803057170279, 13616.436852984054, 7692.33050254947, -13963.112409485866, -5007.215441133433, 0.058, 1.008, 0.124, 192.0, 0.5, 104.0, 15.5, 64.0, 1.5, 112.0, 0.0, 0.0, 0.0, 1.695421562858344E9, 0.0, 2023-09-22 17:26:02.858
