%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 40808.16099740994, 30107.24098768723, -33665.415187527564, -29042.35917834749, -4795.343255441578, -6594.077538737958, -187500.02235174447, -47635.61310000576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683424105566E9, 0.0, 2023-09-25 18:10:24.105
212.0, 40809.32328812162, 30105.855179531, -33662.46475725946, -29037.352387589504, -4796.9972845312695, -6587.841402034927, -187500.02235174447, -47687.558554119896, -653.4085456619914, -50034.67053588278, -10363.274557980843, -37007.96210860755, 14391.505943716282, -16076.55925471297, -42792.213593985274, -46121.148302691974, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683424105575E9, 0.0, 2023-09-25 18:10:24.105
214.0, 40802.528357807205, 30112.895979034423, -33675.94285916601, -29044.907277215396, -4805.558002657653, -6595.508050383098, -187500.02235174447, -47638.34001282931, -670.1723540034717, -50047.50043720013, -10377.780840132338, -37008.92323361913, 14377.80432436518, -16090.774964186547, -42811.860777361486, -46139.27556744523, 0.023, 0.457, 0.213, 192.0, 0.5, 56.0, 14.0, 72.0, 6.5, 40.0, 0.0, 0.0, 0.0, 1.695683424105579E9, 0.0, 2023-09-25 18:10:24.105
216.0, 40800.96373569533, 30102.994156240722, -33676.00991439938, -29049.422329595367, -4803.322828212122, -6596.536230628041, -187500.02235174447, -47668.78308877744, -666.7525371018097, -50037.57626266197, -10370.29300573981, -37011.85131214277, 14371.791705106702, -16079.062650091964, -42816.04055357463, -46135.67693658792, 0.023, 0.457, 0.213, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683424105583E9, 0.0, 2023-09-25 18:10:24.105
218.0, 40806.730485764805, 30109.76673481068, -33676.546356266306, -29050.025826695663, -4808.575488159119, -6598.704349840206, -187500.02235174447, -47616.23413756301, -677.1460982735275, -50050.42851572377, -10375.411555220075, -37010.84548364228, 14371.769353362246, -16090.909074653278, -42820.309736765594, -46144.37176518104, 0.023, 0.457, 0.213, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683424105586E9, 0.0, 2023-09-25 18:10:24.105
220.0, 40814.95592772435, 30112.493647634226, -33648.0925855747, -29028.03171015164, -4781.731043068296, -6571.837553004927, -187500.02235174447, -47662.81517300787, -649.4075834044914, -50027.29446021253, -10350.176435730033, -36998.0826375583, 14388.264940770263, -16075.307557023474, -42796.86275683198, -46115.02392471122, 0.023, 0.457, 0.213, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683424105589E9, 0.0, 2023-09-25 18:10:24.105
222.0, 40816.94523298088, 30123.24483671723, -33654.95457112248, -29030.535105530635, -4792.7728048292165, -6585.852096778405, -187500.02235174447, -47625.957146401066, -661.1422492435277, -50028.63556487985, -10356.569034644252, -36992.56175667784, 14385.828600624634, -16073.295900022496, -42800.97547781176, -46122.86938701503, 0.023, 0.457, 0.213, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683424105592E9, 0.0, 2023-09-25 18:10:24.105
224.0, 40808.58568055459, 30110.750211566716, -33652.764100165856, -29037.50884980069, -4781.820450046116, -6583.862791521882, -187500.02235174447, -47647.48187631153, -659.0188335202735, -50038.42562895127, -10357.507807911374, -36995.42277996812, 14385.739193646812, -16077.967414613655, -42793.88997481942, -46117.862596257044, 0.036500000000000005, 0.6845, 0.3275, 192.0, 0.5, 72.0, 14.0, 64.0, 6.5, 104.0, 0.0, 0.0, 0.0, 1.695683424105596E9, 0.0, 2023-09-25 18:10:24.105
226.0, 40807.356334609554, 30115.1088017355, -33661.48128050343, -29044.951980704307, -4795.231496719301, -6583.616922332874, -187500.02235174447, -47604.54417521288, -665.2773219677595, -50045.08644879895, -10365.755601615383, -37001.10012305977, 14389.024900081742, -16092.808972931978, -42795.38754169793, -46121.885910259, 0.036500000000000005, 0.6845, 0.3275, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683424105599E9, 0.0, 2023-09-25 18:10:24.105
0.0, 20473.303851283057, 15850.024324658434, -16690.986358044906, -14696.428441575581, -2545.9978039262064, -3194.533669296941, -93750.01117587223, -27453.887755142183, -333.2868615730836, -25023.023786905265, -5186.007045031434, -18503.265798481203, 7187.5610575152705, -8042.001192808294, -21401.169467111766, -23060.920603385046, 0.044250000000000005, 0.79825, 0.38275000000000003, 192.0, 0.5, 80.0, 14.0, 64.0, 6.5, 88.0, 0.0, 0.0, 0.0, 1.695683424263397E9, 0.0, 2023-09-25 18:10:24.263
2.0, 40943.321996131184, 31688.671611389116, -33380.8774806115, -29399.785923932308, -5092.107366574689, -6393.02359736247, -187500.02235174447, -54928.98731577246, -259.77197405957867, -50108.498347818655, -10272.660585959029, -35763.12640465813, 15034.006838084084, -16661.54911059727, -42619.278147134566, -46008.1602344704, 0.044250000000000005, 0.79825, 0.38275000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695683424263407E9, 0.0, 2023-09-25 18:10:24.263
