%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
224.0, 3908.58249766618, 43507.89409969975, -59429.75693103754, -61366.066201456335, -34879.78546378439, -37523.7062601693, -187500.02235174447, -17005.65421648672, -6015.457930023424, -46410.20106198801, -53408.28638175564, -54723.61948771709, -21473.410305191315, -31112.01895618665, -62231.72691246592, -44297.44712083902, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760080711273E9, 0.0, 2023-09-26 15:28:00.711
226.0, 3899.932372561976, 43493.65603848172, -59398.50919228902, -61344.45206456805, -34866.82145200032, -37500.438094191326, -187500.02235174447, -17066.205092216147, -6001.063406594206, -46423.70151563901, -53400.91030608539, -54725.98877262936, -21491.604625177937, -31093.891691433397, -62229.379979298115, -44293.98260044844, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 15.0, 112.0, 3.0, 16.0, 0.0, 0.0, 0.0, 1.695760080711293E9, 0.0, 2023-09-26 15:28:00.711
228.0, 3914.2151372689177, 43512.342096846354, -59415.29535237496, -61351.179939649104, -34883.80877778635, -37502.8520825925, -187500.02235174447, -16997.808754182908, -5976.94587432693, -46405.32838169675, -53394.80827984909, -54714.58938295715, -21492.699860656245, -31084.86158667345, -62221.892144905585, -44275.63181825064, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760080711305E9, 0.0, 2023-09-26 15:28:00.711
230.0, 3902.2793057297836, 43506.24007061006, -59414.51304131902, -61350.822311737815, -34888.703809822066, -37507.009507061186, -187500.02235174447, -17033.437434844665, -5992.167412300994, -46412.257422477895, -53403.30194274211, -54721.16079582701, -21488.78830537657, -31095.72453447873, -62241.00288641488, -44291.143928902624, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760080711314E9, 0.0, 2023-09-26 15:28:00.711
232.0, 3912.605811668135, 43504.83191070937, -59429.801634526455, -61368.659003813154, -34908.73097285402, -37524.53327471415, -187500.02235174447, -17006.481231031565, -6011.054636365729, -46423.12037028318, -53406.16296603239, -54722.21132781641, -21479.937014572268, -31102.027726415126, -62240.53349978131, -44289.51225155738, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760080711324E9, 0.0, 2023-09-26 15:28:00.711
234.0, 3911.6893901454678, 43500.49567228505, -59424.63838155728, -61365.172131678126, -34892.57066161283, -37524.60032994751, -187500.02235174447, -17035.292629634456, -6007.52306074179, -46413.732637611945, -53412.063826568585, -54730.481473264874, -21433.19951691622, -31108.397973584888, -62255.37505809964, -44303.68325754205, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760080711334E9, 0.0, 2023-09-26 15:28:00.711
236.0, 3919.780721638289, 43496.070026882895, -59445.939594023184, -61372.54820734837, -34904.32767919632, -37534.546856230125, -187500.02235174447, -17024.65319927373, -6037.966136689918, -46422.09219003823, -53421.25039353972, -54736.76231345681, -21483.312127985017, -31104.508770049666, -62253.87749122113, -44305.58315582075, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 15.0, 112.0, 2.5, 112.0, 0.0, 0.0, 0.0, 1.695760080711343E9, 0.0, 2023-09-26 15:28:00.711
238.0, 3939.2490910588613, 43508.56465203341, -59387.60154099483, -61337.970058676015, -34865.25682988844, -37507.925928583856, -187500.02235174447, -17055.99034500007, -6016.799034690743, -46417.26421323588, -53422.81501565159, -54729.095665108645, -21481.188712261763, -31096.663307745854, -62253.18458714302, -44302.14098717463, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760080711353E9, 0.0, 2023-09-26 15:28:00.711
240.0, 3944.837027172688, 43506.84356771035, -59394.977616665084, -61347.06721866933, -34886.312173165345, -37498.49349242372, -187500.02235174447, -17045.03799021697, -5973.056670791706, -46389.41393964457, -53381.55369538709, -54702.87706886257, -21477.947709315744, -31076.971420880727, -62212.16913606753, -44269.44038503652, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695760080711362E9, 0.0, 2023-09-26 15:28:00.711
0.0, 3083.0655196983244, 21707.902456271942, -29645.476298985042, -30660.491366444992, -17503.159344572945, -18768.62570865461, -93750.01117587223, -4864.052517897191, -3001.7722251143728, -23210.58788425778, -26700.209283853685, -27359.496338307425, -10740.259079964051, -15542.12904478658, -31115.93051146633, -22140.05108357085, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 15.5, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 1.695760080874801E9, 0.0, 2023-09-26 15:28:00.874
