%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -13273.181113383904, 31782.28071716794, 35462.11546207851, -24975.951013082387, -1886.330769816729, 1488.380311534442, 70409.6714150514, 3563.8738946764347, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695763518098054E9, 0.0, 2023-09-26 16:25:18.098
210.0, -13405.570495792688, 31789.85795853829, 35447.36331073801, -24961.556489653172, -1857.2064467914638, 1386.7022260072501, 70312.46367841527, 3481.217143680709, 23114.0059964664, 31479.682800731996, -83235.48236316233, 41189.548813050846, 28207.968557830878, 33487.96468829688, -13837.808530069415, -28033.468488868297, 0.05, 1.002, 0.15, 192.0, 0.5, 72.0, 15.5, 40.0, 2.0, 88.0, 0.0, 0.0, 0.0, 1.695763518098072E9, 0.0, 2023-09-26 16:25:18.098
212.0, -13346.763056130774, 31770.926030984647, 35469.73740693777, -24983.349440497095, -1876.5407057453044, 1477.8079364070818, 70399.34490911305, 3549.792295669591, 23137.788252566846, 31485.51660603483, -83215.65636583047, 41225.624528601715, 28260.763378234315, 33488.36701969708, -13853.611213399317, -27996.565758772584, 0.05, 1.002, 0.15, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695763518098088E9, 0.0, 2023-09-26 16:25:18.098
214.0, -13463.707383120942, 31785.544071858418, 35452.95124685184, -24965.468044932848, -1865.074260839732, 1384.578810283996, 70307.90392254638, 3480.390129135863, 23104.81942949527, 31476.575908252707, -83232.64369161651, 41206.26791790342, 28217.24453177983, 33482.71202834988, -13840.490739404053, -28022.046747451634, 0.05, 1.002, 0.15, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695763518098127E9, 0.0, 2023-09-26 16:25:18.098
216.0, -13413.37125460759, 31771.976562974047, 35479.9745058983, -24983.640013175012, -1867.3764905186285, 1467.0790990685343, 70392.4158683319, 3545.3890020118956, 23127.43939488404, 31471.502062261352, -83231.07906950463, 41221.46710413302, 28258.371741577597, 33487.04826677421, -13852.515977921008, -28003.31598559809, 0.05, 1.002, 0.15, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695763518098136E9, 0.0, 2023-09-26 16:25:18.098
218.0, -13527.231040862924, 31774.390551375218, 35445.68692990386, -24979.214367772864, -1860.3356910152067, 1373.090013633968, 70297.75623056367, 3470.085974941966, 23114.497734844415, 31468.55163199325, -83234.63299687303, 41205.19503416956, 28232.555476731715, 33478.91223179248, -13838.747303336539, -28017.665805538396, 0.05, 1.002, 0.15, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695763518098145E9, 0.0, 2023-09-26 16:25:18.098
220.0, -13477.252540260857, 31765.42750184864, 35484.377799555994, -24988.60210044409, -1864.6272259506259, 1461.4911629547075, 70388.25844386322, 3539.711658920248, 23140.135185734653, 31471.837338428184, -83251.24034300332, 41210.98413598348, 28247.888773428058, 33482.5555661387, -13841.988306282557, -28017.86697123849, 0.042, 1.002, 0.156, 192.0, 0.5, 40.0, 15.5, 40.0, 2.0, 112.0, 0.0, 0.0, 0.0, 1.695763518098154E9, 0.0, 2023-09-26 16:25:18.098
222.0, -13604.053986555815, 31787.95806025959, 35458.82975564358, -24960.774178597236, -1841.7390396283913, 1356.8402954149599, 70280.07600069953, 3450.3717363323854, 23129.33929316274, 31475.950059407958, -83235.08003176213, 41216.23679593048, 28240.28918031325, 33483.315525450176, -13826.967934008591, -28006.668747266383, 0.042, 1.002, 0.156, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695763518098163E9, 0.0, 2023-09-26 16:25:18.098
224.0, -13539.524500313342, 31767.975600716545, 35485.11540712302, -24995.262920291774, -1876.138374345109, 1463.5028199556853, 70390.24774911974, 3541.6562606878592, 23143.599706125227, 31476.307687319244, -83275.4025787595, 41214.225138929505, 28240.803270435725, 33479.09104574812, -13844.603460383829, -28022.27026489619, 0.042, 1.002, 0.156, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695763518098172E9, 0.0, 2023-09-26 16:25:18.098
0.0, -8849.145036833886, 16113.193763875219, 17648.669200976994, -12918.928315511743, -878.2223913934698, 714.674677213988, 35148.81106004847, 1307.8229198244715, 11559.294052039868, 15738.086788426255, -41621.11629499392, 20606.74376568124, 14114.74664387067, 16739.26612606837, -6919.3624757960415, -14004.060805327988, 0.046, 1.004, 0.154, 192.0, 0.5, 56.0, 15.5, 48.0, 2.0, 104.0, 0.0, 0.0, 0.0, 1.69576351824483E9, 0.0, 2023-09-26 16:25:18.244
