%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -4593.328189054512, 19643.584745357603, -69633.4847370964, -10463.87975977418, 28788.868044479856, 26052.701598727894, -187500.02235174447, 50643.01796472287, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959348506365595E9, 0.0, 2023-09-28 16:00:50.636
224.0, -4604.369950815434, 19622.88702999199, -69120.40044312483, -10536.947612398579, 28758.7378929541, 26014.68128140942, -187500.02235174447, 50946.84522710386, 19267.091961752412, -26901.777315351646, -13189.540885632145, 13617.241515784444, 8029.081884513126, -187500.02235174447, -4911.058236486702, -21982.583043883213, 0.008, 1.01, 0.14, 192.0, 0.0, 32.0, 15.5, 72.0, 2.0, 48.0, 0.0, 0.0, 0.0, 1.695934850636584E9, 0.0, 2023-09-28 16:00:50.636
226.0, -4572.6528254333525, 19657.062847264155, -69649.2874204263, -10463.902111518635, 28788.666878779757, 26035.647217708498, -187500.02235174447, 50596.056949622274, 19401.783573840094, -26832.576314518014, -13130.93461167033, 13488.80839214425, 8096.360635323601, -187500.02235174447, -5178.340396683264, -22255.475491938054, 0.008, 1.01, 0.14, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959348506365998E9, 0.0, 2023-09-28 16:00:50.636
228.0, -4647.173541447347, 19634.21936443083, -69038.12367178484, -10538.46753102154, 28743.06932009093, 26043.783252690228, -187500.02235174447, 50984.7314339556, 19285.263929994577, -26883.918271531853, -13177.94033025984, 13632.373646780688, 8060.396678495012, -187500.02235174447, -4955.202931785933, -22026.146593826605, 0.008, 1.01, 0.14, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959348506366112E9, 0.0, 2023-09-28 16:00:50.636
230.0, -4580.073604592515, 19676.41945796245, -69647.70044656997, -10471.054669744333, 28801.40737311928, 26006.81346736115, -187500.02235174447, 50571.447678976976, 19389.93714927878, -26840.801756477566, -13123.513832511167, 13490.373014256122, 8098.796975469229, -187500.02235174447, -5132.072285660778, -22203.530037823923, 0.008, 1.01, 0.14, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695934850636623E9, 0.0, 2023-09-28 16:00:50.636
232.0, -4627.749875515685, 19610.347701352563, -68972.02956343051, -10531.292621051387, 28729.837087373387, 26077.154407162, -187500.02235174447, 51022.081198940425, 19286.448572450707, -26870.216652180752, -13155.141550915427, 13649.584490011275, 8041.911785830473, -187500.02235174447, -5003.594458531673, -22071.83355949325, 0.008, 1.01, 0.14, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695934850636637E9, 0.0, 2023-09-28 16:00:50.636
234.0, -4549.742287366663, 19676.128885284532, -69615.7821554878, -10483.661053617127, 28798.099314939896, 25975.90100477946, -187500.02235174447, 50563.37869922861, 19367.384239123374, -26861.387713120905, -13134.130911127439, 13492.652892190563, 8087.688158474942, -187500.02235174447, -5070.225008752944, -22139.782862637385, 0.008, 1.006, 0.14200000000000002, 192.0, 0.0, 32.0, 15.5, 56.0, 2.0, 56.0, 0.0, 0.0, 0.0, 1.695934850636649E9, 0.0, 2023-09-28 16:00:50.636
236.0, -4658.72939333074, 19602.412832070928, -68917.40189998173, -10538.534586254906, 28706.63597662878, 26085.201035165912, -187500.02235174447, 51048.657423097786, 19285.442743950218, -26866.88624225691, -13169.536074344645, 13641.60491724073, 8062.83301864064, -187500.02235174447, -5041.681831083516, -22108.6692343556, 0.008, 1.006, 0.14200000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959348506366603E9, 0.0, 2023-09-28 16:00:50.636
238.0, -4569.814153887529, 19688.444696479404, -69549.06219828871, -10505.677521905603, 28780.68730600921, 25942.440443329866, -187500.02235174447, 50572.431155733015, 19352.408570338317, -26881.571338364047, -13165.244539409226, 13478.392479228078, 8072.824248412163, -187500.02235174447, -4993.133842126589, -22052.856928450696, 0.008, 1.006, 0.14200000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959348506366718E9, 0.0, 2023-09-28 16:00:50.636
240.0, -4637.20466342028, 19603.038680915677, -68923.88390587376, -10506.571591683816, 28749.797195171977, 26124.137774007057, -187500.02235174447, 51017.253222138075, 19316.91400014329, -26849.697750770778, -13155.722696271265, 13631.658390958119, 8093.36550156659, -187500.02235174447, -5095.862459643181, -22160.927612892105, 0.008, 1.006, 0.14200000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959348506366832E9, 0.0, 2023-09-28 16:00:50.636
242.0, -4573.94922661176, 19670.51859742625, -69487.37138359206, -10512.450100475562, 28790.097390424897, 25940.4734898178, -187500.02235174447, 50581.640074448595, 19369.865282757914, -26873.23413768222, -13161.914129485385, 13505.81806967474, 8081.764946194286, -187500.02235174447, -4959.382707999076, -22020.87158213515, 0.008, 1.006, 0.14200000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695934850636695E9, 0.0, 2023-09-28 16:00:50.636
244.0, -4635.595337819497, 19602.390480326474, -68898.26880672798, -10517.792167400381, 28726.97606408311, 26133.50315493383, -187500.02235174447, 51015.75565525957, 19324.938276402747, -26864.382846877917, -13155.856806737997, 13601.997626065926, 8085.989425896339, -187500.02235174447, -5121.745779722426, -22192.018889429437, 0.014, 1.002, 0.146, 192.0, 0.0, 56.0, 15.5, 40.0, 2.0, 72.0, 0.0, 0.0, 0.0, 1.695934850636707E9, 0.0, 2023-09-28 16:00:50.636
246.0, -4560.471124705211, 19678.56522543016, -69387.01205098773, -10528.521004738928, 28799.46277135167, 25930.214039112812, -187500.02235174447, 50618.2969353553, 19327.844003181937, -26877.45861738427, -13168.642004566433, 13508.187354587002, 8067.169257064969, -187500.02235174447, -4898.496556102819, -21955.984467981394, 0.014, 1.002, 0.146, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959348506367204E9, 0.0, 2023-09-28 16:00:50.636
248.0, -4638.0987331984925, 19602.859866960032, -68932.77990016698, -10505.923391094613, 28748.187869571197, 26135.023073556793, -187500.02235174447, 50971.65566344925, 19347.35707609142, -26837.44899480927, -13132.946268671307, 13597.88490508615, 8094.6842544894525, -187500.02235174447, -5166.873951777691, -22236.74473008451, 0.014, 1.002, 0.146, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959348506367319E9, 0.0, 2023-09-28 16:00:50.636
250.0, -4556.179589769792, 19687.349461001097, -69312.37957625146, -10531.471435007028, 28798.903977740287, 25925.47546928829, -187500.02235174447, 50638.949947232, 19330.235639838655, -26908.12521077695, -13181.449554139323, 13524.213555361457, 8061.4025069955005, -187500.02235174447, -4884.057329184691, -21936.180822393995, 0.014, 1.002, 0.146, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959348506367433E9, 0.0, 2023-09-28 16:00:50.636
252.0, -4650.414544393367, 19603.08338440459, -68965.0781709049, -10496.803879356847, 28735.49207872058, 26147.4729952184, -187500.02235174447, 50930.573157140396, 19375.83319852748, -26828.26242783814, -13138.55655652959, 13592.542838161331, 8122.400417614033, -187500.02235174447, -5216.293658768375, -22280.822370150374, 0.014, 1.002, 0.146, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6959348506367545E9, 0.0, 2023-09-28 16:00:50.636
254.0, -4554.637319402375, 19677.805266118678, -69170.20012977126, -10527.828100660814, 28786.945794456697, 25928.403547811933, -187500.02235174447, 50705.15581430862, 19301.401889491306, -26888.47802740074, -13173.335870902047, 13558.881111011638, 8054.428762725444, -187500.02235174447, -4832.961241359859, -21884.8165136357, 0.022, 1.004, 0.14200000000000002, 192.0, 0.0, 88.0, 15.5, 48.0, 2.0, 56.0, 0.0, 0.0, 0.0, 1.6959348506367705E9, 0.0, 2023-09-28 16:00:50.636
